"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"AB436AF","OK",FALSE,6.4,5.8,8.1,FALSE,8
"AB436AG","OK",FALSE,6.6,7.4,8.1,FALSE,5
"AB436AW","OK",FALSE,6.3,5.7,8.1,FALSE,9
"AB436EF","OK",FALSE,6.1,5.7,8.1,FALSE,7
"AB436FA","OK",TRUE,5.4,6.4,8.1,FALSE,7
"AB436HH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AB436HN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AB436HP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AB436HQ","OK",TRUE,2.6,2.4,3.7,FALSE,4
"AB436HR","Insufficient Data",NA,NA,NA,NA,FALSE,2
"AB436HS","OK",FALSE,5.7,5.7,7.4,FALSE,3
"AB436HT","Insufficient Data",NA,NA,NA,NA,FALSE,1
"AB436HU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AB436HX","Insufficient Data",NA,NA,NA,NA,FALSE,1
"AB436HY","OK",TRUE,1.5,1.7,2.3,FALSE,5
"AB436JA","OK",TRUE,0.7,0.7,1.2,FALSE,3
"AB436JB","OK",TRUE,1.3,1.4,2.2,FALSE,13
"AB436JD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AB436JE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AB436JH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AB436JS","OK",TRUE,5.5,6.7,8.1,FALSE,4
"AB436JY","Insufficient Data",NA,NA,NA,NA,FALSE,2
"AB436LA","Insufficient Data",NA,NA,NA,NA,FALSE,2
"AB436LB","Insufficient Data",NA,NA,NA,NA,FALSE,2
"AB436LD","OK",FALSE,7.3,7.7,8.1,FALSE,24
"AB436LE","OK",FALSE,7.3,7.4,8.1,FALSE,29
"AB436LF","OK",FALSE,7.9,8,8.1,FALSE,10
"AB436LG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AB436LH","OK",TRUE,6.7,8.1,8.1,FALSE,21
"AB436LL","OK",TRUE,4.3,4.3,7.4,FALSE,3
"AB436LN","Insufficient Data",NA,NA,NA,NA,FALSE,2
"AB436LP","OK",FALSE,8,8.1,8.1,FALSE,8
"AB436LQ","OK",FALSE,7.9,8.1,8.1,FALSE,4
"AB436LR","OK",FALSE,6.4,6.7,8.1,FALSE,12
"AB436LS","OK",FALSE,5.1,5.1,6.8,FALSE,3
"AB436LT","OK",FALSE,6.6,7,8.1,FALSE,12
"AB436LU","Insufficient Data",NA,NA,NA,NA,FALSE,2
"AB436LY","Insufficient Data",NA,NA,NA,NA,FALSE,2
"AB436NA","OK",TRUE,4.4,4.4,7.4,FALSE,3
"AB436NB","OK",FALSE,7,7.6,8.1,FALSE,10
"AB436ND","OK",TRUE,6.7,7.5,8.1,FALSE,26
"AB436NE","OK",FALSE,6.8,7.4,8.1,FALSE,18
"AB436NF","OK",FALSE,7,7.4,8.1,FALSE,11
"AB436NG","OK",FALSE,6.5,6.5,6.8,FALSE,3
"AB436NH","OK",TRUE,6.6,7.4,8.1,FALSE,34
"AB436NJ","OK",FALSE,7.1,8.1,8.1,FALSE,17
"AB436NL","OK",TRUE,6.5,7.4,8.1,FALSE,20
"AB436NN","OK",TRUE,7.1,8,8.1,FALSE,20
"AB436NP","OK",TRUE,5.3,6.2,8.1,FALSE,14
"AB436NQ","OK",FALSE,6.8,7.3,8.1,FALSE,21
"AB436NR","OK",FALSE,7,8,8.1,FALSE,22
"AB436NS","OK",TRUE,6.7,7.4,8.1,FALSE,30
"AB436NT","Insufficient Data",NA,NA,NA,NA,FALSE,2
"AB436NU","OK",FALSE,6,5.9,8.1,FALSE,4
"AB436NW","OK",FALSE,5.8,5.8,6.4,FALSE,3
"AB436NX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AB436NY","OK",FALSE,4.9,5,6.8,FALSE,4
