"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"AL96AA","Insufficient Data",NA,NA,NA,NA,FALSE,2
"AL96AB","OK",TRUE,1.7,1.7,2.4,FALSE,4
"AL96AD","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"AL96AE","Insufficient Data",NA,NA,NA,NA,FALSE,2
"AL96AF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AL96AG","OK",TRUE,1.4,1.5,2.3,FALSE,3
"AL96AH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AL96AJ","OK",TRUE,0.9,0.8,1.5,FALSE,6
"AL96AL","OK",TRUE,1.1,1.1,1.2,FALSE,3
"AL96AN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AL96AP","OK",TRUE,1.3,1.3,1.9,FALSE,3
"AL96AQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AL96AR","Insufficient Data",NA,NA,NA,NA,FALSE,2
"AL96AS","OK",TRUE,0.9,0.9,1.4,FALSE,5
"AL96AT","OK",TRUE,0.8,0.8,1.2,FALSE,5
"AL96AU","OK",TRUE,1.6,1.1,8.1,FALSE,10
"AL96AW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AL96AX","OK",TRUE,0.7,0.6,1.1,FALSE,3
"AL96AY","OK",TRUE,1,1,1.2,FALSE,10
"AL96AZ","Insufficient Data",NA,NA,NA,NA,FALSE,1
"AL96BA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AL96BL","OK",TRUE,1.5,1.3,3.8,FALSE,10
"AL96DA","OK",TRUE,2.3,2.4,4.4,TRUE,8
"AL96DB","Insufficient Data",NA,NA,NA,NA,TRUE,2
"AL96DD","OK",TRUE,1.6,1.3,3.2,FALSE,5
"AL96DE","OK",TRUE,1.4,0.6,2.9,TRUE,6
"AL96DF","OK",TRUE,2.8,1.6,5.3,TRUE,3
"AL96DG","OK",TRUE,3.6,3.8,11.3,TRUE,19
"AL96DH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AL96DJ","OK",TRUE,1.7,1.9,3,FALSE,5
"AL96DL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AL96DN","OK",TRUE,1,1.1,1.7,FALSE,7
"AL96DP","Insufficient Data",NA,NA,NA,NA,FALSE,1
"AL96DQ","Insufficient Data",NA,NA,NA,NA,FALSE,1
"AL96DR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AL96DS","OK",TRUE,1.2,1.3,1.6,FALSE,6
"AL96DU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AL96DW","OK",TRUE,0.8,0.9,1.2,FALSE,4
"AL96DX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AL96DZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AL96EA","OK",TRUE,1,1.2,1.5,FALSE,10
"AL96EB","OK",TRUE,1.8,1.6,3.1,FALSE,7
"AL96EE","Insufficient Data",NA,NA,NA,NA,FALSE,1
"AL96EF","OK",FALSE,3.1,3.1,3.6,FALSE,4
"AL96EG","OK",TRUE,1.8,1.7,2.9,FALSE,4
"AL96EH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AL96GH","OK",TRUE,1.5,1.5,2,FALSE,17
"AL96GJ","OK",TRUE,0.9,0.8,1.7,FALSE,5
"AL96GL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AL96GZ","No Data",NA,NA,NA,NA,FALSE,0
"AL96HA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AL96HB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AL96HD","OK",TRUE,1.2,1.2,1.4,FALSE,3
"AL96HE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AL96HG","OK",TRUE,1.1,1.2,1.7,FALSE,19
"AL96HH","OK",TRUE,0.6,0.7,1.1,FALSE,5
"AL96HJ","OK",TRUE,0.7,0.8,1.2,FALSE,9
"AL96HL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AL96HN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AL96HP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AL96HQ","OK",TRUE,0.7,0.7,1.3,FALSE,22
"AL96HR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AL96HS","OK",TRUE,1,0.9,1.4,FALSE,3
"AL96HT","Insufficient Data",NA,NA,NA,NA,FALSE,2
"AL96HU","OK",TRUE,0.9,0.8,1.4,FALSE,4
"AL96HW","OK",TRUE,1,0.9,1.3,FALSE,14
"AL96HY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AL96HZ","OK",TRUE,0.9,0.9,1.5,FALSE,4
"AL96JA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AL96JB","Insufficient Data",NA,NA,NA,NA,TRUE,2
"AL96JD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AL96JE","Insufficient Data",NA,NA,NA,NA,TRUE,1
"AL96JF","Insufficient Data",NA,NA,NA,NA,FALSE,2
"AL96JG","OK",TRUE,2.1,2.4,2.4,FALSE,3
"AL96JH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AL96JJ","OK",TRUE,2,1.9,2.5,TRUE,3
"AL96JL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AL96JN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"AL96JP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AL96JQ","OK",TRUE,2.2,2.2,2.9,FALSE,5
"AL96JR","OK",TRUE,1.1,1.3,1.5,FALSE,8
"AL96JS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AL96JW","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"AL96JY","OK",TRUE,2.6,2.8,3,TRUE,3
"AL96JZ","OK",TRUE,1.3,1.3,1.5,FALSE,4
"AL96LA","OK",FALSE,30,7.6,30,TRUE,6
"AL96LB","OK",FALSE,9.8,6.2,30,TRUE,21
"AL96NA","OK",TRUE,5.4,5.4,8.9,TRUE,3
"AL96ND","OK",TRUE,2.8,2.8,4.8,TRUE,5
"AL96NE","Insufficient Data",NA,NA,NA,NA,TRUE,2
"AL96NF","OK",TRUE,6.7,4.9,30,TRUE,13
"AL96NG","OK",TRUE,12.6,4.2,30,TRUE,18
"AL96NH","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"AL96NJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"AL96NL","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"AL96NN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"AL96NP","OK",TRUE,7,5.5,25.4,TRUE,8
"AL96NQ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"AL96NR","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"AL96NS","No premises",NA,NA,NA,NA,TRUE,0
"AL96NT","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"AL96NW","OK",TRUE,3.1,4,4,TRUE,3
"AL96NX","OK",TRUE,2.7,2.8,4.2,TRUE,6
"AL96NY","Insufficient Data",NA,NA,NA,NA,TRUE,2
"AL96NZ","OK",FALSE,15,5.8,30,TRUE,4
"AL96PR","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"AL96PS","OK",TRUE,15.9,4.8,30,TRUE,16
"AL96PT","OK",TRUE,14.9,4.2,30,TRUE,17
"AL96WA","No premises",NA,NA,NA,NA,FALSE,0
"AL96ZF","No premises",NA,NA,NA,NA,FALSE,0
"AL96ZH","No premises",NA,NA,NA,NA,FALSE,0
"AL96ZJ","No premises",NA,NA,NA,NA,FALSE,0
"AL96ZY","No premises",NA,NA,NA,NA,FALSE,0
