"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"B22DB","No premises",NA,NA,NA,NA,FALSE,0
"B22DE","No premises",NA,NA,NA,NA,FALSE,0
"B22DF","No premises",NA,NA,NA,NA,FALSE,0
"B22DG","No premises",NA,NA,NA,NA,FALSE,0
"B22DN","No premises",NA,NA,NA,NA,FALSE,0
"B22DP","No premises",NA,NA,NA,NA,FALSE,0
"B22DQ","No premises",NA,NA,NA,NA,FALSE,0
"B22DR","No premises",NA,NA,NA,NA,FALSE,0
"B22DS","No premises",NA,NA,NA,NA,FALSE,0
"B22DT","No premises",NA,NA,NA,NA,FALSE,0
"B22DU","No premises",NA,NA,NA,NA,FALSE,0
"B22DW","No premises",NA,NA,NA,NA,FALSE,0
"B22DY","No premises",NA,NA,NA,NA,FALSE,0
"B22DZ","No premises",NA,NA,NA,NA,FALSE,0
