"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"B24UA","No premises",NA,NA,NA,NA,FALSE,0
"B24UB","No Data",NA,NA,NA,NA,FALSE,0
"B24UG","Insufficient Data",NA,NA,NA,NA,FALSE,1
"B24UH","No Data",NA,NA,NA,NA,FALSE,0
"B24UL","No Data",NA,NA,NA,NA,FALSE,0
"B24UN","No premises",NA,NA,NA,NA,FALSE,0
"B24UP","No premises",NA,NA,NA,NA,FALSE,0
"B24UQ","No Data",NA,NA,NA,NA,FALSE,0
"B24UU","Insufficient Data",NA,NA,NA,NA,FALSE,2
"B24UW","Insufficient Data",NA,NA,NA,NA,FALSE,2
"B24UX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"B24UX","No Data",NA,NA,NA,NA,FALSE,0
"B24UY","No premises",NA,NA,NA,NA,FALSE,0
