"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"B31SA","OK",FALSE,16.2,15.9,20.6,TRUE,8
"B31SB","No premises",NA,NA,NA,NA,TRUE,0
"B31SD","OK",FALSE,15.4,15.7,19.7,FALSE,8
"B31SE","No premises",NA,NA,NA,NA,FALSE,0
"B31SF","Insufficient Data",NA,NA,NA,NA,TRUE,1
"B31SH","Insufficient Data",NA,NA,NA,NA,FALSE,1
"B31SJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"B31SJ","No Data",NA,NA,NA,NA,FALSE,0
"B31SN","No premises",NA,NA,NA,NA,FALSE,0
"B31SW","Insufficient Data",NA,NA,NA,NA,TRUE,1
"B31SZ","No premises",NA,NA,NA,NA,FALSE,0
