"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"B359AA","No premises",NA,NA,NA,NA,FALSE,0
"B359AG","No premises",NA,NA,NA,NA,FALSE,0
"B359AS","No premises",NA,NA,NA,NA,FALSE,0
"B359AT","No premises",NA,NA,NA,NA,FALSE,0
"B359BB","No premises",NA,NA,NA,NA,FALSE,0
"B359BP","No premises",NA,NA,NA,NA,FALSE,0
"B359BX","No premises",NA,NA,NA,NA,FALSE,0
"B359DE","No premises",NA,NA,NA,NA,FALSE,0
"B359DF","No premises",NA,NA,NA,NA,FALSE,0
"B359DH","No premises",NA,NA,NA,NA,FALSE,0
"B359DL","No premises",NA,NA,NA,NA,FALSE,0
"B359DN","No premises",NA,NA,NA,NA,FALSE,0
"B359DP","No premises",NA,NA,NA,NA,FALSE,0
