"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"B707AB","OK",FALSE,12.4,8.1,21,TRUE,3
"B707AD","OK",FALSE,9,9.7,12,FALSE,9
"B707AQ","No Data",NA,NA,NA,NA,TRUE,0
"B707AU","OK",FALSE,12.7,12.8,18.9,FALSE,14
"B707AW","OK",TRUE,13.4,14.3,19,TRUE,14
"B707AZ","OK",FALSE,17.4,20,30,TRUE,9
"B707BA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"B707BA","No Data",NA,NA,NA,NA,FALSE,0
"B707BP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"B707BP","No Data",NA,NA,NA,NA,FALSE,0
"B707BT","Insufficient Data",NA,NA,NA,NA,FALSE,1
"B707BX","No premises",NA,NA,NA,NA,FALSE,0
"B707DA","No premises",NA,NA,NA,NA,FALSE,0
"B707DB","OK",FALSE,30,30,30,TRUE,4
"B707DD","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"B707DD","No Data",NA,NA,NA,NA,TRUE,0
"B707DG","Insufficient Data",NA,NA,NA,NA,FALSE,1
"B707DH","Insufficient Data",NA,NA,NA,NA,FALSE,1
"B707DJ","OK",FALSE,14.9,15.4,30,TRUE,11
"B707DL","No Data",NA,NA,NA,NA,FALSE,0
"B707DP","Insufficient Data",NA,NA,NA,NA,FALSE,2
"B707DQ","No Data",NA,NA,NA,NA,FALSE,0
"B707DS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"B707DS","No Data",NA,NA,NA,NA,FALSE,0
"B707DT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"B707DT","No Data",NA,NA,NA,NA,FALSE,0
"B707DW","No premises",NA,NA,NA,NA,FALSE,0
"B707DX","No premises",NA,NA,NA,NA,FALSE,0
"B707DY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"B707DY","No Data",NA,NA,NA,NA,FALSE,0
"B707DZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"B707DZ","No Data",NA,NA,NA,NA,FALSE,0
"B707EA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"B707EA","No Data",NA,NA,NA,NA,FALSE,0
"B707ED","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"B707ED","No Data",NA,NA,NA,NA,TRUE,0
"B707EE","OK",FALSE,30,30,30,TRUE,5
"B707EG","OK",FALSE,18.4,18,21.9,TRUE,5
"B707EH","OK",FALSE,21.4,14.7,30,TRUE,7
"B707EJ","OK",FALSE,15,12.3,30,TRUE,7
"B707EL","OK",FALSE,11.2,11.9,13.3,TRUE,3
"B707EN","OK",FALSE,17.8,20,30,TRUE,9
"B707EP","OK",TRUE,23.1,20,30,TRUE,21
"B707EQ","OK",FALSE,17.2,14.2,30,TRUE,8
"B707ER","OK",FALSE,30,30,30,TRUE,9
"B707ES","OK",TRUE,30,22.4,30,TRUE,20
"B707EU","Insufficient Data",NA,NA,NA,NA,FALSE,2
"B707EW","OK",FALSE,27,25,30,TRUE,8
"B707EX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"B707EX","No Data",NA,NA,NA,NA,FALSE,0
"B707EZ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"B707HA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"B707HA","No Data",NA,NA,NA,NA,FALSE,0
"B707HE","Insufficient Data",NA,NA,NA,NA,FALSE,1
"B707HH","OK",FALSE,15.2,18,23.1,TRUE,5
"B707HJ","OK",TRUE,16.8,16.8,30,TRUE,22
"B707HL","OK",FALSE,19.3,17,30,TRUE,13
"B707HN","OK",TRUE,17.1,16.4,30,TRUE,24
"B707HP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"B707HP","No Data",NA,NA,NA,NA,FALSE,0
"B707HR","OK",FALSE,22.4,20,30,TRUE,16
"B707HS","OK",TRUE,20.4,17.3,30,TRUE,17
"B707HT","OK",FALSE,18.2,16.1,30,TRUE,18
"B707HU","OK",FALSE,26.5,20,30,TRUE,15
"B707HW","Insufficient Data",NA,NA,NA,NA,TRUE,1
"B707HX","OK",TRUE,20.5,11.8,30,TRUE,16
"B707HZ","OK",FALSE,25.2,15.2,30,TRUE,35
"B707JA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"B707JA","No Data",NA,NA,NA,NA,FALSE,0
"B707JB","Insufficient Data",NA,NA,NA,NA,FALSE,1
"B707JD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"B707JD","No Data",NA,NA,NA,NA,FALSE,0
"B707JE","OK",TRUE,9,8.1,19.4,FALSE,8
"B707JF","Insufficient Data",NA,NA,NA,NA,FALSE,2
"B707JJ","No premises",NA,NA,NA,NA,FALSE,0
"B707JR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"B707JR","No Data",NA,NA,NA,NA,FALSE,0
"B707JU","No Data",NA,NA,NA,NA,TRUE,0
"B707JW","OK",FALSE,10.7,7.7,16.1,FALSE,5
"B707JZ","No Data",NA,NA,NA,NA,FALSE,0
"B707LB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"B707LB","No Data",NA,NA,NA,NA,FALSE,0
"B707LD","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"B707LD","No Data",NA,NA,NA,NA,TRUE,0
"B707LE","OK",TRUE,24.8,30,30,TRUE,16
"B707LF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"B707LF","No Data",NA,NA,NA,NA,FALSE,0
"B707LG","No premises",NA,NA,NA,NA,FALSE,0
"B707LH","Insufficient Data",NA,NA,NA,NA,FALSE,1
"B707LJ","OK",TRUE,19.8,9.9,30,TRUE,15
"B707LL","OK",FALSE,14.6,20,20,TRUE,7
"B707LN","OK",FALSE,29.4,20,30,TRUE,17
"B707LP","OK",TRUE,9,11.3,20,TRUE,5
"B707LR","OK",TRUE,17.7,5.5,30,TRUE,33
"B707LS","OK",TRUE,15.3,5,30,TRUE,22
"B707LT","OK",FALSE,18.4,12.1,30,TRUE,20
"B707LW","OK",FALSE,14.8,14.5,30,TRUE,7
"B707LX","OK",FALSE,10.7,9.1,20.9,FALSE,4
"B707NG","OK",TRUE,12.1,13.9,18.8,FALSE,11
"B707NH","No premises",NA,NA,NA,NA,FALSE,0
"B707NJ","OK",FALSE,11,8.1,16.6,FALSE,5
"B707NN","OK",TRUE,8,8.1,16.9,FALSE,7
"B707NQ","No premises",NA,NA,NA,NA,FALSE,0
"B707NW","OK",FALSE,13.7,14.5,19.9,FALSE,12
"B707NX","Insufficient Data",NA,NA,NA,NA,TRUE,1
"B707NY","OK",FALSE,23.4,20,30,TRUE,12
"B707NZ","OK",FALSE,14.9,16.8,20,TRUE,7
"B707PA","Insufficient Data",NA,NA,NA,NA,TRUE,2
"B707PB","Insufficient Data",NA,NA,NA,NA,TRUE,2
"B707PE","OK",FALSE,12.4,10.2,30,TRUE,5
"B707PF","OK",TRUE,13.5,12.4,30,TRUE,5
"B707PG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"B707PG","No Data",NA,NA,NA,NA,TRUE,0
"B707PH","OK",FALSE,22.3,20,30,TRUE,3
"B707PJ","No premises",NA,NA,NA,NA,FALSE,0
"B707PL","No premises",NA,NA,NA,NA,TRUE,0
"B707PN","OK",FALSE,22.1,22.1,22.4,TRUE,4
"B707PQ","No premises",NA,NA,NA,NA,TRUE,0
"B707QB","No premises",NA,NA,NA,NA,FALSE,0
"B707QG","Insufficient Data",NA,NA,NA,NA,FALSE,2
"B707QS","OK",TRUE,9.8,8.1,20.6,TRUE,3
"B707QU","OK",TRUE,5.2,6.1,8.1,FALSE,4
"B707QX","OK",TRUE,11.2,8.1,20.9,FALSE,6
"B707QY","OK",FALSE,8.7,8.8,10.4,FALSE,3
"B707QZ","OK",TRUE,5.8,8.1,8.1,FALSE,3
"B707RA","OK",FALSE,13.7,14.3,18.3,FALSE,8
"B707RB","OK",FALSE,13,14.7,17.4,FALSE,10
"B707RD","No Data",NA,NA,NA,NA,FALSE,0
"B707RF","OK",FALSE,14.8,15.1,18.3,FALSE,6
"B707RG","OK",FALSE,14.2,15,19.7,FALSE,22
"B707RH","No premises",NA,NA,NA,NA,FALSE,0
"B707RP","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"B707RP","No Data",NA,NA,NA,NA,TRUE,0
