"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"B75BA","OK",FALSE,22.5,11.7,30,TRUE,23
"B75BB","OK",TRUE,20.4,11.1,30,TRUE,31
"B75BD","OK",FALSE,21.4,14.2,30,TRUE,32
"B75BE","OK",FALSE,15.2,10.4,30,TRUE,26
"B75BG","OK",FALSE,17.4,14.3,30,TRUE,39
"B75BH","OK",FALSE,14,12.2,30,TRUE,36
"B75BJ","OK",FALSE,21,14.4,30,TRUE,27
"B75BN","OK",FALSE,24.8,20.8,30,TRUE,17
"B75BP","Insufficient Data",NA,NA,NA,NA,TRUE,2
"B75BQ","OK",FALSE,24.2,20,30,TRUE,30
"B75BS","OK",FALSE,9.8,8.2,20,TRUE,14
"B75BT","No premises",NA,NA,NA,NA,FALSE,0
"B75BW","OK",TRUE,25.5,30,30,TRUE,20
"B75BX","OK",TRUE,5.1,5.8,8.1,TRUE,4
"B75BZ","Insufficient Data",NA,NA,NA,NA,TRUE,1
