"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"BA10AG","No premises",NA,NA,NA,NA,FALSE,0
"BA10AQ","No premises",NA,NA,NA,NA,FALSE,0
"BA10AR","No premises",NA,NA,NA,NA,FALSE,0
"BA10AY","No premises",NA,NA,NA,NA,FALSE,0
"BA10AZ","No premises",NA,NA,NA,NA,FALSE,0
"BA10BD","No premises",NA,NA,NA,NA,FALSE,0
"BA10BG","No premises",NA,NA,NA,NA,FALSE,0
"BA10BJ","No premises",NA,NA,NA,NA,FALSE,0
"BA10BT","No premises",NA,NA,NA,NA,FALSE,0
"BA10DF","No premises",NA,NA,NA,NA,FALSE,0
"BA10DH","No premises",NA,NA,NA,NA,FALSE,0
"BA10DJ","No premises",NA,NA,NA,NA,FALSE,0
"BA10DQ","No premises",NA,NA,NA,NA,FALSE,0
"BA10DS","No premises",NA,NA,NA,NA,FALSE,0
"BA10DU","No premises",NA,NA,NA,NA,FALSE,0
"BA10EG","No premises",NA,NA,NA,NA,FALSE,0
"BA10EJ","No premises",NA,NA,NA,NA,FALSE,0
"BA10EQ","No premises",NA,NA,NA,NA,FALSE,0
"BA10EY","No premises",NA,NA,NA,NA,FALSE,0
"BA10FA","No premises",NA,NA,NA,NA,FALSE,0
"BA10FG","No premises",NA,NA,NA,NA,FALSE,0
"BA10FH","No premises",NA,NA,NA,NA,FALSE,0
"BA10FL","No premises",NA,NA,NA,NA,FALSE,0
"BA10FN","No premises",NA,NA,NA,NA,FALSE,0
"BA10FW","No premises",NA,NA,NA,NA,FALSE,0
"BA10FX","No premises",NA,NA,NA,NA,FALSE,0
"BA10GE","No premises",NA,NA,NA,NA,FALSE,0
"BA10GL","No premises",NA,NA,NA,NA,FALSE,0
"BA10GQ","No premises",NA,NA,NA,NA,FALSE,0
"BA10HE","No premises",NA,NA,NA,NA,FALSE,0
"BA10HF","No premises",NA,NA,NA,NA,FALSE,0
"BA10HJ","No premises",NA,NA,NA,NA,FALSE,0
"BA10HU","No premises",NA,NA,NA,NA,FALSE,0
"BA10JD","No premises",NA,NA,NA,NA,FALSE,0
"BA10JE","No premises",NA,NA,NA,NA,FALSE,0
"BA10JH","No premises",NA,NA,NA,NA,FALSE,0
"BA10JN","No premises",NA,NA,NA,NA,FALSE,0
"BA10JP","No premises",NA,NA,NA,NA,FALSE,0
"BA10JS","No premises",NA,NA,NA,NA,FALSE,0
"BA10LH","No premises",NA,NA,NA,NA,FALSE,0
"BA10LP","No premises",NA,NA,NA,NA,FALSE,0
"BA10LQ","No premises",NA,NA,NA,NA,FALSE,0
"BA10LR","No premises",NA,NA,NA,NA,FALSE,0
"BA10LS","No premises",NA,NA,NA,NA,FALSE,0
"BA10LT","No premises",NA,NA,NA,NA,FALSE,0
"BA10ND","No premises",NA,NA,NA,NA,FALSE,0
"BA10NE","No premises",NA,NA,NA,NA,FALSE,0
"BA10NG","No premises",NA,NA,NA,NA,FALSE,0
"BA10NH","No premises",NA,NA,NA,NA,FALSE,0
"BA10NJ","No premises",NA,NA,NA,NA,FALSE,0
"BA10NQ","No premises",NA,NA,NA,NA,FALSE,0
"BA10NS","No premises",NA,NA,NA,NA,FALSE,0
"BA10NU","No premises",NA,NA,NA,NA,FALSE,0
"BA10NW","No premises",NA,NA,NA,NA,FALSE,0
"BA10NY","No premises",NA,NA,NA,NA,FALSE,0
"BA10NZ","No premises",NA,NA,NA,NA,FALSE,0
"BA10PD","No premises",NA,NA,NA,NA,FALSE,0
"BA10PG","No premises",NA,NA,NA,NA,FALSE,0
"BA10PH","No premises",NA,NA,NA,NA,FALSE,0
"BA10PP","No premises",NA,NA,NA,NA,FALSE,0
"BA10PR","No premises",NA,NA,NA,NA,FALSE,0
"BA10PS","No premises",NA,NA,NA,NA,FALSE,0
"BA10PW","No premises",NA,NA,NA,NA,FALSE,0
"BA10PY","No premises",NA,NA,NA,NA,FALSE,0
"BA10QB","No premises",NA,NA,NA,NA,FALSE,0
"BA10QD","No premises",NA,NA,NA,NA,FALSE,0
"BA10QE","No premises",NA,NA,NA,NA,FALSE,0
"BA10QF","No premises",NA,NA,NA,NA,FALSE,0
"BA10QG","No premises",NA,NA,NA,NA,FALSE,0
"BA10QH","No premises",NA,NA,NA,NA,FALSE,0
"BA10QJ","No premises",NA,NA,NA,NA,FALSE,0
"BA10QL","No premises",NA,NA,NA,NA,FALSE,0
"BA10QN","No premises",NA,NA,NA,NA,FALSE,0
"BA10QQ","No premises",NA,NA,NA,NA,FALSE,0
"BA10QR","No premises",NA,NA,NA,NA,FALSE,0
"BA10QS","No premises",NA,NA,NA,NA,FALSE,0
"BA10QT","No premises",NA,NA,NA,NA,FALSE,0
"BA10QU","No premises",NA,NA,NA,NA,FALSE,0
"BA10QW","No premises",NA,NA,NA,NA,FALSE,0
"BA10QX","No premises",NA,NA,NA,NA,FALSE,0
"BA10QY","No premises",NA,NA,NA,NA,FALSE,0
"BA10SA","No premises",NA,NA,NA,NA,FALSE,0
"BA10SB","No premises",NA,NA,NA,NA,FALSE,0
"BA10SD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BA10SE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BA10SF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BA10SG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
