"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"BA98AB","OK",TRUE,4.7,5.1,8.1,FALSE,10
"BA98AD","OK",TRUE,3.1,3.4,4.5,FALSE,4
"BA98AE","OK",TRUE,4.4,4.2,7.4,FALSE,5
"BA98AF","OK",TRUE,2.7,2.8,4.5,FALSE,5
"BA98AG","OK",TRUE,1.7,1.7,1.7,FALSE,3
"BA98AH","OK",TRUE,3.2,3.6,4.5,FALSE,10
"BA98AJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BA98AJ","No Data",NA,NA,NA,NA,FALSE,0
"BA98AL","OK",TRUE,2,1,4.6,FALSE,3
"BA98AN","OK",TRUE,2.6,2,4.5,FALSE,9
"BA98AP","OK",TRUE,2.6,1.9,6.6,FALSE,8
"BA98AQ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"BA98AR","OK",TRUE,2.7,3.1,3.7,FALSE,7
"BA98AS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BA98AS","No Data",NA,NA,NA,NA,FALSE,0
"BA98AT","OK",TRUE,2.9,3.4,3.7,FALSE,3
"BA98AU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BA98AU","No Data",NA,NA,NA,NA,FALSE,0
"BA98AW","OK",FALSE,3.1,3.2,4.2,FALSE,5
"BA98AX","OK",TRUE,1.9,2,4.1,FALSE,15
"BA98AY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BA98AY","No Data",NA,NA,NA,NA,FALSE,0
"BA98AZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BA98AZ","No Data",NA,NA,NA,NA,FALSE,0
"BA98BA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BA98BA","No Data",NA,NA,NA,NA,FALSE,0
"BA98BD","Insufficient Data",NA,NA,NA,NA,FALSE,1
"BA98BE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BA98BE","No Data",NA,NA,NA,NA,FALSE,0
"BA98BG","OK",FALSE,9.8,9.4,12.3,FALSE,4
"BA98BJ","OK",FALSE,7.3,7.9,8.1,FALSE,7
"BA98BL","Insufficient Data",NA,NA,NA,NA,FALSE,2
"BA98BN","OK",FALSE,5.4,5.1,8,FALSE,7
"BA98BP","OK",FALSE,6.4,6.8,8.1,FALSE,6
"BA98BQ","No Data",NA,NA,NA,NA,FALSE,0
"BA98BR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BA98BR","No Data",NA,NA,NA,NA,FALSE,0
"BA98BS","No premises",NA,NA,NA,NA,FALSE,0
"BA98BT","OK",TRUE,5.9,6.3,8.7,FALSE,9
"BA98BU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BA98BU","No Data",NA,NA,NA,NA,FALSE,0
"BA98BW","Insufficient Data",NA,NA,NA,NA,FALSE,2
"BA98BX","OK",TRUE,1.2,1.2,2,FALSE,3
"BA98BY","OK",TRUE,3.2,2.7,6.3,FALSE,12
"BA98BZ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"BA98DA","OK",TRUE,2.8,3.2,4.3,FALSE,15
"BA98DE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BA98DE","No Data",NA,NA,NA,NA,FALSE,0
