"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"BB29AF","No premises",NA,NA,NA,NA,FALSE,0
"BB29AR","No premises",NA,NA,NA,NA,FALSE,0
"BB29BA","No premises",NA,NA,NA,NA,FALSE,0
"BB29BG","No premises",NA,NA,NA,NA,FALSE,0
"BB29BQ","No premises",NA,NA,NA,NA,FALSE,0
"BB29BR","No premises",NA,NA,NA,NA,FALSE,0
"BB29BY","No premises",NA,NA,NA,NA,FALSE,0
"BB29DH","No premises",NA,NA,NA,NA,FALSE,0
"BB29DJ","No premises",NA,NA,NA,NA,FALSE,0
"BB29DP","No premises",NA,NA,NA,NA,FALSE,0
"BB29DR","No premises",NA,NA,NA,NA,FALSE,0
"BB29DY","No premises",NA,NA,NA,NA,FALSE,0
"BB29EN","No premises",NA,NA,NA,NA,FALSE,0
"BB29ER","No premises",NA,NA,NA,NA,FALSE,0
"BB29ET","No premises",NA,NA,NA,NA,FALSE,0
"BB29FJ","No premises",NA,NA,NA,NA,FALSE,0
"BB29FL","No premises",NA,NA,NA,NA,FALSE,0
"BB29FS","No premises",NA,NA,NA,NA,FALSE,0
"BB29FT","No premises",NA,NA,NA,NA,FALSE,0
"BB29FX","No premises",NA,NA,NA,NA,FALSE,0
"BB29FY","No premises",NA,NA,NA,NA,FALSE,0
"BB29GB","No premises",NA,NA,NA,NA,FALSE,0
"BB29GJ","No premises",NA,NA,NA,NA,FALSE,0
"BB29GL","No premises",NA,NA,NA,NA,FALSE,0
"BB29GY","No premises",NA,NA,NA,NA,FALSE,0
"BB29HB","No premises",NA,NA,NA,NA,FALSE,0
"BB29HE","No premises",NA,NA,NA,NA,FALSE,0
"BB29HH","No premises",NA,NA,NA,NA,FALSE,0
"BB29HN","No premises",NA,NA,NA,NA,FALSE,0
"BB29HP","No premises",NA,NA,NA,NA,FALSE,0
"BB29HR","No premises",NA,NA,NA,NA,FALSE,0
"BB29HS","No premises",NA,NA,NA,NA,FALSE,0
"BB29HU","No premises",NA,NA,NA,NA,FALSE,0
"BB29HZ","No premises",NA,NA,NA,NA,FALSE,0
"BB29JB","No premises",NA,NA,NA,NA,FALSE,0
"BB29JE","No premises",NA,NA,NA,NA,FALSE,0
"BB29JF","No premises",NA,NA,NA,NA,FALSE,0
"BB29JG","No premises",NA,NA,NA,NA,FALSE,0
"BB29JJ","No premises",NA,NA,NA,NA,FALSE,0
"BB29JL","No premises",NA,NA,NA,NA,FALSE,0
"BB29JN","No premises",NA,NA,NA,NA,FALSE,0
"BB29JP","No premises",NA,NA,NA,NA,FALSE,0
"BB29JR","No premises",NA,NA,NA,NA,FALSE,0
