"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"BB74AA","OK",FALSE,7.2,8.1,8.1,FALSE,20
"BB74AB","OK",FALSE,3.1,3.1,4,FALSE,3
"BB74AD","OK",FALSE,6.9,6.8,8,FALSE,4
"BB74AE","Insufficient Data",NA,NA,NA,NA,FALSE,2
"BB74AF","OK",FALSE,8.1,8.1,8.1,FALSE,4
"BB74AG","OK",TRUE,6.8,7.5,8.1,FALSE,30
"BB74AH","OK",TRUE,6,6.5,8.1,FALSE,13
"BB74AJ","OK",FALSE,7.1,8,8.1,FALSE,17
"BB74AL","OK",TRUE,7,7.6,8.1,FALSE,22
"BB74AN","OK",TRUE,6.3,8.1,8.1,FALSE,12
"BB74AP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BB74AQ","OK",FALSE,6.7,8.1,8.1,FALSE,4
"BB74AR","OK",FALSE,8,8.1,8.1,FALSE,6
"BB74AS","OK",FALSE,7.2,7.1,8.1,FALSE,7
"BB74AT","OK",FALSE,8.1,8.1,8.1,FALSE,4
"BB74AU","OK",TRUE,7.1,8.1,8.1,FALSE,49
"BB74AW","OK",TRUE,6.4,8.1,8.1,FALSE,12
"BB74AX","OK",FALSE,6.9,7.5,8.1,FALSE,15
"BB74AY","OK",FALSE,7.8,8,8.1,FALSE,7
"BB74AZ","OK",FALSE,7.1,7.5,8.1,FALSE,22
"BB74BA","OK",FALSE,7.4,8,8.1,FALSE,8
"BB74BB","OK",TRUE,6.7,7.4,8.1,FALSE,23
"BB74BE","Insufficient Data",NA,NA,NA,NA,FALSE,1
"BB74BF","OK",FALSE,7.2,8,8.1,FALSE,28
"BB74BH","OK",FALSE,8.1,8.1,8.1,FALSE,3
"BB74BJ","OK",FALSE,5.3,5.7,7.6,FALSE,7
"BB74BL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BB74BN","OK",FALSE,6.9,7.6,8.1,FALSE,6
"BB74BP","OK",FALSE,6,6.5,8.1,FALSE,11
"BB74BR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BB74BS","No Data",NA,NA,NA,NA,FALSE,0
"BB74BT","OK",TRUE,4.1,3.8,8,FALSE,4
"BB74BU","OK",TRUE,4.1,5.7,5.7,FALSE,3
"BB74BW","Insufficient Data",NA,NA,NA,NA,FALSE,2
"BB74BX","Insufficient Data",NA,NA,NA,NA,FALSE,1
"BB74BY","Insufficient Data",NA,NA,NA,NA,FALSE,2
"BB74BZ","OK",TRUE,0.9,0.9,1.2,FALSE,6
"BB74DA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BB74DB","OK",TRUE,0.8,0.9,1.2,FALSE,6
"BB74DD","OK",TRUE,2.1,2.2,2.4,FALSE,5
"BB74DE","OK",TRUE,1.9,1.5,2.8,FALSE,4
"BB74DF","OK",TRUE,3,3.3,3.5,FALSE,4
"BB74DL","OK",FALSE,5,4.7,7.4,FALSE,3
