"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"BD992XE","No premises",NA,NA,NA,NA,FALSE,0
"BD992YA","No premises",NA,NA,NA,NA,FALSE,0
"BD994WY","No premises",NA,NA,NA,NA,FALSE,0
"BD994WZ","No premises",NA,NA,NA,NA,FALSE,0
"BD994XB","No premises",NA,NA,NA,NA,TRUE,0
"BD994XE","No premises",NA,NA,NA,NA,FALSE,0
"BD994XL","No premises",NA,NA,NA,NA,FALSE,0
"BD994YG","No premises",NA,NA,NA,NA,FALSE,0
"BD994YP","No premises",NA,NA,NA,NA,FALSE,0
"BD994YX","No premises",NA,NA,NA,NA,FALSE,0
"BD999XG","No premises",NA,NA,NA,NA,FALSE,0
