"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"BH25AA","OK",TRUE,13.8,16,22.9,TRUE,6
"BH25AD","OK",TRUE,9.9,9.2,20,TRUE,4
"BH25AE","OK",TRUE,30,20,30,TRUE,5
"BH25AF","OK",FALSE,18.1,15.6,30,TRUE,12
"BH25AG","No premises",NA,NA,NA,NA,TRUE,0
"BH25AH","No premises",NA,NA,NA,NA,TRUE,0
"BH25AJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BH25AJ","No Data",NA,NA,NA,NA,TRUE,0
"BH25AN","No premises",NA,NA,NA,NA,TRUE,0
"BH25AQ","OK",FALSE,12.3,14.3,16.4,TRUE,5
"BH25AR","OK",FALSE,10.2,7.8,17,TRUE,5
"BH25AT","OK",FALSE,30,20,30,TRUE,56
"BH25AU","OK",FALSE,25.6,30,30,TRUE,5
"BH25AX","No premises",NA,NA,NA,NA,TRUE,0
"BH25AY","No premises",NA,NA,NA,NA,TRUE,0
"BH25AZ","OK",FALSE,14,16.4,20.6,TRUE,7
"BH25BA","OK",FALSE,24.7,15.7,30,TRUE,5
"BH25BB","OK",FALSE,19,19.7,21.3,TRUE,4
"BH25BD","OK",FALSE,30,24,30,TRUE,9
"BH25BE","No premises",NA,NA,NA,NA,TRUE,0
"BH25BH","No premises",NA,NA,NA,NA,TRUE,0
"BH25BN","OK",FALSE,4.9,4.9,4.9,TRUE,3
"BH25BR","OK",FALSE,21.5,13.7,30,TRUE,43
"BH25BT","OK",FALSE,11.8,11,16.4,TRUE,5
"BH25BU","Insufficient Data",NA,NA,NA,NA,FALSE,2
"BH25BX","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BH25BX","No Data",NA,NA,NA,NA,TRUE,0
"BH25BY","Insufficient Data",NA,NA,NA,NA,TRUE,1
"BH25DA","OK",FALSE,8.3,9.1,10.3,TRUE,6
"BH25DB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
