"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"BL00AA","Insufficient Data",NA,NA,NA,NA,TRUE,2
"BL00AB","OK",TRUE,9.2,10,15.9,TRUE,4
"BL00AD","No Data",NA,NA,NA,NA,FALSE,0
"BL00AE","No premises",NA,NA,NA,NA,TRUE,0
"BL00AG","OK",FALSE,24.2,20.1,30,TRUE,14
"BL00AH","OK",FALSE,11.1,11.4,16.8,TRUE,5
"BL00AJ","OK",FALSE,12.1,11.7,15.9,TRUE,4
"BL00AL","OK",FALSE,19.7,17.8,30,TRUE,23
"BL00AN","OK",TRUE,20.8,10,30,TRUE,13
"BL00AP","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BL00AP","No Data",NA,NA,NA,NA,TRUE,0
"BL00AQ","OK",FALSE,24.8,19.6,30,TRUE,13
"BL00AR","OK",FALSE,30,20.8,30,TRUE,9
"BL00AS","OK",FALSE,24.3,19.5,30,TRUE,12
"BL00AT","OK",FALSE,17.9,17.4,30,TRUE,27
"BL00AU","OK",FALSE,19,18.5,30,TRUE,17
"BL00AW","OK",FALSE,21,16.5,30,TRUE,13
"BL00AX","OK",FALSE,20.2,12.1,30,TRUE,13
"BL00AY","OK",FALSE,15.6,15.2,19.7,TRUE,6
"BL00AZ","OK",TRUE,26.7,19,30,TRUE,19
"BL00BA","OK",FALSE,24.7,18.2,30,TRUE,20
"BL00BB","OK",FALSE,19.6,16.3,30,TRUE,18
"BL00BD","OK",FALSE,18.1,16.1,30,TRUE,27
"BL00BE","OK",FALSE,21,17,30,TRUE,24
"BL00BG","OK",TRUE,20.3,17.1,30,TRUE,45
"BL00BH","OK",FALSE,14.6,15.2,30,TRUE,16
"BL00BJ","OK",FALSE,27.4,16.2,30,TRUE,12
"BL00BL","OK",FALSE,15.4,8.8,30,TRUE,24
"BL00BN","OK",FALSE,30,18.1,30,TRUE,10
"BL00BQ","OK",FALSE,23.5,16.3,30,TRUE,9
"BL00BS","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BL00BS","No Data",NA,NA,NA,NA,TRUE,0
"BL00BT","OK",FALSE,19.9,17.2,30,TRUE,5
"BL00BY","OK",FALSE,17.8,12.2,30,TRUE,15
"BL00BZ","OK",TRUE,14.6,7.1,30,TRUE,13
"BL00DA","OK",FALSE,12.4,7.4,30,TRUE,8
"BL00DB","OK",FALSE,7.9,8.4,10.9,TRUE,3
"BL00DD","No premises",NA,NA,NA,NA,TRUE,0
"BL00DE","OK",FALSE,21.6,14.6,30,TRUE,27
"BL00DF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BL00DF","No Data",NA,NA,NA,NA,TRUE,0
"BL00DG","OK",FALSE,17.1,10.9,30,TRUE,24
"BL00DH","OK",FALSE,23.2,19.5,30,TRUE,7
"BL00DL","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BL00DL","No Data",NA,NA,NA,NA,TRUE,0
"BL00DN","OK",FALSE,13.7,7,30,TRUE,6
"BL00DP","OK",TRUE,22.5,25.1,30,TRUE,8
