"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"BN90AB","OK",FALSE,11.7,8.1,20.2,FALSE,9
"BN90AD","OK",FALSE,13.7,13.7,15.1,FALSE,4
"BN90AG","OK",FALSE,8.5,8.1,12.1,TRUE,7
"BN90AL","No Data",NA,NA,NA,NA,FALSE,0
"BN90AP","Insufficient Data",NA,NA,NA,NA,FALSE,1
"BN90AS","Insufficient Data",NA,NA,NA,NA,FALSE,2
"BN90AU","No premises",NA,NA,NA,NA,FALSE,0
"BN90AY","OK",FALSE,14.5,16.2,17.1,FALSE,6
"BN90BA","OK",FALSE,16,16.4,19.7,FALSE,18
"BN90BB","OK",TRUE,10.1,12.3,14.3,FALSE,12
"BN90BD","No premises",NA,NA,NA,NA,FALSE,0
"BN90BF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BN90BF","No Data",NA,NA,NA,NA,FALSE,0
"BN90BG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BN90BG","No Data",NA,NA,NA,NA,TRUE,0
"BN90BH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BN90BH","No Data",NA,NA,NA,NA,FALSE,0
"BN90BN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BN90BN","No Data",NA,NA,NA,NA,FALSE,0
"BN90BP","OK",FALSE,10.9,12.3,16.4,FALSE,5
"BN90BT","OK",FALSE,14.8,15.4,19.8,FALSE,24
"BN90BU","OK",FALSE,13.9,15.4,19.1,FALSE,17
"BN90BX","OK",FALSE,8.9,9,13.8,FALSE,5
"BN90BY","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BN90BY","No Data",NA,NA,NA,NA,TRUE,0
"BN90BZ","No premises",NA,NA,NA,NA,FALSE,0
"BN90DA","OK",FALSE,10.9,11.9,14.9,FALSE,18
"BN90DD","Insufficient Data",NA,NA,NA,NA,FALSE,2
"BN90DE","Insufficient Data",NA,NA,NA,NA,FALSE,1
"BN90DF","Insufficient Data",NA,NA,NA,NA,FALSE,1
"BN90DH","OK",FALSE,10.9,13,20.5,TRUE,7
"BN90DJ","OK",FALSE,13,14.4,15.4,FALSE,4
"BN90DN","OK",FALSE,15.4,8.2,30,TRUE,5
"BN90DP","Insufficient Data",NA,NA,NA,NA,FALSE,1
"BN90DQ","OK",FALSE,10,8.8,14.9,FALSE,4
"BN90DR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BN90DR","No Data",NA,NA,NA,NA,FALSE,0
"BN90DS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BN90DS","No Data",NA,NA,NA,NA,FALSE,0
"BN90DU","OK",FALSE,9.1,7.9,18.3,FALSE,4
"BN90EA","No premises",NA,NA,NA,NA,FALSE,0
"BN90ED","No premises",NA,NA,NA,NA,FALSE,0
"BN90EE","OK",FALSE,13.8,6.7,30,TRUE,5
"BN90EF","OK",FALSE,5.6,6.8,7.7,TRUE,5
"BN90EH","Insufficient Data",NA,NA,NA,NA,FALSE,2
"BN90ES","No Data",NA,NA,NA,NA,FALSE,0
"BN90EX","OK",FALSE,10.9,12,16,FALSE,4
"BN90HE","OK",FALSE,12.2,12.6,16.3,FALSE,18
"BN90HG","OK",FALSE,9,9.1,12.5,FALSE,11
"BN90HH","OK",FALSE,5.1,5.2,6.8,TRUE,8
"BN90HJ","OK",TRUE,5.7,6.2,8.2,TRUE,10
"BN90HL","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BN90HL","No Data",NA,NA,NA,NA,TRUE,0
"BN90HN","OK",FALSE,13.2,4.5,30,TRUE,5
"BN90HQ","OK",FALSE,4.7,4.9,7,TRUE,5
"BN90HS","OK",FALSE,5.7,5.7,6.4,TRUE,3
"BN90HT","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BN90HT","No Data",NA,NA,NA,NA,TRUE,0
"BN90HU","OK",FALSE,6.5,6.2,8,TRUE,3
"BN90JA","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BN90JA","No Data",NA,NA,NA,NA,TRUE,0
"BN90JD","OK",TRUE,1.8,1.7,2.2,TRUE,3
"BN90JE","OK",TRUE,2,1.9,2.5,TRUE,3
"BN90JF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BN90JF","No Data",NA,NA,NA,NA,FALSE,0
"BN90JH","OK",TRUE,3.7,4,6.5,TRUE,7
"BN90JJ","OK",TRUE,10.6,6.3,30,TRUE,11
"BN90JL","OK",FALSE,5.1,5,5.9,TRUE,4
"BN90JN","OK",FALSE,8.2,5.4,30,TRUE,11
"BN90JP","OK",FALSE,15.4,6.1,30,TRUE,5
"BN90JR","OK",FALSE,7.9,8.2,8.9,TRUE,6
"BN90JT","OK",FALSE,22.6,22.9,30,TRUE,4
"BN90JU","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BN90JU","No Data",NA,NA,NA,NA,TRUE,0
"BN90JY","OK",FALSE,4.7,4.2,8.1,TRUE,11
"BN90JZ","OK",TRUE,10.5,5.4,30,TRUE,15
"BN90LA","No premises",NA,NA,NA,NA,FALSE,0
"BN90LN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BN90LN","No Data",NA,NA,NA,NA,TRUE,0
"BN90LP","Insufficient Data",NA,NA,NA,NA,TRUE,2
"BN90LR","OK",FALSE,8.9,7.8,14.4,TRUE,5
"BN90LS","OK",TRUE,21.8,8.9,30,TRUE,12
"BN90LT","OK",FALSE,19.4,9.1,30,TRUE,9
