"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"BR44AA","No premises",NA,NA,NA,NA,FALSE,0
"BR44AD","No premises",NA,NA,NA,NA,FALSE,0
"BR44AP","No premises",NA,NA,NA,NA,FALSE,0
"BR44AQ","No premises",NA,NA,NA,NA,FALSE,0
"BR44AT","No premises",NA,NA,NA,NA,FALSE,0
"BR44AU","No premises",NA,NA,NA,NA,FALSE,0
"BR44AW","No premises",NA,NA,NA,NA,FALSE,0
"BR44AX","No premises",NA,NA,NA,NA,FALSE,0
"BR44AY","No premises",NA,NA,NA,NA,FALSE,0
"BR44AZ","No premises",NA,NA,NA,NA,FALSE,0
