"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"BT39AA","Insufficient Data",NA,NA,NA,NA,FALSE,1
"BT39AD","No premises",NA,NA,NA,NA,FALSE,0
"BT39AE","No premises",NA,NA,NA,NA,TRUE,0
"BT39AG","OK",TRUE,5.2,7,8.1,FALSE,3
"BT39AH","Insufficient Data",NA,NA,NA,NA,FALSE,2
"BT39AL","Insufficient Data",NA,NA,NA,NA,FALSE,1
"BT39AQ","OK",FALSE,2.9,3.1,3.3,FALSE,3
"BT39AR","OK",FALSE,4.7,4.3,8.1,FALSE,6
"BT39AS","OK",FALSE,16,9.7,30,FALSE,4
"BT39AY","No premises",NA,NA,NA,NA,FALSE,0
"BT39BD","No premises",NA,NA,NA,NA,FALSE,0
"BT39BG","No premises",NA,NA,NA,NA,FALSE,0
"BT39BJ","OK",TRUE,3.1,3.7,4.6,FALSE,5
"BT39BN","No premises",NA,NA,NA,NA,FALSE,0
"BT39BP","OK",FALSE,14.8,6.6,30,TRUE,10
"BT39BS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BT39BU","Insufficient Data",NA,NA,NA,NA,FALSE,1
"BT39BW","OK",FALSE,12.8,6.2,30,TRUE,11
"BT39BX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BT39BY","No premises",NA,NA,NA,NA,FALSE,0
"BT39DA","OK",FALSE,11.4,11.3,17.6,TRUE,66
"BT39DB","OK",FALSE,12.4,12.2,16.4,FALSE,39
"BT39DE","Insufficient Data",NA,NA,NA,NA,TRUE,2
"BT39DF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BT39DH","No Data",NA,NA,NA,NA,TRUE,0
"BT39DJ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"BT39DL","No Data",NA,NA,NA,NA,FALSE,0
"BT39DP","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BT39DR","No premises",NA,NA,NA,NA,TRUE,0
"BT39DT","OK",TRUE,2.8,3,5.5,TRUE,21
"BT39DU","No premises",NA,NA,NA,NA,FALSE,0
"BT39DY","OK",FALSE,5.6,5,8.1,TRUE,6
"BT39DZ","No premises",NA,NA,NA,NA,TRUE,0
"BT39EA","No premises",NA,NA,NA,NA,TRUE,0
"BT39ED","OK",TRUE,7.6,2.7,30,TRUE,22
"BT39EE","No premises",NA,NA,NA,NA,TRUE,0
"BT39EF","No Data",NA,NA,NA,NA,FALSE,0
"BT39EJ","OK",TRUE,1.5,0.9,3,FALSE,3
"BT39EN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BT39ES","No premises",NA,NA,NA,NA,FALSE,0
"BT39EU","No premises",NA,NA,NA,NA,FALSE,0
"BT39EX","No premises",NA,NA,NA,NA,FALSE,0
"BT39EZ","No premises",NA,NA,NA,NA,TRUE,0
"BT39FB","No Data",NA,NA,NA,NA,FALSE,0
"BT39FD","No Data",NA,NA,NA,NA,TRUE,0
"BT39FE","No Data",NA,NA,NA,NA,FALSE,0
"BT39FG","No Data",NA,NA,NA,NA,TRUE,0
"BT39FH","No Data",NA,NA,NA,NA,FALSE,0
"BT39FJ","No Data",NA,NA,NA,NA,FALSE,0
"BT39FL","No Data",NA,NA,NA,NA,FALSE,0
"BT39FN","No Data",NA,NA,NA,NA,FALSE,0
"BT39FP","No Data",NA,NA,NA,NA,FALSE,0
"BT39FQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BT39HA","No premises",NA,NA,NA,NA,TRUE,0
"BT39HB","OK",TRUE,28.1,3,30,TRUE,3
"BT39HJ","No premises",NA,NA,NA,NA,TRUE,0
"BT39HL","No premises",NA,NA,NA,NA,FALSE,0
"BT39HQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BT39HX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BT39HY","OK",FALSE,8.3,6.7,11.5,FALSE,4
"BT39HZ","No premises",NA,NA,NA,NA,FALSE,0
"BT39JA","OK",FALSE,30,6.4,30,TRUE,3
"BT39JB","OK",FALSE,14.5,5.3,30,TRUE,7
"BT39JG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BT39JH","OK",TRUE,2.8,3,3.9,TRUE,5
"BT39JL","OK",TRUE,13.6,2.8,30,TRUE,17
"BT39JN","No premises",NA,NA,NA,NA,FALSE,0
"BT39JP","OK",TRUE,9.2,5.5,30,TRUE,16
"BT39JQ","OK",TRUE,9.5,3,30,TRUE,13
"BT39JU","OK",TRUE,12.9,3.7,30,TRUE,13
"BT39JZ","No premises",NA,NA,NA,NA,FALSE,0
"BT39LA","OK",TRUE,9.6,2,30,TRUE,5
"BT39LB","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BT39LD","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BT39LE","OK",TRUE,7.1,1.8,30,TRUE,24
"BT39LF","No Data",NA,NA,NA,NA,TRUE,0
"BT39LG","Insufficient Data",NA,NA,NA,NA,TRUE,2
"BT39LL","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BT39LN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BT39LP","Insufficient Data",NA,NA,NA,NA,TRUE,1
"BT39LS","No premises",NA,NA,NA,NA,FALSE,0
"BT39LT","No Data",NA,NA,NA,NA,FALSE,0
"BT39LY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BT39LZ","No Data",NA,NA,NA,NA,TRUE,0
"BT39PF","No premises",NA,NA,NA,NA,TRUE,0
"BT39QQ","OK",TRUE,15.1,3.9,30,TRUE,10
"BT39RP","No premises",NA,NA,NA,NA,FALSE,0
"BT39TR","No premises",NA,NA,NA,NA,FALSE,0
"BT39WA","No premises",NA,NA,NA,NA,FALSE,0
"BT39YD","No premises",NA,NA,NA,NA,FALSE,0
"BT39YE","No premises",NA,NA,NA,NA,FALSE,0
"BT390AA","OK",FALSE,30,30,30,TRUE,19
"BT390AB","Insufficient Data",NA,NA,NA,NA,TRUE,2
"BT390AD","OK",FALSE,21.5,21.7,22.5,TRUE,3
"BT390AE","OK",FALSE,29.1,20.6,30,TRUE,23
"BT390AF","OK",TRUE,17.2,7.8,30,TRUE,9
"BT390AG","OK",FALSE,23.5,18.5,30,TRUE,56
"BT390AH","OK",FALSE,19.3,11.2,30,TRUE,21
"BT390AJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BT390AL","OK",FALSE,14,8.4,30,TRUE,4
"BT390AN","Insufficient Data",NA,NA,NA,NA,TRUE,1
"BT390AP","OK",TRUE,5,4.3,10.1,TRUE,11
"BT390AQ","OK",FALSE,23.8,20.5,30,TRUE,6
"BT390AR","OK",TRUE,3.4,4.4,4.6,TRUE,8
"BT390AS","OK",TRUE,3.2,3.4,4.7,TRUE,26
"BT390AT","OK",TRUE,30,30,30,TRUE,5
"BT390AU","OK",TRUE,26.1,18.9,30,TRUE,47
"BT390AW","Insufficient Data",NA,NA,NA,NA,TRUE,2
"BT390AX","OK",FALSE,27.3,19.6,30,TRUE,10
"BT390AY","OK",FALSE,28.3,19.9,30,TRUE,36
"BT390AZ","OK",FALSE,30,30,30,TRUE,35
"BT390BA","OK",FALSE,30,30,30,TRUE,8
"BT390BB","OK",FALSE,30,30,30,TRUE,42
"BT390BD","OK",FALSE,24.1,24.1,30,TRUE,3
"BT390BE","Insufficient Data",NA,NA,NA,NA,TRUE,2
"BT390BF","OK",FALSE,30,30,30,TRUE,28
"BT390BG","OK",TRUE,27.4,30,30,TRUE,28
"BT390BH","OK",FALSE,30,30,30,TRUE,3
"BT390BJ","OK",FALSE,23,13.8,30,TRUE,7
"BT390BL","OK",FALSE,14.7,13.3,22.8,TRUE,4
"BT390BN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BT390BP","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BT390BQ","No premises",NA,NA,NA,NA,FALSE,0
"BT390BS","OK",TRUE,2.3,1.5,5.7,TRUE,11
"BT390BT","Insufficient Data",NA,NA,NA,NA,TRUE,2
"BT390BU","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BT390BW","OK",TRUE,3,3.1,5.5,TRUE,6
"BT390BX","OK",TRUE,1.1,1.1,1.6,TRUE,4
"BT390BY","OK",TRUE,1.9,0.9,4.2,TRUE,5
"BT390BZ","OK",TRUE,2.6,3,4,TRUE,9
"BT390DA","Insufficient Data",NA,NA,NA,NA,TRUE,1
"BT390DB","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BT390DD","OK",TRUE,25.5,8.1,30,TRUE,8
"BT390DE","OK",FALSE,29.2,30,30,TRUE,3
"BT390DF","OK",FALSE,30,30,30,TRUE,12
"BT390DG","OK",FALSE,23.3,22.6,30,TRUE,20
"BT390DH","OK",TRUE,1.4,0.6,4,TRUE,4
