"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"CF55AA","OK",TRUE,20.5,20,30,TRUE,22
"CF55AB","OK",FALSE,30,20,30,TRUE,11
"CF55AD","OK",FALSE,13.9,8.6,30,TRUE,20
"CF55AE","OK",FALSE,24.7,10.2,30,TRUE,13
"CF55AF","OK",FALSE,21,20,30,TRUE,16
"CF55AG","OK",FALSE,17.7,9.2,30,TRUE,11
"CF55AH","OK",FALSE,15.8,9.8,30,TRUE,14
"CF55AJ","OK",FALSE,30,20,30,TRUE,9
"CF55AL","OK",FALSE,27.6,30,30,TRUE,16
"CF55AN","OK",FALSE,30,25,30,TRUE,19
"CF55AP","OK",TRUE,30,25,30,TRUE,16
"CF55AQ","OK",TRUE,11.8,9,30,TRUE,15
"CF55AR","OK",FALSE,30,25,30,TRUE,8
"CF55AS","OK",TRUE,18.4,14.3,30,TRUE,20
"CF55AT","OK",TRUE,12.4,9.2,30,TRUE,24
"CF55AU","OK",TRUE,19,11.9,30,TRUE,20
"CF55AW","OK",FALSE,14.6,13.3,19.7,TRUE,3
"CF55AX","Insufficient Data",NA,NA,NA,NA,TRUE,2
"CF55AY","OK",FALSE,30,25.6,30,TRUE,4
"CF55AZ","Insufficient Data",NA,NA,NA,NA,TRUE,1
"CF55BA","OK",FALSE,30,24.7,30,TRUE,4
"CF55BB","OK",FALSE,15.4,9.4,30,TRUE,5
"CF55BD","OK",FALSE,21.5,14.5,30,TRUE,29
"CF55BE","OK",TRUE,26.2,30,30,TRUE,24
"CF55BG","OK",FALSE,30,16.7,30,TRUE,14
"CF55BH","OK",FALSE,26.1,25,30,TRUE,20
"CF55BJ","OK",TRUE,29.4,20,30,TRUE,22
"CF55BL","OK",FALSE,16.9,17,20,TRUE,4
"CF55BN","OK",FALSE,30,30,30,TRUE,13
"CF55BP","OK",FALSE,24.7,12,30,TRUE,14
"CF55BQ","OK",TRUE,27,9.5,30,TRUE,12
"CF55BR","Insufficient Data",NA,NA,NA,NA,TRUE,2
"CF55BS","OK",FALSE,16.6,12.5,30,TRUE,16
"CF55BT","OK",TRUE,14.6,7.2,30,TRUE,22
"CF55BU","OK",FALSE,28.8,25,30,TRUE,8
"CF55BW","OK",FALSE,25,20,30,TRUE,18
"CF55BX","OK",FALSE,27.3,20,30,TRUE,16
"CF55BY","OK",FALSE,21.6,20,30,TRUE,26
"CF55BZ","OK",FALSE,18,18.4,30,TRUE,19
"CF55DA","OK",FALSE,30,25,30,TRUE,17
"CF55DB","OK",FALSE,26,20,30,TRUE,19
"CF55DD","OK",FALSE,30,30,30,TRUE,9
"CF55DE","OK",FALSE,30,30,30,TRUE,6
"CF55DF","OK",TRUE,21.1,14.4,30,TRUE,25
"CF55DG","OK",FALSE,11,11.1,15.4,TRUE,7
"CF55DH","OK",FALSE,30,26.2,30,TRUE,9
"CF55DJ","OK",FALSE,10,9.2,17.2,TRUE,14
"CF55DL","OK",TRUE,10.4,10.8,17.9,TRUE,31
"CF55DN","OK",FALSE,13.3,9.6,30,TRUE,16
"CF55DP","OK",FALSE,22.5,20,30,TRUE,12
"CF55DQ","OK",TRUE,10.2,12.2,13,FALSE,5
"CF55DR","OK",TRUE,25.8,30,30,TRUE,21
"CF55DS","OK",TRUE,24.4,20,30,TRUE,17
"CF55DT","OK",FALSE,30,30,30,TRUE,10
"CF55DU","OK",TRUE,28.9,20,30,TRUE,22
"CF55DW","OK",FALSE,25.5,20,30,TRUE,9
"CF55DX","OK",TRUE,26.8,5.1,30,TRUE,9
