"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"CH37AA","OK",FALSE,11.8,9.7,19.9,FALSE,7
"CH37AB","No premises",NA,NA,NA,NA,FALSE,0
"CH37AD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CH37AE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CH37AF","OK",FALSE,17.6,21,24.4,FALSE,11
"CH37AG","OK",TRUE,15.3,17.9,24.4,FALSE,14
"CH37AH","OK",TRUE,19.9,18.8,30,FALSE,20
"CH37AJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CH37AL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CH37AN","OK",FALSE,21.5,21.9,22.6,FALSE,6
"CH37AP","OK",FALSE,16.6,19.3,22.3,FALSE,14
"CH37AQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CH37AR","OK",FALSE,16.1,16.6,21.5,FALSE,15
"CH37AS","OK",TRUE,15,16.5,24.4,FALSE,29
"CH37AT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CH37AU","OK",FALSE,14.8,17.9,22.4,FALSE,6
"CH37AW","OK",FALSE,17.2,18.1,22.6,FALSE,10
"CH37AX","OK",FALSE,14.7,15.3,23.2,FALSE,26
"CH37AY","OK",TRUE,13.7,14.3,22.2,FALSE,31
"CH37AZ","OK",FALSE,12.5,12.3,19.4,FALSE,15
"CH37BA","OK",FALSE,14.4,15.9,20.1,FALSE,26
"CH37BB","OK",FALSE,9.8,11.3,12.2,FALSE,5
"CH37BD","OK",FALSE,13.1,12.7,20.5,FALSE,14
"CH37BE","OK",FALSE,12,11,20.7,FALSE,19
"CH37BF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CH37BH","OK",FALSE,14.5,16.2,30,FALSE,23
"CH37BJ","OK",FALSE,15.2,17,18.3,FALSE,5
"CH37BL","OK",FALSE,13.6,16.1,21.1,FALSE,17
"CH37BN","OK",FALSE,15.9,15.9,21.4,FALSE,11
"CH37BP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CH37BQ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CH37BR","OK",TRUE,12,13.4,21.1,FALSE,10
"CH37BS","OK",FALSE,16.8,21,21.4,FALSE,3
"CH37BT","OK",TRUE,0.6,0.5,1,FALSE,6
"CH37BU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CH37BW","OK",FALSE,13.1,13.7,20,FALSE,14
"CH37DB","OK",FALSE,16,13.6,20.8,FALSE,3
"CH37DD","OK",TRUE,8.8,8.1,20.8,FALSE,23
"CH37DE","OK",FALSE,7.9,7.7,13.4,FALSE,13
"CH37DF","OK",TRUE,7.5,6.5,22.8,FALSE,20
"CH37DG","OK",FALSE,11.7,12.6,18.6,FALSE,12
"CH37DH","OK",FALSE,10.3,9.3,12.8,FALSE,4
"CH37DJ","OK",TRUE,12.4,12.2,23.3,FALSE,34
"CH37DL","OK",FALSE,13.3,14.7,18.6,FALSE,26
"CH37DN","OK",FALSE,12.7,14.9,18.7,FALSE,22
"CH37DP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CH37DQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CH37DR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CH37DS","OK",FALSE,11,11.2,14.3,FALSE,4
"CH37DW","OK",FALSE,12.8,14.3,22.1,FALSE,9
"CH37EA","OK",FALSE,7,6.8,11.2,FALSE,11
"CH37ED","OK",TRUE,9.6,7.2,30,TRUE,21
"CH37EE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"CH37EF","OK",FALSE,8.6,8.4,13.7,FALSE,3
"CH37EG","OK",TRUE,6.3,6.6,11.8,FALSE,4
"CH37EH","OK",TRUE,7.6,7.8,11.3,FALSE,14
"CH37EJ","OK",TRUE,4.7,5.4,8.1,FALSE,30
"CH37EL","OK",TRUE,6.3,5.7,18.8,FALSE,34
"CH37EN","OK",TRUE,5.5,6,8.1,FALSE,27
"CH37EP","OK",FALSE,5.1,5.3,7.6,FALSE,6
"CH37EQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CH37ER","OK",FALSE,7.2,7.7,11.1,FALSE,10
"CH37ES","OK",TRUE,6.6,7,11.6,FALSE,21
"CH37ET","OK",FALSE,6.4,6.2,10.1,FALSE,27
"CH37EU","OK",TRUE,6.6,7.4,8.1,FALSE,9
"CH37EW","OK",TRUE,5.7,5.7,10.8,FALSE,32
"CH37EX","OK",TRUE,5.4,5.1,8.8,TRUE,14
"CH37EY","OK",TRUE,10.4,2.6,30,TRUE,32
"CH37EZ","OK",TRUE,10,2.5,30,TRUE,8
"CH37GA","OK",TRUE,4.6,4.8,7.7,FALSE,33
"CH37GB","OK",TRUE,3.8,4,6,FALSE,14
"CH37HA","OK",TRUE,6.2,3.3,30,TRUE,8
"CH37HB","Insufficient Data",NA,NA,NA,NA,TRUE,2
"CH37HD","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CH37HE","OK",TRUE,5.1,4.8,9.5,FALSE,59
"CH37HF","OK",TRUE,5.7,6,7.9,FALSE,12
"CH37HG","OK",FALSE,6.9,6.3,14.1,FALSE,33
"CH37HH","OK",FALSE,6.2,6.3,7.8,FALSE,9
"CH37HJ","OK",FALSE,6.5,6.9,8.1,FALSE,12
"CH37HL","OK",FALSE,6.6,6.8,7.6,FALSE,6
"CH37HN","OK",FALSE,6.3,6.1,7.8,FALSE,6
"CH37HP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CH37HQ","OK",TRUE,12.7,7,30,FALSE,10
"CH37HS","OK",TRUE,1.9,1.5,2.8,FALSE,3
"CH37HT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CH37HU","No Data",NA,NA,NA,NA,FALSE,0
"CH37HW","OK",TRUE,4.2,4,7.4,FALSE,14
"CH37HX","OK",TRUE,3,3,4.5,FALSE,6
"CH37HY","Insufficient Data",NA,NA,NA,NA,FALSE,1
"CH37HZ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CH37JA","No premises",NA,NA,NA,NA,FALSE,0
"CH37JB","OK",TRUE,1.9,2,3.3,FALSE,5
"CH37JD","No premises",NA,NA,NA,NA,FALSE,0
"CH37JE","OK",TRUE,2.8,2.8,3.6,FALSE,17
"CH37JF","OK",TRUE,1.8,1.7,4,FALSE,27
"CH37JH","OK",TRUE,2.6,2.3,4.5,FALSE,19
"CH37JJ","OK",TRUE,2.8,2.3,4.8,FALSE,10
"CH37JL","OK",TRUE,2.6,2.8,4,FALSE,11
"CH37JN","OK",TRUE,2.5,2.7,3.3,FALSE,4
"CH37JQ","Insufficient Data",NA,NA,NA,NA,FALSE,1
"CH37JR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CH37JS","No Data",NA,NA,NA,NA,FALSE,0
"CH37JT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CH37JU","OK",TRUE,2,2,6.8,FALSE,13
"CH37JW","OK",TRUE,1.3,1.2,2.3,FALSE,18
"CH37JY","OK",TRUE,2.2,1.7,5.1,FALSE,6
"CH37JZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CH37LA","OK",TRUE,0.9,0.9,2,FALSE,10
"CH37LB","OK",TRUE,1.2,1.3,1.7,FALSE,9
"CH37LD","OK",TRUE,2.5,2.3,7.4,FALSE,15
"CH37LE","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CH37LF","OK",TRUE,3.5,3.2,7.7,FALSE,13
"CH37LG","OK",TRUE,3.7,4,6.7,FALSE,7
"CH37LH","OK",TRUE,3,2.8,7.3,FALSE,13
"CH37LJ","OK",FALSE,9.9,8.1,17.4,FALSE,6
"CH37LL","OK",TRUE,3.1,2.8,7.4,FALSE,6
"CH37LN","Insufficient Data",NA,NA,NA,NA,FALSE,1
"CH37LP","OK",TRUE,1.8,1.7,2.8,FALSE,5
"CH37LR","No Data",NA,NA,NA,NA,FALSE,0
"CH37LS","OK",TRUE,2.2,2.3,3.2,FALSE,6
"CH37LT","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CH37LU","OK",TRUE,2.9,3.2,4.5,FALSE,6
"CH37NA","OK",FALSE,5.6,5.2,9.8,FALSE,14
"CH37NB","OK",TRUE,4.1,3.8,7.6,FALSE,9
"CH37ND","OK",FALSE,4.8,4.2,6.4,FALSE,5
"CH37NE","OK",TRUE,3,3.1,6.4,FALSE,13
"CH37NF","OK",TRUE,3.9,4,5.1,FALSE,10
"CH37NG","OK",FALSE,5.7,4.2,19,FALSE,14
"CH37NH","OK",TRUE,3.9,3.7,7.1,FALSE,21
"CH37NJ","OK",TRUE,4.6,4.7,7.2,FALSE,15
"CH37NL","OK",TRUE,4,3.8,7.7,FALSE,16
"CH37NN","OK",FALSE,4.2,3.8,7.7,FALSE,25
"CH37NP","OK",TRUE,5.5,5.6,7.8,FALSE,29
"CH37NQ","OK",TRUE,3.6,3.7,6.6,FALSE,10
"CH37NR","OK",TRUE,3.9,4.4,7.1,FALSE,25
"CH37NS","OK",FALSE,6.3,6.7,6.9,FALSE,3
"CH37NT","OK",TRUE,5.7,6.1,9.5,FALSE,10
"CH37NU","OK",TRUE,5,4.6,8,FALSE,12
"CH37NW","OK",TRUE,4.6,5.2,6.4,FALSE,12
