"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"CH89AE","OK",TRUE,1.8,1.5,3.8,FALSE,18
"CH89AF","OK",TRUE,3.1,2.8,5.9,FALSE,9
"CH89AG","OK",TRUE,3.6,2.7,6.1,FALSE,3
"CH89AH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CH89AH","No Data",NA,NA,NA,NA,FALSE,0
"CH89AJ","OK",TRUE,3.7,3.7,5.2,FALSE,9
"CH89AL","OK",TRUE,2.5,2.2,4.1,FALSE,9
"CH89AN","Insufficient Data",NA,NA,NA,NA,FALSE,1
"CH89AP","OK",FALSE,4.7,4.6,6.6,FALSE,12
"CH89AR","OK",TRUE,3.7,3.8,6.8,FALSE,4
"CH89AS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CH89AS","No Data",NA,NA,NA,NA,FALSE,0
"CH89AW","OK",TRUE,4.5,3.6,11.2,FALSE,6
"CH89AY","OK",FALSE,8.4,7.8,13.4,FALSE,4
"CH89AZ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CH89BA","OK",TRUE,1.8,1.8,2.9,FALSE,27
"CH89BB","OK",TRUE,2.2,2.6,2.8,FALSE,3
"CH89BD","OK",TRUE,1.8,2,3.2,FALSE,22
"CH89BE","OK",TRUE,1.4,1.4,2.4,FALSE,6
"CH89BG","OK",TRUE,2,2,2.5,FALSE,4
"CH89BH","OK",TRUE,2.3,2.3,3.3,FALSE,4
"CH89BJ","Insufficient Data",NA,NA,NA,NA,FALSE,1
"CH89BL","OK",TRUE,1.6,1.5,2.5,FALSE,6
"CH89BN","OK",TRUE,1.7,1.9,2.9,FALSE,23
"CH89BP","OK",TRUE,2,2.4,2.5,FALSE,3
"CH89BQ","OK",TRUE,2.2,2,4.4,FALSE,7
"CH89BR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CH89BR","No Data",NA,NA,NA,NA,FALSE,0
"CH89BT","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CH89BU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CH89BU","No Data",NA,NA,NA,NA,FALSE,0
"CH89BW","OK",TRUE,1.8,1.9,2.9,FALSE,25
"CH89BY","OK",TRUE,4.2,2,30,FALSE,33
"CH89BZ","OK",TRUE,1.7,1.5,3.9,FALSE,50
"CH89DD","OK",TRUE,3,2.6,6.1,FALSE,9
"CH89DE","OK",TRUE,1.6,1.2,4.1,FALSE,19
"CH89DH","OK",TRUE,2.1,1.8,5.9,FALSE,29
"CH89DJ","OK",TRUE,1.7,1.7,2.6,FALSE,6
"CH89DL","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CH89DN","OK",TRUE,3.3,2,7.1,FALSE,11
"CH89DP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CH89DP","No Data",NA,NA,NA,NA,FALSE,0
"CH89DT","No premises",NA,NA,NA,NA,FALSE,0
"CH89DU","OK",TRUE,1.9,2.2,2.8,FALSE,6
"CH89DW","OK",FALSE,5.7,6.1,8.1,FALSE,4
"CH89DX","OK",TRUE,2.9,2.3,7.2,FALSE,13
"CH89DZ","OK",TRUE,8,7.7,14.5,FALSE,16
"CH89EA","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CH89ED","OK",TRUE,4,4.2,6.3,FALSE,8
"CH89EF","OK",FALSE,6.4,6.8,8.9,FALSE,4
"CH89EG","OK",TRUE,4.3,3.3,8.4,FALSE,5
"CH89EJ","OK",TRUE,5.7,5.8,8.7,FALSE,24
"CH89EN","OK",TRUE,1.3,1.3,2.4,FALSE,3
"CH89EP","OK",TRUE,2.5,2.8,3.8,FALSE,16
"CH89EQ","OK",TRUE,3.2,3,6,FALSE,12
"CH89ER","OK",TRUE,2.2,2.2,3.2,FALSE,7
