"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"CM13AA","OK",TRUE,3.5,3.8,4.9,TRUE,3
"CM13AB","No premises",NA,NA,NA,NA,FALSE,0
"CM13AE","OK",TRUE,26.7,21.1,30,TRUE,4
"CM13AF","OK",TRUE,23.2,7.1,30,TRUE,7
"CM13AG","OK",TRUE,13.2,4.7,30,TRUE,19
"CM13AR","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"CM13AT","No premises",NA,NA,NA,NA,TRUE,0
"CM13AX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CM13BB","No premises",NA,NA,NA,NA,TRUE,0
"CM13BE","No premises",NA,NA,NA,NA,TRUE,0
"CM13BG","No premises",NA,NA,NA,NA,TRUE,0
"CM13BH","No Data",NA,NA,NA,NA,TRUE,0
"CM13BJ","OK",TRUE,17.6,11.9,30,TRUE,60
"CM13BL","OK",FALSE,14.8,8.9,30,TRUE,8
"CM13BP","OK",FALSE,26.1,20,30,TRUE,23
"CM13BQ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"CM13BS","OK",TRUE,26.6,20,30,TRUE,32
"CM13BT","OK",FALSE,16,16.8,30,TRUE,6
"CM13BU","OK",FALSE,22.5,7.6,30,TRUE,21
"CM13BW","OK",FALSE,27.2,20,30,TRUE,27
"CM13BX","OK",TRUE,22.9,20,30,TRUE,14
"CM13BY","OK",TRUE,2.6,1.9,4.2,TRUE,4
"CM13BZ","OK",FALSE,30,30,30,TRUE,11
"CM13DA","OK",TRUE,29.2,20,30,TRUE,27
"CM13DB","OK",FALSE,28.6,20,30,TRUE,8
"CM13DD","OK",TRUE,24.2,20,30,TRUE,15
"CM13DE","OK",TRUE,22.1,5.5,30,TRUE,13
"CM13DF","OK",TRUE,18.8,7,30,TRUE,32
"CM13DG","OK",TRUE,24,20,30,TRUE,15
"CM13DH","OK",TRUE,15.2,5.5,30,TRUE,12
"CM13DJ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"CM13DL","OK",FALSE,30,30,30,TRUE,8
"CM13DN","OK",FALSE,26.8,6.2,30,TRUE,8
"CM13DP","No Data",NA,NA,NA,NA,TRUE,0
"CM13DQ","OK",FALSE,27.7,25,30,TRUE,22
"CM13DR","No premises",NA,NA,NA,NA,TRUE,0
"CM13DS","OK",FALSE,19.2,6,30,TRUE,11
"CM13DT","OK",FALSE,17,17.1,24,FALSE,22
"CM13DU","OK",TRUE,14.1,15.5,21.7,FALSE,27
"CM13DX","OK",FALSE,16,15.5,18.9,FALSE,3
"CM13DY","OK",FALSE,22.4,22.6,23.9,FALSE,5
"CM13DZ","OK",FALSE,14.7,15.1,21.5,FALSE,21
"CM13EA","OK",FALSE,15.5,17.6,21.2,FALSE,19
"CM13EB","OK",TRUE,13.4,14.3,20.3,FALSE,28
"CM13ED","OK",FALSE,15.4,18.3,20.6,FALSE,8
"CM13EE","OK",FALSE,16,16.7,20,FALSE,15
"CM13EF","OK",FALSE,16.3,15.7,21.7,FALSE,3
"CM13EG","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CM13EH","OK",FALSE,15.7,17.9,20.8,FALSE,9
"CM13EJ","OK",FALSE,16.9,19.4,22,FALSE,22
"CM13EL","OK",FALSE,16.1,17.7,23.5,FALSE,26
"CM13EN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CM13EP","No premises",NA,NA,NA,NA,FALSE,0
"CM13EQ","OK",FALSE,15.2,16.7,21.8,FALSE,3
"CM13ES","OK",FALSE,20,20.1,22.2,FALSE,5
"CM13ET","Insufficient Data",NA,NA,NA,NA,FALSE,1
"CM13EU","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CM13EW","OK",FALSE,17.7,18.7,23.6,FALSE,56
"CM13EX","OK",TRUE,12.9,12.4,21.5,FALSE,16
"CM13EY","OK",TRUE,9.2,8.9,16.8,FALSE,7
"CM13EZ","OK",TRUE,11.9,11.9,20.5,FALSE,23
"CM13FB","No premises",NA,NA,NA,NA,FALSE,0
"CM13GA","OK",FALSE,13.5,11.3,21.4,FALSE,3
"CM13GD","OK",FALSE,15,15.2,21.2,FALSE,3
"CM13GE","No premises",NA,NA,NA,NA,FALSE,0
"CM13GF","OK",FALSE,22.1,6.9,30,TRUE,28
"CM13GG","OK",TRUE,9,5.3,30,TRUE,8
"CM13GH","OK",TRUE,10.8,6.5,30,TRUE,45
"CM13GJ","OK",FALSE,16.6,9.8,30,FALSE,9
"CM13GL","OK",TRUE,13.6,7.4,30,TRUE,34
"CM13GN","OK",FALSE,15.8,6,30,TRUE,33
"CM13GP","OK",TRUE,11.2,6.6,30,TRUE,49
"CM13GR","OK",FALSE,22.9,7,30,TRUE,30
"CM13GS","OK",TRUE,11.7,6.1,30,TRUE,45
"CM13GU","OK",TRUE,22.4,6.3,30,TRUE,42
"CM13GW","OK",FALSE,17.1,6.3,30,TRUE,34
"CM13GY","OK",TRUE,11.9,6.3,30,TRUE,24
"CM13GZ","OK",FALSE,17.1,6.8,30,TRUE,24
"CM13HB","OK",FALSE,11.1,9.2,20,FALSE,13
"CM13HD","OK",FALSE,14.5,14.8,20,FALSE,14
"CM13HE","OK",FALSE,15.4,15.3,18.7,FALSE,6
"CM13HF","OK",FALSE,11.4,13,16.1,FALSE,11
"CM13HG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CM13HH","OK",FALSE,11,11.1,15.2,FALSE,23
"CM13HJ","OK",FALSE,15.7,16.7,21,FALSE,18
"CM13HL","OK",TRUE,11.6,13,19.1,FALSE,23
"CM13HN","OK",TRUE,11.2,11.9,16.6,FALSE,18
"CM13HP","OK",FALSE,12.6,12.8,17.9,FALSE,24
"CM13HQ","OK",TRUE,10.6,10.2,16.4,FALSE,36
"CM13HR","OK",FALSE,10.5,11.3,14.1,FALSE,15
"CM13HS","OK",FALSE,13.9,15.7,17.5,FALSE,10
"CM13HT","OK",FALSE,13.8,14.5,18,FALSE,5
"CM13HW","OK",TRUE,12.4,14.2,19.8,TRUE,15
"CM13HY","OK",FALSE,13.9,14,22.4,FALSE,5
"CM13HZ","OK",FALSE,15.8,15.5,18.1,FALSE,4
"CM13JA","OK",FALSE,12.9,14.1,18.8,FALSE,9
"CM13JB","OK",FALSE,10.4,8.5,30,FALSE,31
"CM13JD","OK",FALSE,10.8,9.5,15.7,FALSE,3
"CM13JE","OK",FALSE,12.5,13.4,20,FALSE,34
"CM13JF","OK",TRUE,11.1,14.2,20.8,FALSE,9
"CM13JG","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CM13JH","OK",FALSE,9.9,9.5,15.9,FALSE,31
"CM13JJ","OK",FALSE,12.9,12.7,13.6,FALSE,5
"CM13JL","OK",FALSE,8.6,8.1,13,FALSE,22
"CM13JN","OK",FALSE,10.3,10.2,16.8,FALSE,12
"CM13JP","OK",FALSE,10.9,10.9,15.4,FALSE,10
"CM13JQ","OK",FALSE,10.5,11.7,14.1,FALSE,10
"CM13JR","OK",FALSE,9.8,8.6,18,FALSE,33
"CM13JS","OK",FALSE,8.4,7.3,13.9,FALSE,5
"CM13JT","OK",FALSE,8.9,8.1,13.9,FALSE,15
"CM13JU","OK",FALSE,11.6,11,16.1,FALSE,10
"CM13JW","OK",FALSE,7.5,6.5,12,FALSE,3
"CM13JX","Insufficient Data",NA,NA,NA,NA,FALSE,1
"CM13JY","Insufficient Data",NA,NA,NA,NA,FALSE,1
"CM13JZ","OK",FALSE,11,12.1,14.6,FALSE,7
"CM13LE","OK",TRUE,14.5,11.3,30,FALSE,17
"CM13LF","OK",FALSE,9.8,9.4,15.4,FALSE,25
"CM13LG","OK",TRUE,7.5,7.4,12.9,FALSE,41
"CM13LH","OK",TRUE,7,6.8,12.3,FALSE,29
"CM13LJ","OK",TRUE,10,10.8,17,FALSE,19
"CM13LL","OK",FALSE,9.1,8.1,16.4,FALSE,27
"CM13LN","OK",FALSE,10.7,11.1,18,FALSE,20
"CM13LP","OK",TRUE,7.5,7.1,14.2,FALSE,44
"CM13LQ","OK",FALSE,8,8,15,FALSE,15
"CM13LR","OK",FALSE,7.7,7.9,10.4,FALSE,6
"CM13LS","OK",FALSE,11.5,12.7,17.2,FALSE,7
"CM13LT","OK",FALSE,11.6,11.3,24.4,FALSE,26
"CM13LW","OK",FALSE,10.2,9,15.5,FALSE,16
"CM13LY","OK",TRUE,8.2,8.1,16.7,FALSE,21
"CM13NA","OK",TRUE,15.7,16.7,24.4,FALSE,28
"CM13NB","OK",FALSE,17.2,18.3,22.5,FALSE,28
"CM13ND","OK",TRUE,11.7,13.1,22,FALSE,10
"CM13NE","OK",TRUE,15.2,17.2,23.1,FALSE,16
"CM13NF","OK",FALSE,14.8,15.8,18.8,FALSE,4
"CM13NG","OK",TRUE,14.2,16,19.5,FALSE,9
"CM13NH","OK",FALSE,11.6,11.5,19.5,FALSE,25
"CM13NJ","OK",FALSE,7.3,7.5,15.5,FALSE,15
"CM13NL","OK",FALSE,14.5,16.5,19.8,FALSE,7
"CM13NN","OK",FALSE,12.1,13.1,17.2,FALSE,10
"CM13NP","No Data",NA,NA,NA,NA,FALSE,0
"CM13NQ","OK",FALSE,13.1,13.9,20,FALSE,22
"CM13NR","OK",FALSE,14.7,16,20.8,FALSE,8
"CM13NS","OK",FALSE,9.7,8.9,17.2,FALSE,9
"CM13NT","OK",FALSE,11.2,11,18.4,FALSE,19
"CM13NU","OK",FALSE,18.1,20.6,24.4,FALSE,23
"CM13NW","OK",FALSE,11,10.4,17.9,FALSE,19
"CM13NX","OK",TRUE,14.6,16.2,21.7,FALSE,42
"CM13NY","OK",FALSE,10.8,11.3,16.3,FALSE,6
"CM13NZ","OK",FALSE,7.3,7.7,15.5,FALSE,8
"CM13PA","OK",TRUE,14.6,16.2,21.9,FALSE,39
"CM13PB","OK",TRUE,9.5,9,17.7,FALSE,13
"CM13PD","OK",TRUE,14.3,15.9,21.7,FALSE,39
"CM13PE","OK",FALSE,13.7,13.8,21.1,FALSE,6
"CM13PF","OK",FALSE,12.2,12.2,16.1,FALSE,6
"CM13PH","OK",FALSE,4.8,4.5,7.7,FALSE,3
"CM13PJ","OK",FALSE,6.2,6.9,8.5,FALSE,8
"CM13PL","No premises",NA,NA,NA,NA,FALSE,0
"CM13PN","OK",TRUE,4.2,4.5,7.3,FALSE,9
"CM13PQ","OK",FALSE,12.8,15.3,18,FALSE,8
"CM13PR","OK",FALSE,8,8.4,13.6,FALSE,20
"CM13PS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CM13PT","No premises",NA,NA,NA,NA,FALSE,0
"CM13PU","OK",FALSE,8.5,9.3,12.2,FALSE,4
"CM13PW","OK",FALSE,9.7,9.6,15.5,FALSE,7
"CM13PX","OK",FALSE,4.9,4.9,5.8,FALSE,6
"CM13PZ","No premises",NA,NA,NA,NA,FALSE,0
"CM13QA","No premises",NA,NA,NA,NA,FALSE,0
"CM13QD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CM13QE","OK",TRUE,4.3,4.7,8.1,FALSE,10
"CM13QF","OK",FALSE,4.4,3.8,6.8,FALSE,6
"CM13QG","OK",TRUE,4.2,4.6,8.1,FALSE,11
"CM13QH","OK",TRUE,3.8,3.3,8.1,FALSE,25
"CM13QJ","OK",FALSE,5.7,6,6.8,FALSE,6
"CM13QL","OK",FALSE,4.9,4.1,7.8,FALSE,4
"CM13QP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CM13QR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CM13QS","OK",TRUE,2.5,2.8,4.3,FALSE,5
"CM13QT","OK",TRUE,2.8,2.5,5.7,FALSE,7
"CM13QU","OK",TRUE,0.9,0.8,1.3,FALSE,3
"CM13QW","OK",TRUE,3.1,4,4.7,FALSE,7
"CM13QY","OK",TRUE,1.2,1.3,1.4,FALSE,4
"CM13QZ","No Data",NA,NA,NA,NA,FALSE,0
"CM13RA","OK",TRUE,2,2.2,2.3,FALSE,3
"CM13RB","OK",TRUE,1.2,1.2,1.7,FALSE,12
"CM13RD","OK",TRUE,4.7,4.5,7.4,FALSE,17
"CM13RE","OK",TRUE,4.4,5.2,5.8,FALSE,5
"CM13RF","OK",TRUE,3.8,4.1,5.2,FALSE,11
"CM13RG","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CM13RH","OK",FALSE,5.4,5.6,7.4,FALSE,7
"CM13RL","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CM13RN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CM13RP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CM13RQ","OK",FALSE,6.1,6.7,8,FALSE,19
"CM13RR","No premises",NA,NA,NA,NA,FALSE,0
"CM13RS","OK",FALSE,16.7,19.8,22.2,FALSE,3
"CM13RT","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CM13RU","OK",TRUE,9,8.1,20.5,FALSE,11
"CM13RW","OK",FALSE,22.7,9.1,30,TRUE,5
"CM13RX","No premises",NA,NA,NA,NA,FALSE,0
"CM13RY","OK",FALSE,14.3,15.7,19.8,FALSE,5
"CM13RZ","OK",FALSE,6.9,7.1,9.7,FALSE,7
"CM13SA","OK",TRUE,5.2,5.1,7.9,FALSE,11
"CM13SB","OK",FALSE,8.8,8,13.6,FALSE,15
"CM13SD","OK",TRUE,4.5,5.5,6.1,FALSE,4
"CM13SE","OK",TRUE,4.1,4.3,6.5,FALSE,7
"CM13SF","OK",FALSE,4.8,4.8,6.9,FALSE,3
"CM13SG","OK",FALSE,4,3.8,4.7,FALSE,3
"CM13SH","OK",FALSE,7.7,7.6,8.1,FALSE,21
"CM13SJ","OK",TRUE,5.3,5.7,8.1,FALSE,9
"CM13SL","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CM13SN","OK",FALSE,6.9,7.1,8.1,FALSE,6
"CM13SP","OK",TRUE,5.7,7.2,8.1,FALSE,4
"CM13SQ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CM13SR","Insufficient Data",NA,NA,NA,NA,FALSE,1
"CM13SS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CM13ST","OK",FALSE,10,10.7,12.7,FALSE,9
"CM13SU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CM13SX","No premises",NA,NA,NA,NA,TRUE,0
"CM13SY","No premises",NA,NA,NA,NA,FALSE,0
"CM13TF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"CM13TH","No Data",NA,NA,NA,NA,TRUE,0
"CM13TP","No premises",NA,NA,NA,NA,TRUE,0
"CM13TU","No premises",NA,NA,NA,NA,FALSE,0
"CM13TY","No premises",NA,NA,NA,NA,FALSE,0
"CM13UB","Insufficient Data",NA,NA,NA,NA,TRUE,2
"CM13UD","No premises",NA,NA,NA,NA,FALSE,0
"CM13UP","No premises",NA,NA,NA,NA,FALSE,0
"CM13US","OK",FALSE,14.6,13.9,17.4,FALSE,4
"CM13WQ","OK",TRUE,10.6,7.3,30,TRUE,18
"CM13WR","OK",FALSE,4.1,3.9,4.5,FALSE,3
"CM13WS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CM13WT","OK",FALSE,13.6,14.9,16.6,FALSE,5
"CM13WX","No premises",NA,NA,NA,NA,FALSE,0
"CM13WY","No premises",NA,NA,NA,NA,FALSE,0
"CM13XZ","No premises",NA,NA,NA,NA,FALSE,0
"CM13YA","OK",FALSE,10,8.1,19.5,FALSE,3
"CM13YB","No premises",NA,NA,NA,NA,FALSE,0
"CM131AB","OK",TRUE,19.3,4.8,30,TRUE,14
"CM131AD","OK",TRUE,25.7,23.6,30,TRUE,8
"CM131AE","OK",TRUE,20.5,7.8,30,TRUE,7
"CM131AF","OK",TRUE,5.4,5.1,9.8,TRUE,8
"CM131AG","OK",FALSE,29.8,30,30,TRUE,23
"CM131AH","OK",TRUE,9.5,4.3,30,TRUE,6
"CM131AJ","OK",TRUE,17.9,14.2,30,TRUE,15
"CM131AL","No premises",NA,NA,NA,NA,FALSE,0
"CM131AN","OK",TRUE,13.5,2.7,30,TRUE,11
"CM131AP","OK",TRUE,30,30,30,TRUE,4
"CM131AQ","OK",TRUE,30,30,30,TRUE,6
"CM131AR","No Data",NA,NA,NA,NA,TRUE,0
"CM131AS","OK",TRUE,9.1,6.6,20,TRUE,6
"CM131AT","OK",FALSE,10.7,5.8,30,TRUE,8
"CM131AU","OK",TRUE,30,30,30,TRUE,4
"CM131AX","OK",TRUE,14,2.3,30,TRUE,16
"CM131AY","OK",TRUE,12.9,6.9,30,TRUE,10
"CM131AZ","OK",FALSE,19.2,14.5,30,TRUE,24
"CM131BA","OK",TRUE,13.5,3.7,30,TRUE,4
"CM131BD","No premises",NA,NA,NA,NA,TRUE,0
"CM131BE","OK",FALSE,29.2,30,30,TRUE,3
"CM131BG","OK",TRUE,19.9,4.8,30,TRUE,18
"CM131BH","OK",TRUE,27.3,3.6,30,TRUE,12
"CM131BJ","OK",TRUE,21.4,3.4,30,TRUE,11
"CM131BL","OK",TRUE,30,4.4,30,TRUE,5
"CM131BN","OK",TRUE,24.2,8,30,TRUE,4
