"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"CO85AA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CO85AB","OK",FALSE,7.6,7.6,7.6,FALSE,4
"CO85AD","OK",FALSE,8.8,8,23.4,FALSE,18
"CO85AE","OK",FALSE,8,8.1,17.4,FALSE,33
"CO85AG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CO85AH","OK",TRUE,4.7,4.7,8.1,FALSE,4
"CO85AJ","OK",FALSE,7.4,7.6,8.1,FALSE,6
"CO85AL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CO85AN","OK",FALSE,5.5,5.4,8.1,FALSE,11
"CO85AP","OK",TRUE,4.1,3.4,6.8,FALSE,5
"CO85AR","OK",FALSE,5.2,5.1,8.1,FALSE,4
"CO85AS","OK",TRUE,5.5,6.2,8.1,FALSE,10
"CO85AT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CO85AU","OK",TRUE,1.8,1.4,2.8,FALSE,3
"CO85AW","OK",FALSE,7.2,7.7,8.1,FALSE,6
"CO85AX","OK",TRUE,1.6,1.5,2.4,FALSE,4
"CO85AY","OK",TRUE,1.7,1.9,2.3,FALSE,6
"CO85AZ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CO85BA","OK",TRUE,2.6,2.6,4.5,FALSE,10
"CO85BB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CO85BD","OK",FALSE,5.7,6.5,7.4,FALSE,6
"CO85BE","OK",TRUE,8.1,8.1,19.7,FALSE,42
"CO85BG","OK",FALSE,8.6,7.4,17.6,FALSE,8
"CO85BH","OK",TRUE,4.7,4.4,7.4,FALSE,6
"CO85BJ","OK",TRUE,2.5,2.3,5.2,FALSE,7
"CO85BL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CO85BN","OK",TRUE,1.4,1.4,2.5,FALSE,8
"CO85BP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CO85BQ","OK",TRUE,6.5,8.1,8.1,FALSE,10
"CO85BS","OK",FALSE,7.7,8,8.1,FALSE,11
"CO85BT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
