"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"CR06AA","OK",TRUE,12.1,6.8,30,TRUE,22
"CR06AB","OK",FALSE,30,19.2,30,TRUE,37
"CR06AD","OK",FALSE,25.1,20.6,30,TRUE,18
"CR06AE","OK",FALSE,30,21.8,30,TRUE,11
"CR06AF","OK",FALSE,30,22,30,TRUE,17
"CR06AG","OK",FALSE,20,20,20.4,TRUE,5
"CR06AH","OK",FALSE,25.6,19.3,30,TRUE,23
"CR06AJ","OK",FALSE,30,20,30,TRUE,9
"CR06AL","OK",FALSE,25.2,19.6,30,TRUE,19
"CR06AN","OK",TRUE,27.2,20,30,TRUE,44
"CR06AP","OK",TRUE,22.1,19,30,TRUE,40
"CR06AQ","OK",FALSE,27.3,20.1,30,TRUE,62
"CR06AR","OK",FALSE,15.3,17.7,19.8,TRUE,5
"CR06AS","OK",FALSE,18.2,19.8,21.3,TRUE,8
"CR06AT","OK",FALSE,18.6,15.5,30,TRUE,22
"CR06AU","OK",FALSE,17.6,17.2,21,TRUE,6
"CR06AW","OK",FALSE,15.9,15,30,TRUE,46
"CR06AZ","Insufficient Data",NA,NA,NA,NA,TRUE,1
"CR06BA","OK",FALSE,11.8,10.9,20,TRUE,16
"CR06BB","OK",FALSE,23.3,11.5,30,TRUE,25
"CR06BE","OK",FALSE,28.6,16.1,30,TRUE,21
"CR06BF","OK",TRUE,20.9,8.9,30,TRUE,20
"CR06BG","OK",FALSE,19.4,11.6,30,TRUE,26
"CR06BJ","OK",FALSE,30,20,30,TRUE,32
"CR06BL","OK",TRUE,27.9,30,30,TRUE,45
"CR06BN","OK",FALSE,19.7,9.3,30,TRUE,19
"CR06BP","OK",FALSE,29.3,12.3,30,TRUE,16
"CR06BQ","OK",FALSE,19.4,11.6,30,TRUE,21
"CR06BR","OK",FALSE,30,24.2,30,TRUE,18
"CR06BS","OK",FALSE,16.3,9.7,30,TRUE,8
"CR06BT","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"CR06BT","No Data",NA,NA,NA,NA,TRUE,0
"CR06BW","OK",FALSE,14.8,10.6,30,TRUE,49
"CR06BX","OK",TRUE,24.6,14.1,30,TRUE,46
"CR06BY","OK",FALSE,28.4,20,30,TRUE,40
"CR06BZ","OK",FALSE,23.9,12.5,30,TRUE,53
"CR06DA","OK",FALSE,17.8,14.7,30,TRUE,16
"CR06DB","OK",FALSE,26.1,18.7,30,TRUE,34
"CR06DD","OK",TRUE,26.2,10.2,30,TRUE,19
"CR06DE","OK",FALSE,30,30,30,TRUE,35
"CR06DF","OK",FALSE,21.9,13,30,TRUE,44
"CR06DG","OK",TRUE,30,11.2,30,TRUE,28
"CR06DH","OK",FALSE,30,20,30,TRUE,30
"CR06DJ","OK",TRUE,20,9.5,30,TRUE,20
"CR06DL","OK",TRUE,22.4,15.8,30,TRUE,39
"CR06DN","OK",FALSE,17.4,13.1,30,TRUE,40
"CR06DP","OK",FALSE,25.4,16.4,30,TRUE,30
"CR06DQ","OK",FALSE,18.9,11.9,30,TRUE,27
"CR06DR","OK",FALSE,26.3,11.8,30,TRUE,33
"CR06DS","OK",FALSE,20.3,17.4,30,TRUE,12
"CR06DT","OK",FALSE,25.9,10.6,30,TRUE,24
"CR06DU","OK",FALSE,25.5,11.5,30,TRUE,31
"CR06DW","OK",TRUE,13.1,8.7,30,TRUE,19
"CR06DX","OK",FALSE,30,16.8,30,TRUE,14
"CR06DY","OK",TRUE,24,12.9,30,TRUE,41
"CR06DZ","OK",TRUE,26.5,12.3,30,TRUE,41
"CR06EA","OK",FALSE,22.3,17.5,30,TRUE,59
"CR06EB","OK",TRUE,26.2,18.1,30,TRUE,22
"CR06ED","OK",FALSE,30,20,30,TRUE,35
"CR06EE","OK",TRUE,30,20,30,TRUE,39
"CR06EF","OK",FALSE,19.9,12.3,30,TRUE,44
"CR06EG","OK",FALSE,20.8,12.8,30,TRUE,21
"CR06EH","OK",TRUE,18.4,12.2,30,TRUE,22
"CR06EJ","OK",TRUE,20.6,16.7,30,TRUE,9
"CR06EL","OK",FALSE,20.6,13.3,30,TRUE,20
"CR06EN","OK",FALSE,20.9,13.3,30,TRUE,7
"CR06EP","OK",FALSE,25.6,14.3,30,TRUE,18
"CR06EQ","OK",FALSE,30,30,30,TRUE,17
"CR06ES","OK",FALSE,23.3,17.4,30,TRUE,11
"CR06ET","OK",FALSE,30,13.5,30,TRUE,14
"CR06EU","OK",TRUE,27.5,12.8,30,TRUE,42
"CR06EW","OK",TRUE,15.5,10.7,30,TRUE,21
