"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"CT13AA","OK",TRUE,6.8,5.1,15.9,TRUE,6
"CT13AD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CT13AD","No Data",NA,NA,NA,NA,FALSE,0
"CT13AJ","No premises",NA,NA,NA,NA,FALSE,0
"CT13AN","No premises",NA,NA,NA,NA,FALSE,0
"CT13AP","OK",TRUE,9.9,7.7,17.4,FALSE,7
"CT13AQ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"CT13AQ","No Data",NA,NA,NA,NA,TRUE,0
"CT13AR","OK",TRUE,9.9,9.9,15.5,FALSE,26
"CT13AS","OK",FALSE,14.6,16.6,19.7,FALSE,7
"CT13AT","OK",FALSE,24.2,12,30,TRUE,10
"CT13AU","OK",TRUE,20.2,8.9,30,TRUE,27
"CT13AX","OK",FALSE,10.2,9.7,14.1,TRUE,6
"CT13AY","OK",FALSE,19.7,15.9,30,TRUE,9
"CT13AZ","OK",FALSE,18,9.7,30,TRUE,11
"CT13BB","No premises",NA,NA,NA,NA,FALSE,0
"CT13BE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"CT13BE","No Data",NA,NA,NA,NA,TRUE,0
"CT13BF","OK",FALSE,11.6,12.8,20.3,FALSE,11
"CT13BH","No premises",NA,NA,NA,NA,FALSE,0
"CT13BL","OK",FALSE,20.6,14.1,30,TRUE,14
"CT13BP","OK",FALSE,27.9,13.9,30,TRUE,5
"CT13BS","OK",TRUE,16.5,4.6,30,TRUE,27
"CT13BU","OK",FALSE,18.2,8.1,30,TRUE,12
"CT13BY","OK",FALSE,25.1,9,30,TRUE,6
"CT13BZ","OK",FALSE,19.8,8.6,30,TRUE,11
"CT13DA","OK",FALSE,12.1,14.1,17.5,FALSE,33
"CT13DB","OK",FALSE,17.8,15.8,30,TRUE,15
"CT13DE","OK",TRUE,11.9,14,19.4,FALSE,22
"CT13DF","OK",FALSE,14.3,15.7,19.6,FALSE,8
"CT13DG","OK",FALSE,15.5,15.9,21.9,FALSE,10
"CT13DH","OK",TRUE,8.6,9.2,15.9,FALSE,12
"CT13DJ","OK",FALSE,12.8,12.3,14.5,TRUE,3
"CT13DN","No premises",NA,NA,NA,NA,FALSE,0
"CT13DP","OK",FALSE,11.8,12.9,16.3,TRUE,13
"CT13DR","Insufficient Data",NA,NA,NA,NA,TRUE,1
"CT13DS","OK",FALSE,22,10.2,30,TRUE,19
"CT13DT","OK",TRUE,11,9.5,30,TRUE,35
"CT13DU","No premises",NA,NA,NA,NA,TRUE,0
"CT13DX","OK",FALSE,26.3,13.2,30,TRUE,10
"CT13DZ","OK",TRUE,16.9,11.3,30,TRUE,37
"CT13EB","OK",FALSE,14.4,8.2,30,TRUE,17
"CT13ED","OK",FALSE,18.3,9.2,30,TRUE,13
"CT13EE","OK",FALSE,30,24,30,TRUE,6
"CT13EG","OK",FALSE,20.1,6,30,TRUE,15
"CT13EH","OK",FALSE,14.8,6.4,30,TRUE,22
"CT13EJ","OK",FALSE,10.9,5.9,30,TRUE,16
"CT13EL","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"CT13EL","No Data",NA,NA,NA,NA,TRUE,0
"CT13EN","No premises",NA,NA,NA,NA,TRUE,0
"CT13EP","OK",FALSE,13.9,8.8,30,TRUE,20
"CT13EQ","OK",FALSE,11.7,9.8,30,TRUE,9
"CT13ER","OK",TRUE,11.4,5.1,30,TRUE,12
"CT13ES","OK",FALSE,13.1,7.1,30,TRUE,12
"CT13ET","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"CT13ET","No Data",NA,NA,NA,NA,TRUE,0
"CT13EU","OK",TRUE,4.6,5,7.6,TRUE,4
"CT13EW","No premises",NA,NA,NA,NA,TRUE,0
"CT13EX","OK",FALSE,23.4,9,30,TRUE,19
"CT13EY","OK",FALSE,13.6,8.3,30,TRUE,15
"CT13EZ","OK",FALSE,10.6,11.3,12.9,TRUE,13
"CT13FF","OK",TRUE,8.5,7.7,12.8,FALSE,57
"CT13FG","OK",FALSE,7.5,7.3,13.2,FALSE,41
"CT13FN","OK",FALSE,16.2,15.7,20.8,FALSE,9
"CT13GD","No premises",NA,NA,NA,NA,FALSE,0
"CT13HA","OK",FALSE,12.6,12.8,19.9,FALSE,30
"CT13HB","OK",FALSE,13.2,14.7,16.7,FALSE,12
"CT13HD","OK",FALSE,15.3,16.6,20.8,FALSE,14
"CT13HE","OK",FALSE,19.1,10.1,30,TRUE,12
"CT13HF","OK",FALSE,6.6,5.9,12.4,TRUE,6
"CT13HG","OK",FALSE,15.6,16,20.4,FALSE,13
"CT13HH","No premises",NA,NA,NA,NA,FALSE,0
"CT13HJ","OK",FALSE,13.7,14.3,17.3,FALSE,5
"CT13HL","OK",FALSE,12.5,11.5,18.3,FALSE,7
"CT13HP","OK",FALSE,16.8,17.1,17.5,FALSE,4
"CT13HQ","OK",FALSE,14.8,14.8,30,FALSE,27
"CT13HR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CT13HR","No Data",NA,NA,NA,NA,FALSE,0
"CT13HS","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CT13HT","OK",FALSE,28.7,11.3,30,TRUE,5
"CT13HU","OK",FALSE,12.5,13.3,18,FALSE,40
"CT13HW","OK",FALSE,26.2,13.8,30,TRUE,4
"CT13HX","No premises",NA,NA,NA,NA,FALSE,0
"CT13HY","OK",FALSE,14.9,14.7,19.5,FALSE,10
"CT13HZ","OK",FALSE,14.4,14.2,21,FALSE,11
"CT13JB","OK",TRUE,14.3,16,22.4,FALSE,18
"CT13JD","OK",TRUE,10.9,4.2,30,TRUE,19
"CT13JE","OK",FALSE,15.3,16.9,19.4,FALSE,6
"CT13JF","No premises",NA,NA,NA,NA,FALSE,0
"CT13JG","No premises",NA,NA,NA,NA,FALSE,0
"CT13JH","No premises",NA,NA,NA,NA,FALSE,0
"CT13JJ","No premises",NA,NA,NA,NA,TRUE,0
"CT13JL","OK",FALSE,11.6,9.5,30,TRUE,12
"CT13JN","OK",FALSE,11.6,13,19.1,TRUE,23
"CT13JP","OK",FALSE,13.6,13,30,FALSE,57
"CT13JQ","No premises",NA,NA,NA,NA,FALSE,0
"CT13JR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CT13JR","No Data",NA,NA,NA,NA,FALSE,0
"CT13JS","OK",TRUE,11.4,13.3,17.4,FALSE,9
"CT13JT","OK",TRUE,20,11.6,30,TRUE,22
"CT13JU","OK",FALSE,15.1,9.5,30,TRUE,27
"CT13JW","OK",FALSE,10.1,10.8,13.8,FALSE,4
"CT13JX","OK",FALSE,9.5,10.1,15.1,TRUE,6
"CT13JY","OK",TRUE,5.8,4.9,14.3,TRUE,20
"CT13JZ","OK",FALSE,10.3,5.8,30,TRUE,24
"CT13LA","OK",FALSE,21.2,10,30,TRUE,34
"CT13LB","OK",TRUE,18.4,8.2,30,TRUE,18
"CT13LD","OK",FALSE,16.6,9.3,30,TRUE,13
"CT13LE","OK",FALSE,16.2,9,30,TRUE,17
"CT13LF","OK",FALSE,15.6,9.4,30,TRUE,20
"CT13LG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"CT13LG","No Data",NA,NA,NA,NA,TRUE,0
"CT13LH","OK",TRUE,18.7,6.5,30,TRUE,20
"CT13LJ","OK",TRUE,11.8,8.6,30,TRUE,26
"CT13LL","OK",FALSE,23.8,7.6,30,TRUE,10
"CT13LN","Insufficient Data",NA,NA,NA,NA,TRUE,1
"CT13LP","OK",FALSE,9,9.4,12.9,TRUE,37
"CT13LQ","No premises",NA,NA,NA,NA,FALSE,0
"CT13LR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CT13LR","No Data",NA,NA,NA,NA,FALSE,0
"CT13LS","OK",TRUE,24.3,10,30,TRUE,20
"CT13LT","Insufficient Data",NA,NA,NA,NA,TRUE,2
"CT13LU","OK",TRUE,19.5,6,30,TRUE,13
"CT13LX","OK",TRUE,10,9.6,30,TRUE,36
"CT13LY","OK",FALSE,30,19.6,30,TRUE,4
"CT13LZ","OK",FALSE,18.8,10.2,30,TRUE,7
"CT13NA","OK",FALSE,25.2,10.2,30,TRUE,17
"CT13NB","OK",TRUE,24.3,3.8,30,TRUE,17
"CT13ND","OK",TRUE,28.6,12,30,TRUE,12
"CT13NE","OK",FALSE,20.4,14.3,30,TRUE,18
"CT13NF","OK",TRUE,27.7,28.2,30,TRUE,10
"CT13NG","No premises",NA,NA,NA,NA,TRUE,0
"CT13NH","OK",FALSE,8.3,8.3,10.2,TRUE,3
"CT13NJ","OK",TRUE,14,5.8,30,TRUE,15
"CT13NL","OK",TRUE,13.9,5.2,30,TRUE,14
"CT13NN","OK",FALSE,17.4,8.2,30,TRUE,6
"CT13NP","OK",FALSE,16.3,5.6,30,TRUE,10
"CT13NQ","OK",TRUE,6,7.2,9.3,TRUE,4
"CT13NS","OK",TRUE,16,7.3,30,TRUE,21
"CT13NT","OK",FALSE,13.5,5.9,30,TRUE,19
"CT13NU","OK",FALSE,14.9,7.8,30,TRUE,13
"CT13NW","OK",FALSE,13.6,5.8,30,TRUE,14
"CT13NX","OK",TRUE,15,7.5,30,TRUE,18
"CT13NY","OK",FALSE,8.6,7.3,11.8,TRUE,3
"CT13NZ","No premises",NA,NA,NA,NA,TRUE,0
"CT13PA","OK",FALSE,13,8.7,30,TRUE,41
"CT13PB","OK",FALSE,25.5,15.4,30,TRUE,18
"CT13PD","OK",FALSE,9.6,7.8,30,TRUE,17
"CT13PF","OK",FALSE,25.3,12.8,30,TRUE,14
"CT13PG","OK",FALSE,17,12.4,30,TRUE,12
"CT13PH","OK",TRUE,10.5,8.2,30,TRUE,8
"CT13PJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CT13PJ","No Data",NA,NA,NA,NA,FALSE,0
"CT13PL","OK",FALSE,21.5,17.3,30,TRUE,27
"CT13PN","OK",FALSE,24.7,16.9,30,TRUE,6
"CT13PP","OK",FALSE,30,14.7,30,TRUE,6
"CT13PQ","OK",TRUE,9.4,12.1,12.3,TRUE,4
"CT13PR","Insufficient Data",NA,NA,NA,NA,TRUE,2
"CT13PS","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"CT13PS","No Data",NA,NA,NA,NA,TRUE,0
"CT13PT","OK",FALSE,20.9,14.1,30,TRUE,23
"CT13PU","OK",TRUE,18.8,14.3,30,TRUE,23
"CT13PW","OK",TRUE,19.1,16.9,30,TRUE,30
"CT13PX","OK",FALSE,10.8,11.3,15.4,TRUE,16
"CT13PY","OK",TRUE,17.6,10.5,30,TRUE,40
"CT13PZ","OK",TRUE,12.7,9.7,30,TRUE,16
"CT13QA","OK",TRUE,13.7,10,30,TRUE,37
"CT13QB","OK",TRUE,16.7,12.1,30,TRUE,29
"CT13QD","OK",TRUE,21.4,11.4,30,TRUE,39
"CT13QE","OK",FALSE,15.1,10.1,30,TRUE,30
"CT13QF","OK",FALSE,17.1,12,30,TRUE,25
"CT13QG","OK",FALSE,12.3,9.7,30,TRUE,17
