"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"CT54AA","OK",TRUE,3.1,3.5,4.9,FALSE,16
"CT54AB","OK",TRUE,2.5,2.4,4.1,FALSE,20
"CT54AD","OK",TRUE,3,2.9,4.9,FALSE,18
"CT54AE","OK",TRUE,2.9,3.4,5,FALSE,11
"CT54AF","OK",TRUE,2.7,2.8,3.9,FALSE,15
"CT54AG","OK",TRUE,3,3.3,6.5,FALSE,10
"CT54AH","OK",TRUE,3.1,2.6,11.1,FALSE,18
"CT54AJ","OK",FALSE,2.7,2.5,3.6,FALSE,5
"CT54AL","OK",TRUE,9.8,4,30,TRUE,6
"CT54AN","OK",TRUE,3.3,3.2,5.4,FALSE,25
"CT54AP","OK",TRUE,11,2.4,30,TRUE,20
"CT54AQ","OK",TRUE,2.1,2.5,3.8,FALSE,7
"CT54AR","OK",TRUE,9.3,3.3,30,TRUE,16
"CT54AU","OK",TRUE,12.5,3.3,30,TRUE,15
"CT54AW","OK",TRUE,3,3.1,5,FALSE,26
"CT54AX","OK",TRUE,6.5,3.1,30,TRUE,10
"CT54AY","OK",TRUE,13.8,4.4,30,TRUE,15
"CT54AZ","OK",TRUE,2.2,1.7,4,TRUE,6
"CT54BA","OK",TRUE,21.3,3.2,30,TRUE,15
"CT54BB","OK",FALSE,15,4,30,TRUE,19
"CT54BD","OK",TRUE,8.3,2.4,30,TRUE,6
"CT54BE","OK",TRUE,5.9,1.5,30,TRUE,23
"CT54BF","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CT54BG","OK",TRUE,2.4,2.7,3.6,TRUE,16
"CT54BH","OK",TRUE,1.2,1.3,2.1,FALSE,4
"CT54BJ","OK",TRUE,1.2,1.1,2.2,TRUE,6
"CT54BL","OK",TRUE,2.5,2.3,4.1,FALSE,9
"CT54BN","OK",TRUE,2,1.9,3.1,FALSE,9
"CT54BP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CT54BP","No Data",NA,NA,NA,NA,FALSE,0
"CT54BQ","OK",TRUE,11.8,1,30,TRUE,3
