"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"CV82AA","OK",FALSE,15.2,11.2,30,TRUE,24
"CV82AB","OK",TRUE,20.4,11,30,TRUE,15
"CV82AD","OK",FALSE,24.9,18.5,30,TRUE,12
"CV82AE","OK",TRUE,25.1,20,30,TRUE,23
"CV82AF","OK",FALSE,20.6,15,30,TRUE,31
"CV82AG","OK",FALSE,17.6,12.6,30,TRUE,17
"CV82AH","OK",FALSE,12.8,6.1,30,TRUE,38
"CV82AJ","OK",TRUE,20.9,9.2,30,TRUE,26
"CV82AL","OK",FALSE,27.7,30,30,TRUE,7
"CV82AN","OK",FALSE,5.9,4.7,10,TRUE,5
"CV82AP","OK",FALSE,7.4,7.6,10.2,TRUE,4
"CV82AQ","OK",FALSE,24.7,20,30,TRUE,23
"CV82AR","OK",TRUE,30,29.8,30,TRUE,22
"CV82AS","OK",TRUE,30,20,30,TRUE,21
"CV82AT","OK",TRUE,22.1,20,30,TRUE,19
"CV82AU","OK",FALSE,29.7,12.9,30,TRUE,16
"CV82AW","OK",FALSE,16.5,16.1,30,TRUE,10
"CV82AX","OK",FALSE,16.5,8.2,30,TRUE,3
"CV82AY","OK",FALSE,16.4,8.8,30,TRUE,10
"CV82AZ","OK",FALSE,14.4,5.2,30,TRUE,3
"CV82BA","OK",TRUE,24.1,11.1,30,TRUE,30
"CV82BB","OK",FALSE,30,30,30,TRUE,42
"CV82BD","OK",FALSE,25.2,20,30,TRUE,24
"CV82BE","OK",FALSE,28.6,14.8,30,TRUE,30
"CV82BF","OK",FALSE,8.8,8.7,13.6,TRUE,4
"CV82BG","OK",FALSE,27.8,20,30,TRUE,32
"CV82BH","OK",TRUE,30,20,30,TRUE,23
"CV82BJ","OK",TRUE,22.3,10.9,30,TRUE,25
"CV82BL","OK",FALSE,22.3,11.3,30,TRUE,5
"CV82BN","OK",TRUE,25.3,12.6,30,TRUE,36
"CV82BP","OK",FALSE,14.2,9.4,30,TRUE,12
"CV82BQ","OK",TRUE,23.5,20,30,TRUE,16
"CV82BS","OK",FALSE,20,8.2,30,TRUE,6
"CV82BU","OK",TRUE,18.6,7.6,30,TRUE,26
"CV82BW","OK",TRUE,28.1,20,30,TRUE,31
"CV82BX","OK",FALSE,26.1,11.3,30,TRUE,35
"CV82BY","OK",FALSE,25.7,20,30,TRUE,22
"CV82BZ","OK",FALSE,24.5,20,30,TRUE,26
"CV82DA","No premises",NA,NA,NA,NA,TRUE,0
"CV82DD","OK",TRUE,14.9,5.5,30,TRUE,12
"CV82DE","OK",TRUE,24.8,12.8,30,TRUE,15
"CV82DF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"CV82DF","No Data",NA,NA,NA,NA,TRUE,0
"CV82DG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"CV82DG","No Data",NA,NA,NA,NA,TRUE,0
"CV82DH","OK",FALSE,24.7,18.2,30,TRUE,26
"CV82DJ","OK",TRUE,26.8,14.3,30,TRUE,24
"CV82DL","OK",FALSE,30,30,30,TRUE,13
"CV82DN","OK",FALSE,24.6,17.6,30,TRUE,15
"CV82DP","OK",FALSE,30,26.5,30,TRUE,4
"CV82DQ","OK",FALSE,21.6,14,30,TRUE,18
"CV82DR","OK",FALSE,30,16.4,30,TRUE,25
"CV82DS","OK",FALSE,26.2,16.9,30,TRUE,32
"CV82DT","OK",TRUE,16.7,12,30,TRUE,20
"CV82DU","OK",FALSE,23.2,16.4,30,TRUE,40
"CV82DW","OK",FALSE,23.9,17.3,30,TRUE,35
"CV82DX","OK",FALSE,20.8,16.9,30,TRUE,18
"CV82DY","OK",TRUE,21.4,18.3,30,TRUE,37
"CV82DZ","OK",FALSE,24.1,13.5,30,TRUE,10
"CV82EA","No premises",NA,NA,NA,NA,TRUE,0
"CV82EB","No premises",NA,NA,NA,NA,TRUE,0
"CV82ED","No Data",NA,NA,NA,NA,FALSE,0
"CV82EE","OK",FALSE,22.7,5.4,30,TRUE,35
"CV82EF","OK",FALSE,30,29.9,30,TRUE,4
"CV82EJ","OK",FALSE,30,20,30,TRUE,42
"CV82EL","OK",TRUE,2.5,1.8,5.3,TRUE,5
"CV82EN","OK",TRUE,21.4,6.6,30,TRUE,26
"CV82EP","OK",TRUE,20.6,9.2,30,TRUE,21
"CV82EQ","OK",TRUE,22.8,20,30,TRUE,26
"CV82ER","OK",TRUE,30,30,30,TRUE,32
"CV82ES","OK",FALSE,30,25,30,TRUE,4
"CV82ET","OK",TRUE,24.9,20,30,TRUE,17
"CV82EU","OK",TRUE,18,20,30,TRUE,29
"CV82EW","OK",TRUE,19.2,6,30,TRUE,31
"CV82EX","OK",TRUE,11.5,4.2,30,TRUE,15
"CV82EY","OK",FALSE,30,30,30,TRUE,15
"CV82EZ","OK",FALSE,27.6,20,30,TRUE,17
"CV82FA","OK",FALSE,30,16.1,30,TRUE,5
"CV82FB","OK",TRUE,7.4,7,13.5,FALSE,9
"CV82FD","OK",TRUE,12,4.9,30,TRUE,9
"CV82FE","Insufficient Data",NA,NA,NA,NA,TRUE,2
"CV82FF","OK",TRUE,16.2,4.5,30,TRUE,15
"CV82FG","OK",FALSE,30,20.4,30,TRUE,12
"CV82FJ","OK",TRUE,20,4,30,TRUE,25
"CV82FL","OK",TRUE,16.5,4.1,30,TRUE,21
"CV82FN","OK",TRUE,14.2,3.1,30,TRUE,15
"CV82FP","OK",TRUE,30,20,30,TRUE,9
"CV82FQ","OK",FALSE,17.3,9.3,30,TRUE,21
"CV82FR","OK",TRUE,30,10.3,30,TRUE,9
"CV82FS","Insufficient Data",NA,NA,NA,NA,TRUE,1
"CV82FT","OK",TRUE,22.2,13.8,30,TRUE,5
"CV82FU","OK",FALSE,30,18.7,30,TRUE,5
"CV82FW","OK",FALSE,30,20,30,TRUE,22
"CV82FX","OK",FALSE,30,20,30,TRUE,23
"CV82FY","OK",TRUE,21.1,9.6,30,TRUE,15
"CV82FZ","OK",TRUE,22.6,20,30,TRUE,15
"CV82GA","OK",FALSE,17.4,10.2,30,TRUE,54
"CV82GB","OK",FALSE,30,30,30,TRUE,15
"CV82GD","OK",FALSE,27.9,15.2,30,TRUE,23
"CV82GE","OK",FALSE,12.6,12.6,20,TRUE,3
"CV82GF","OK",TRUE,24.7,13.3,30,TRUE,49
"CV82GG","OK",FALSE,6.4,6.8,6.9,TRUE,4
"CV82GH","OK",FALSE,24.1,20,30,TRUE,15
"CV82GJ","OK",TRUE,10.7,5.4,30,TRUE,17
"CV82GL","OK",TRUE,16.4,5.2,30,TRUE,8
"CV82GN","OK",TRUE,28.7,25,30,TRUE,30
"CV82GP","OK",FALSE,17.8,6.4,30,TRUE,12
"CV82GQ","OK",TRUE,24.8,13.3,30,TRUE,32
"CV82GR","OK",FALSE,16.2,11.2,30,TRUE,23
"CV82GS","OK",FALSE,24.7,20,30,TRUE,28
"CV82GT","OK",TRUE,24.2,20,30,TRUE,20
"CV82GU","OK",FALSE,26,20,30,TRUE,24
"CV82GW","OK",FALSE,17.3,9.6,30,TRUE,10
"CV82GX","OK",FALSE,25.1,15.7,30,TRUE,7
"CV82GY","OK",FALSE,23.5,19.7,30,TRUE,17
"CV82GZ","OK",TRUE,19,17.5,30,TRUE,22
"CV82HA","OK",FALSE,16,14.7,30,TRUE,14
"CV82HB","OK",FALSE,22.4,20,30,TRUE,22
"CV82HD","OK",FALSE,25.9,20,30,TRUE,22
"CV82HE","OK",FALSE,16.9,12.7,30,TRUE,38
"CV82HF","OK",TRUE,23.6,13.2,30,TRUE,38
"CV82HG","OK",FALSE,21,20,30,TRUE,16
"CV82HH","OK",TRUE,12.5,6.6,30,TRUE,5
"CV82HJ","OK",FALSE,22.6,20,30,TRUE,47
"CV82HL","OK",TRUE,22.7,13.9,30,TRUE,47
"CV82HN","OK",FALSE,18.9,12.3,30,TRUE,17
"CV82HP","OK",TRUE,17.5,10.7,30,TRUE,34
"CV82HQ","OK",FALSE,30,20,30,TRUE,7
"CV82HR","OK",FALSE,21.6,10.7,30,TRUE,16
"CV82HS","OK",TRUE,25.5,20,30,TRUE,39
"CV82HT","Insufficient Data",NA,NA,NA,NA,TRUE,2
"CV82HU","OK",TRUE,28.2,30,30,TRUE,16
"CV82HW","OK",TRUE,20.7,20,30,TRUE,19
"CV82HX","OK",TRUE,30,20,30,TRUE,22
"CV82HY","OK",FALSE,30,20,30,TRUE,36
"CV82HZ","OK",FALSE,23.7,12.5,30,TRUE,6
"CV82JA","OK",FALSE,13.9,7.9,30,TRUE,4
"CV82JB","OK",TRUE,19.3,9.8,30,TRUE,23
"CV82JD","OK",FALSE,22.5,22.5,30,TRUE,3
"CV82JE","OK",FALSE,20.1,11.3,30,TRUE,10
"CV82JF","OK",FALSE,16.2,10.6,30,TRUE,16
"CV82JG","OK",TRUE,14.7,8.1,30,TRUE,29
"CV82JH","OK",FALSE,21.2,19.6,30,TRUE,4
"CV82JJ","OK",FALSE,11.3,8.2,30,TRUE,11
"CV82JL","OK",FALSE,30,30,30,TRUE,14
"CV82JN","OK",TRUE,26.7,20,30,TRUE,13
"CV82JP","OK",TRUE,30,30,30,TRUE,22
"CV82JQ","OK",TRUE,20.1,9,30,TRUE,21
"CV82JR","OK",FALSE,17.5,14,30,TRUE,5
"CV82JS","OK",FALSE,6.5,7.5,7.7,FALSE,3
"CV82JT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CV82JT","No Data",NA,NA,NA,NA,FALSE,0
"CV82JU","OK",TRUE,2.6,2.4,3.5,TRUE,3
"CV82JW","OK",TRUE,2.6,2.3,4,TRUE,7
"CV82JX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CV82JX","No Data",NA,NA,NA,NA,FALSE,0
"CV82JY","OK",TRUE,4.1,3.7,7.3,TRUE,14
"CV82JZ","OK",TRUE,1.3,1.3,2.7,TRUE,14
"CV82LA","OK",TRUE,2,2,3.1,TRUE,5
"CV82LB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CV82LB","No Data",NA,NA,NA,NA,FALSE,0
"CV82LD","OK",TRUE,4.2,4.1,7.2,TRUE,8
"CV82LE","OK",TRUE,2.9,3,6.2,TRUE,38
"CV82LF","OK",TRUE,2,1.9,3.8,FALSE,24
"CV82LG","OK",TRUE,5.3,3.2,21.3,FALSE,13
"CV82LH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CV82LH","No Data",NA,NA,NA,NA,FALSE,0
"CV82LL","OK",TRUE,3.2,2.5,7.2,TRUE,10
"CV82LN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"CV82LN","No Data",NA,NA,NA,NA,TRUE,0
"CV82LP","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"CV82LP","No Data",NA,NA,NA,NA,TRUE,0
"CV82LR","No premises",NA,NA,NA,NA,FALSE,0
"CV82LS","No premises",NA,NA,NA,NA,FALSE,0
"CV82LT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CV82LT","No Data",NA,NA,NA,NA,FALSE,0
"CV82LU","OK",FALSE,23.5,25,30,TRUE,4
"CV82LW","Insufficient Data",NA,NA,NA,NA,TRUE,2
"CV82LX","OK",FALSE,22,20,30,TRUE,12
"CV82LY","OK",TRUE,2.6,1.7,7,TRUE,7
"CV82LZ","No premises",NA,NA,NA,NA,FALSE,0
"CV82NA","OK",TRUE,21.4,13.5,30,TRUE,35
"CV82NB","OK",FALSE,22.8,20,30,TRUE,15
"CV82ND","OK",FALSE,30,20,30,TRUE,17
"CV82NF","OK",FALSE,28.2,27.4,30,TRUE,8
"CV82NG","OK",FALSE,26.9,20,30,TRUE,6
"CV82NH","OK",TRUE,25.5,22.9,30,TRUE,16
"CV82NJ","OK",TRUE,16.8,13.3,30,TRUE,14
"CV82NL","OK",TRUE,16.7,5.3,30,TRUE,22
"CV82NN","OK",FALSE,30,20,30,TRUE,8
"CV82NP","OK",FALSE,7.8,4.5,25.2,TRUE,7
"CV82NQ","OK",TRUE,7.1,4.6,20,TRUE,5
"CV82NR","OK",FALSE,20.6,20,30,TRUE,9
"CV82NS","OK",TRUE,24.7,20,30,TRUE,31
"CV82NT","OK",TRUE,16.8,6.7,30,TRUE,15
"CV82NU","OK",FALSE,26.9,20,30,TRUE,22
"CV82NW","OK",FALSE,28.4,4.9,30,TRUE,11
"CV82NX","OK",TRUE,19.9,5,30,TRUE,50
"CV82NY","OK",TRUE,19.2,12,30,TRUE,12
"CV82NZ","OK",FALSE,30,25,30,TRUE,11
"CV82PA","OK",FALSE,30,14.6,30,TRUE,6
"CV82PB","OK",FALSE,27.9,20,30,TRUE,24
"CV82PD","OK",FALSE,27.2,18.1,30,TRUE,27
"CV82PE","OK",FALSE,18.5,12.3,30,TRUE,14
"CV82PF","OK",TRUE,19.5,17.9,30,TRUE,21
"CV82PG","OK",TRUE,14.4,7,30,TRUE,14
"CV82PH","OK",FALSE,14.8,8.3,30,TRUE,12
"CV82PJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CV82PJ","No Data",NA,NA,NA,NA,FALSE,0
"CV82PL","OK",TRUE,10.1,3.3,30,TRUE,20
"CV82PN","OK",TRUE,12.9,3.7,30,TRUE,17
"CV82PP","OK",FALSE,15.5,17.7,30,TRUE,6
"CV82PQ","OK",FALSE,29.4,20,30,TRUE,23
"CV82PR","OK",TRUE,10.2,4.4,30,TRUE,28
"CV82PS","OK",TRUE,3.1,2.3,14.9,TRUE,24
"CV82PT","OK",FALSE,18.5,5.3,30,TRUE,5
"CV82PU","OK",TRUE,5.9,6.1,8.2,TRUE,6
"CV82PW","OK",TRUE,19.4,3.7,30,TRUE,27
"CV82PX","OK",FALSE,19,8.6,30,TRUE,8
"CV82PY","OK",FALSE,21.8,8.3,30,TRUE,24
"CV82PZ","OK",TRUE,1.8,1.9,2.7,FALSE,10
"CV82QA","OK",FALSE,24.5,20,30,TRUE,16
"CV82QB","OK",FALSE,21.2,7.1,30,TRUE,26
"CV82QD","OK",TRUE,11.1,4.5,30,TRUE,9
"CV82QE","OK",FALSE,16.3,9.5,30,TRUE,28
"CV82QF","OK",TRUE,18.9,13.7,30,TRUE,59
"CV82QG","OK",FALSE,13.5,12,30,TRUE,17
"CV82QH","OK",TRUE,13.9,3.5,30,TRUE,7
"CV82QJ","OK",TRUE,23.5,7.2,30,TRUE,6
"CV82QL","OK",TRUE,16.1,12.2,30,TRUE,26
"CV82QN","OK",TRUE,16.8,9.1,30,TRUE,8
"CV82QP","OK",FALSE,19.7,4.7,30,TRUE,24
"CV82QQ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"CV82QR","OK",TRUE,24.6,20,30,TRUE,17
"CV82QS","OK",TRUE,16.4,4.7,30,TRUE,15
"CV82QT","OK",FALSE,29.9,30,30,TRUE,10
"CV82QU","OK",TRUE,25.6,20,30,TRUE,50
"CV82QX","OK",TRUE,13.7,3.9,30,TRUE,27
"CV82QY","OK",TRUE,20.6,3.5,30,TRUE,10
"CV82QZ","OK",TRUE,14.1,3.2,30,TRUE,20
"CV82RA","No premises",NA,NA,NA,NA,FALSE,0
"CV82RB","OK",TRUE,14.5,6.5,30,TRUE,15
"CV82RD","OK",FALSE,24.7,30,30,TRUE,5
"CV82RE","No premises",NA,NA,NA,NA,FALSE,0
"CV82RF","No premises",NA,NA,NA,NA,FALSE,0
"CV82RG","No premises",NA,NA,NA,NA,FALSE,0
"CV82RH","No premises",NA,NA,NA,NA,FALSE,0
"CV82RJ","No premises",NA,NA,NA,NA,FALSE,0
"CV82RL","No premises",NA,NA,NA,NA,FALSE,0
"CV82RN","No premises",NA,NA,NA,NA,FALSE,0
"CV82RP","No premises",NA,NA,NA,NA,FALSE,0
"CV82RQ","No premises",NA,NA,NA,NA,FALSE,0
"CV82RR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CV82RR","No Data",NA,NA,NA,NA,FALSE,0
"CV82RS","OK",TRUE,24.9,5.5,30,TRUE,43
"CV82RT","OK",TRUE,17.2,3.6,30,TRUE,28
"CV82RU","OK",TRUE,22.4,6.8,30,TRUE,17
"CV82RW","No premises",NA,NA,NA,NA,FALSE,0
"CV82RY","OK",FALSE,30,30,30,TRUE,8
"CV82RZ","OK",TRUE,12.2,3.2,30,TRUE,13
"CV82SA","OK",TRUE,17.6,5.7,30,TRUE,4
"CV82SB","OK",TRUE,8.4,4.8,30,TRUE,14
"CV82SD","OK",FALSE,15.3,4.3,30,TRUE,10
"CV82SE","OK",TRUE,14.7,3.8,30,TRUE,11
"CV82SF","OK",TRUE,30,25,30,TRUE,16
"CV82SG","OK",FALSE,30,30,30,TRUE,12
"CV82SH","OK",FALSE,20.1,16.4,30,TRUE,7
"CV82SJ","OK",TRUE,21.1,5.2,30,TRUE,24
"CV82SL","OK",FALSE,26.8,22.1,30,TRUE,4
"CV82SN","OK",FALSE,30,30,30,TRUE,8
"CV82SP","OK",TRUE,13.7,8.2,30,TRUE,7
"CV82SQ","OK",FALSE,15,10.4,30,TRUE,5
"CV82SR","OK",TRUE,15.3,4.5,30,TRUE,16
"CV82SS","OK",FALSE,11.1,9.1,30,TRUE,13
"CV82ST","OK",FALSE,16.7,8.4,30,TRUE,28
"CV82SU","No premises",NA,NA,NA,NA,TRUE,0
"CV82SW","OK",TRUE,22,5,30,TRUE,37
"CV82SX","OK",TRUE,15.8,6,30,TRUE,3
"CV82SY","OK",TRUE,20.3,7.5,30,TRUE,33
"CV82SZ","OK",FALSE,24.6,12.3,30,TRUE,26
"CV82TA","No premises",NA,NA,NA,NA,FALSE,0
"CV82TB","OK",TRUE,16.4,5,30,TRUE,19
"CV82TD","OK",FALSE,29,25,30,TRUE,6
"CV82TE","OK",FALSE,15.2,3.9,30,TRUE,8
"CV82TF","No premises",NA,NA,NA,NA,FALSE,0
"CV82TG","OK",FALSE,30,5.5,30,TRUE,15
"CV82TL","No premises",NA,NA,NA,NA,FALSE,0
"CV82TN","OK",FALSE,30,20,30,TRUE,19
"CV82TP","OK",FALSE,30,30,30,TRUE,12
"CV82TQ","No premises",NA,NA,NA,NA,FALSE,0
"CV82TR","OK",FALSE,7,6.6,9.8,TRUE,4
"CV82TS","OK",FALSE,5,5.4,7,TRUE,11
"CV82TT","OK",TRUE,30,20,30,TRUE,30
"CV82TU","OK",TRUE,27.1,13.8,30,TRUE,18
"CV82TW","OK",TRUE,30,30,30,TRUE,10
"CV82TX","OK",FALSE,16.4,6.6,30,TRUE,12
"CV82TZ","No premises",NA,NA,NA,NA,FALSE,0
"CV82UE","OK",FALSE,30,30,30,TRUE,3
"CV82UH","OK",TRUE,28.6,19.4,30,TRUE,34
"CV82UN","OK",TRUE,16.2,4.2,30,TRUE,20
"CV82UQ","OK",FALSE,30,30,30,TRUE,5
"CV82US","OK",TRUE,23.9,5.9,30,TRUE,22
"CV82WA","OK",TRUE,23.5,6.7,30,TRUE,28
"CV82WB","OK",TRUE,30,30,30,TRUE,9
"CV82XG","OK",TRUE,26.8,7,30,TRUE,28
"CV82XH","OK",FALSE,18.5,3.9,30,TRUE,7
"CV82XJ","OK",FALSE,30,22.1,30,TRUE,5
"CV82XN","OK",TRUE,30,30,30,TRUE,6
"CV82XP","OK",FALSE,17.5,11.3,30,TRUE,31
"CV82XQ","OK",TRUE,14.7,2.9,30,TRUE,13
"CV82XR","OK",TRUE,2,1.8,5.2,FALSE,6
"CV82XS","No premises",NA,NA,NA,NA,FALSE,0
"CV82XZ","No premises",NA,NA,NA,NA,FALSE,0
