"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"CW39AA","OK",FALSE,6.8,7.6,8.1,FALSE,15
"CW39AB","OK",TRUE,7.1,7.8,8.1,FALSE,38
"CW39AD","OK",TRUE,6.4,6.4,8.1,FALSE,16
"CW39AE","OK",TRUE,5.9,6,8.1,FALSE,15
"CW39AF","OK",FALSE,6.8,8.1,8.1,FALSE,4
"CW39AG","OK",TRUE,6.7,7.7,8.1,FALSE,13
"CW39AH","OK",FALSE,7.2,8.1,8.1,FALSE,5
"CW39AJ","OK",FALSE,7.5,8.1,8.1,FALSE,16
"CW39AL","OK",TRUE,6.5,8.1,8.1,FALSE,14
"CW39AN","OK",FALSE,7.1,7.9,8.1,FALSE,23
"CW39AP","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CW39AR","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CW39AS","OK",FALSE,7.7,7.6,8.1,FALSE,7
"CW39AT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CW39AT","No Data",NA,NA,NA,NA,FALSE,0
"CW39AU","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CW39AW","OK",FALSE,7.1,8.1,8.1,FALSE,5
"CW39AX","OK",TRUE,7.2,8,8.1,FALSE,17
"CW39AY","OK",FALSE,6.2,6.7,8.1,FALSE,6
"CW39AZ","OK",TRUE,3.5,4.2,4.5,FALSE,6
"CW39BA","OK",TRUE,1.2,1.1,1.6,FALSE,3
"CW39BB","OK",TRUE,6,6.8,8.1,FALSE,19
"CW39BH","OK",TRUE,6.4,7.6,8.1,FALSE,38
"CW39BJ","OK",TRUE,6.9,7.6,8.1,FALSE,20
"CW39BN","OK",FALSE,7.3,7.3,8.1,FALSE,7
"CW39BQ","Insufficient Data",NA,NA,NA,NA,FALSE,1
"CW39BS","OK",FALSE,7.2,7.8,8.1,FALSE,10
"CW39BT","OK",FALSE,6.5,7.4,8.1,FALSE,13
"CW39BU","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CW39BW","OK",TRUE,6.5,7.3,8.1,FALSE,15
"CW39BX","OK",TRUE,4.6,4.3,6.8,FALSE,6
"CW39BY","OK",TRUE,6.8,7.6,8.1,FALSE,9
"CW39BZ","OK",TRUE,5.7,7.4,8.1,FALSE,7
"CW39DA","OK",FALSE,7.1,8.1,8.1,FALSE,3
"CW39DB","OK",FALSE,5.7,4.9,8.1,FALSE,4
"CW39DD","OK",TRUE,2.2,2.2,2.8,FALSE,3
"CW39DE","OK",TRUE,4.2,4.1,7.4,FALSE,4
"CW39DG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CW39DG","No Data",NA,NA,NA,NA,FALSE,0
"CW39DH","Insufficient Data",NA,NA,NA,NA,FALSE,1
"CW39DJ","OK",FALSE,5,4.9,6.2,FALSE,6
"CW39DL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CW39DL","No Data",NA,NA,NA,NA,FALSE,0
"CW39DN","OK",TRUE,9.3,7.9,22,FALSE,16
"CW39DP","OK",FALSE,6.7,6.9,8.1,FALSE,7
"CW39DQ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CW39DR","OK",FALSE,9.2,7.8,14.2,FALSE,3
"CW39DT","OK",FALSE,10.3,8.1,20.5,FALSE,15
"CW39DU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CW39DU","No Data",NA,NA,NA,NA,FALSE,0
"CW39DX","OK",TRUE,10.5,8.1,22,FALSE,25
"CW39DY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CW39DY","No Data",NA,NA,NA,NA,FALSE,0
"CW39DZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CW39DZ","No Data",NA,NA,NA,NA,FALSE,0
"CW39EA","OK",FALSE,15.6,16.7,23.1,FALSE,13
"CW39EB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CW39EB","No Data",NA,NA,NA,NA,FALSE,0
"CW39ED","OK",FALSE,9.9,8.1,22.8,FALSE,26
"CW39EE","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CW39EF","OK",TRUE,5.1,6,8.1,FALSE,6
"CW39EG","OK",FALSE,8.3,8.1,11.4,FALSE,7
"CW39EH","OK",FALSE,11.5,8,20.2,FALSE,11
