"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"DA49AA","OK",TRUE,3.2,3.2,6.7,FALSE,41
"DA49AB","OK",TRUE,4,4.1,6,FALSE,21
"DA49AD","OK",TRUE,3.3,3.5,5.1,FALSE,49
"DA49AE","Insufficient Data",NA,NA,NA,NA,FALSE,1
"DA49AF","OK",FALSE,3.3,3.7,3.9,FALSE,3
"DA49AG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DA49AH","OK",TRUE,2.3,2.5,3.9,FALSE,29
"DA49AL","OK",TRUE,2.6,2.7,4.1,FALSE,25
"DA49AN","OK",TRUE,3.1,3.4,5,FALSE,45
"DA49AP","OK",TRUE,2.7,2.9,4.7,FALSE,36
"DA49AQ","OK",TRUE,3,3.1,4.1,FALSE,5
"DA49AR","OK",TRUE,3,3.2,5,FALSE,50
"DA49AS","OK",TRUE,2.5,2.7,4,FALSE,18
"DA49AT","OK",TRUE,3.3,3.5,5,FALSE,38
"DA49AW","OK",TRUE,2.4,2.3,4.8,FALSE,31
"DA49AX","OK",FALSE,4.5,4.6,7.2,FALSE,16
"DA49AY","OK",FALSE,4.8,5.6,6.5,FALSE,3
"DA49AZ","OK",TRUE,3.4,3.3,6.4,FALSE,8
"DA49BA","OK",TRUE,4.8,4.7,7.1,FALSE,8
"DA49BB","OK",TRUE,4.6,4.3,22.9,FALSE,39
"DA49BD","OK",TRUE,7.7,5,16.3,FALSE,3
"DA49BE","OK",TRUE,4.2,4.6,7,FALSE,32
"DA49BF","OK",TRUE,3.9,4,6.1,FALSE,10
"DA49BG","OK",TRUE,3,3.1,5.7,FALSE,15
"DA49BH","OK",TRUE,2.6,2.7,4.9,FALSE,31
"DA49BJ","OK",TRUE,2.7,2.5,5.3,FALSE,44
"DA49BL","OK",TRUE,2.9,3,4.9,FALSE,8
"DA49BN","OK",TRUE,4.5,4.6,6.7,FALSE,18
"DA49BP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DA49BQ","OK",TRUE,2.9,2.9,4.3,FALSE,11
"DA49BS","OK",FALSE,5.3,5.5,6.1,FALSE,4
"DA49BT","OK",TRUE,2.7,2.5,4.8,FALSE,25
"DA49BU","OK",FALSE,5.4,5.6,8.3,FALSE,8
"DA49BW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DA49BX","No Data",NA,NA,NA,NA,FALSE,0
"DA49BY","OK",TRUE,8.5,5.5,30,FALSE,30
"DA49BZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DA49DA","OK",FALSE,9,9.3,10.3,FALSE,4
"DA49DB","OK",FALSE,7.7,8.6,9.2,FALSE,3
