"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"DD80AE","No premises",NA,NA,NA,NA,FALSE,0
"DD80BA","No premises",NA,NA,NA,NA,FALSE,0
"DD80BE","No premises",NA,NA,NA,NA,FALSE,0
"DD80BF","No premises",NA,NA,NA,NA,FALSE,0
"DD80BG","No premises",NA,NA,NA,NA,FALSE,0
"DD80BH","No premises",NA,NA,NA,NA,FALSE,0
"DD80SA","No premises",NA,NA,NA,NA,FALSE,0
"DD80SB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80SD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80SE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80SF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80SG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80SH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80SJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80SL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80SN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80SP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80SQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80SR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80SS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80ST","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80SU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80SW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80SX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80SY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80SZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80TA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80TB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80TD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80TE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80TF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80TG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80TH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80TJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80TL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80TN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80TP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD80ZX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
