"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"DE240AA","OK",TRUE,13.3,5.9,30,TRUE,13
"DE240AB","OK",TRUE,25.2,30,30,TRUE,16
"DE240AD","OK",FALSE,29,20,30,TRUE,13
"DE240AE","OK",FALSE,15.4,7.5,30,TRUE,19
"DE240AG","OK",TRUE,28.1,20,30,TRUE,21
"DE240AH","OK",TRUE,20.5,9.2,30,TRUE,12
"DE240AJ","OK",TRUE,15.2,20,30,TRUE,11
"DE240AL","OK",FALSE,22.9,16.5,30,TRUE,26
"DE240AN","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DE240AP","OK",FALSE,19.1,14,30,TRUE,24
"DE240AQ","OK",FALSE,26.9,20,30,TRUE,21
"DE240AR","OK",TRUE,17.3,9.6,30,TRUE,25
"DE240AS","OK",TRUE,14.5,8.2,30,TRUE,22
"DE240AT","OK",FALSE,21.3,20,30,TRUE,12
"DE240AU","OK",FALSE,27.7,20,30,TRUE,14
"DE240AW","OK",FALSE,22.1,11.8,30,TRUE,21
"DE240AX","OK",FALSE,24,13.9,30,TRUE,5
"DE240AY","OK",FALSE,18.5,13.3,30,TRUE,11
"DE240AZ","OK",TRUE,15.5,15.1,30,TRUE,4
"DE240BA","OK",FALSE,22.4,20,30,TRUE,9
"DE240BB","OK",TRUE,16.2,8.4,30,TRUE,16
"DE240BD","OK",FALSE,25.5,25,30,TRUE,14
"DE240BE","OK",TRUE,18.9,20,30,TRUE,21
"DE240BG","OK",TRUE,18.4,20,30,TRUE,31
"DE240BH","OK",TRUE,11.2,7.2,30,TRUE,7
"DE240BJ","OK",FALSE,22.8,25,30,TRUE,4
"DE240BN","OK",FALSE,13.3,8.6,30,TRUE,5
"DE240BP","OK",TRUE,20.7,8.6,30,TRUE,18
"DE240BR","No premises",NA,NA,NA,NA,FALSE,0
"DE240BS","OK",FALSE,22.9,20,30,TRUE,17
"DE240BT","OK",FALSE,15.9,10.2,30,TRUE,24
"DE240BU","OK",FALSE,30,25,30,TRUE,20
"DE240BW","OK",TRUE,30,25,30,TRUE,10
"DE240BX","OK",FALSE,15.1,7.8,30,TRUE,11
"DE240BY","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DE240BZ","OK",TRUE,21.8,20,30,TRUE,5
"DE240DA","OK",FALSE,16.8,10.3,30,TRUE,9
"DE240DB","OK",FALSE,29.2,10.1,30,TRUE,9
"DE240DD","OK",TRUE,30,20,30,TRUE,17
"DE240DE","OK",FALSE,20.7,20,30,TRUE,13
"DE240DF","OK",FALSE,19.2,16.4,30,TRUE,12
"DE240DG","OK",FALSE,24,7.3,30,TRUE,4
"DE240DH","OK",FALSE,22.7,20,30,TRUE,13
"DE240DJ","OK",TRUE,15,12,30,TRUE,9
"DE240DL","OK",FALSE,10.1,9.8,20,TRUE,14
"DE240DN","OK",FALSE,14.9,10.6,30,TRUE,23
"DE240DP","OK",FALSE,30,20,30,TRUE,15
"DE240DQ","OK",FALSE,19.4,20,30,TRUE,11
"DE240DU","OK",TRUE,23.7,21,30,TRUE,22
"DE240DW","OK",TRUE,30,23.1,30,TRUE,13
"DE240DX","OK",FALSE,20.1,20,30,TRUE,12
"DE240DY","OK",TRUE,16.9,18.1,30,TRUE,15
"DE240DZ","OK",FALSE,26.6,20,30,TRUE,21
"DE240EA","OK",TRUE,25.9,20,30,TRUE,11
"DE240EB","OK",FALSE,23.1,19.4,30,TRUE,15
"DE240ED","OK",FALSE,24.7,19.9,30,TRUE,12
"DE240EE","OK",FALSE,27.2,20,30,TRUE,15
"DE240EF","OK",FALSE,30,19.6,30,TRUE,26
"DE240EG","OK",FALSE,30,20,30,TRUE,25
"DE240EH","OK",FALSE,30,20.9,30,TRUE,31
"DE240EJ","OK",TRUE,28.7,14.3,30,TRUE,16
"DE240EL","OK",FALSE,22.6,13.1,30,TRUE,15
