"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"DG13AB","OK",FALSE,16.3,19.2,21,TRUE,5
"DG13AD","OK",TRUE,11.9,10.7,22,FALSE,6
"DG13AE","OK",FALSE,14.9,17.9,19.8,FALSE,5
"DG13AG","OK",FALSE,15.1,17.4,22,FALSE,18
"DG13AH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DG13AH","No Data",NA,NA,NA,NA,FALSE,0
"DG13AJ","OK",FALSE,13.3,14.3,20.6,FALSE,31
"DG13AL","OK",FALSE,14.9,16.1,21.9,FALSE,14
"DG13AN","OK",FALSE,7.2,6.8,8.1,FALSE,3
"DG13AP","OK",FALSE,16.1,18.5,20.1,FALSE,14
"DG13AQ","OK",TRUE,12.6,13.9,20.4,FALSE,21
"DG13AR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DG13AR","No Data",NA,NA,NA,NA,FALSE,0
"DG13AS","OK",TRUE,11.3,12.6,19.8,FALSE,4
"DG13AT","OK",TRUE,10.6,11.7,17.8,FALSE,4
"DG13AU","Insufficient Data",NA,NA,NA,NA,FALSE,2
"DG13AW","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DG13AW","No Data",NA,NA,NA,NA,TRUE,0
"DG13AX","OK",FALSE,14.9,16.1,19.8,FALSE,14
"DG13AY","OK",TRUE,14.8,16.3,20.3,FALSE,16
"DG13AZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DG13AZ","No Data",NA,NA,NA,NA,FALSE,0
"DG13BA","OK",FALSE,12.1,11.6,19,FALSE,9
"DG13BB","Insufficient Data",NA,NA,NA,NA,FALSE,2
"DG13BD","OK",FALSE,13.9,15.6,19.2,FALSE,18
"DG13BE","OK",FALSE,13.2,13.5,18.9,FALSE,9
"DG13BH","OK",FALSE,14.4,15,18,FALSE,11
"DG13BJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DG13BJ","No Data",NA,NA,NA,NA,FALSE,0
"DG13BL","OK",FALSE,13.5,14.8,18.9,FALSE,14
"DG13BN","OK",FALSE,11.7,11.3,16.5,FALSE,12
"DG13BP","OK",FALSE,8.5,9.2,13.8,FALSE,11
"DG13BQ","OK",FALSE,16.5,18,19,FALSE,5
"DG13BW","OK",FALSE,12.7,12.5,18,FALSE,12
"DG13BX","Insufficient Data",NA,NA,NA,NA,FALSE,2
"DG13BY","OK",FALSE,8.1,8.4,14,FALSE,13
"DG13BZ","OK",FALSE,14.2,14.5,16.7,FALSE,4
"DG13DA","OK",FALSE,14.9,14.9,24.4,FALSE,6
"DG13DB","OK",FALSE,11.7,10.4,17.5,FALSE,7
