"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"DH65AA","OK",FALSE,20,18.5,30,TRUE,5
"DH65AB","OK",FALSE,30,30,30,TRUE,3
"DH65AD","OK",FALSE,12.1,8.1,30,TRUE,15
"DH65AE","OK",FALSE,30,30,30,TRUE,3
"DH65AF","OK",FALSE,16.4,12.5,30,TRUE,13
"DH65AG","OK",FALSE,21.8,10.9,30,TRUE,6
"DH65AH","OK",FALSE,18.1,12.1,30,TRUE,16
"DH65AJ","OK",TRUE,15.2,9.8,30,TRUE,10
"DH65AL","OK",FALSE,20.4,13.3,30,TRUE,21
"DH65AN","OK",FALSE,26.1,17,30,TRUE,17
"DH65AQ","OK",FALSE,17.9,11.6,30,TRUE,5
"DH65AR","OK",FALSE,29.5,14.3,30,TRUE,7
"DH65AS","OK",TRUE,12.3,14.5,18.5,TRUE,6
"DH65AT","OK",TRUE,17.5,15.4,30,TRUE,23
"DH65AU","OK",TRUE,20.1,18.9,30,TRUE,23
"DH65AW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DH65AX","OK",TRUE,16.9,15.9,30,TRUE,7
"DH65AY","OK",TRUE,22.9,19.3,30,TRUE,11
"DH65AZ","OK",FALSE,17.8,18.4,25,TRUE,14
"DH65BA","OK",FALSE,21.4,18.4,30,TRUE,22
"DH65BB","OK",FALSE,24.4,19.9,30,TRUE,29
"DH65BD","OK",FALSE,20.5,18.9,30,TRUE,20
"DH65BE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DH65BG","OK",FALSE,28.9,21,30,TRUE,5
"DH65BH","OK",FALSE,22.6,18,30,TRUE,11
"DH65BJ","OK",FALSE,17.1,17,17.2,TRUE,3
"DH65BL","OK",FALSE,17.6,15.9,30,TRUE,16
"DH65BN","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DH65BW","OK",FALSE,18.9,16.2,30,TRUE,18
"DH65BX","OK",TRUE,4.3,5.1,7.3,FALSE,7
"DH65BY","OK",TRUE,13.7,8.7,30,TRUE,17
"DH65BZ","OK",FALSE,19.3,8.9,30,TRUE,9
"DH65DA","OK",FALSE,19.5,15.9,30,TRUE,29
"DH65DB","Insufficient Data",NA,NA,NA,NA,TRUE,1
"DH65DD","OK",FALSE,8.9,8.1,13.6,FALSE,28
"DH65DE","OK",TRUE,8.5,8.8,13.5,FALSE,38
"DH65DF","OK",TRUE,7.9,8.5,12,FALSE,16
"DH65DG","OK",FALSE,30,21.6,30,TRUE,4
"DH65DH","OK",TRUE,17.7,11.9,30,TRUE,15
"DH65DJ","OK",FALSE,15.5,11,30,TRUE,12
"DH65DL","OK",FALSE,20.2,13.7,30,TRUE,12
