"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"DL54AA","OK",TRUE,3.9,2.5,8.6,TRUE,3
"DL54AB","OK",FALSE,9.6,10,10.2,TRUE,3
"DL54AD","OK",FALSE,8,8.2,14.4,TRUE,13
"DL54AE","OK",FALSE,9.1,7.6,19.4,TRUE,5
"DL54AF","OK",FALSE,8.6,7.3,14.9,TRUE,7
"DL54AG","OK",FALSE,7.6,7,12.3,TRUE,19
"DL54AH","OK",TRUE,7.4,7.8,11.5,TRUE,20
"DL54AJ","OK",FALSE,9.1,8,17,TRUE,10
"DL54AL","OK",FALSE,18,8.9,30,TRUE,7
"DL54AN","OK",FALSE,14.7,8.7,30,TRUE,21
"DL54AP","OK",TRUE,9.9,7.7,30,TRUE,11
"DL54AQ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DL54AR","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DL54AS","OK",FALSE,8.7,8,14.9,TRUE,6
"DL54AT","Insufficient Data",NA,NA,NA,NA,TRUE,1
"DL54AU","OK",TRUE,6.8,7.8,11.3,TRUE,11
"DL54AW","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DL54AX","No premises",NA,NA,NA,NA,TRUE,0
"DL54AY","OK",FALSE,13.8,10.2,30,TRUE,5
"DL54AZ","OK",FALSE,17.9,8,30,TRUE,11
"DL54BA","OK",TRUE,14,5.4,30,TRUE,12
"DL54BB","OK",FALSE,6,5.9,8.8,TRUE,5
"DL54BD","OK",FALSE,6.7,7,8.7,TRUE,11
"DL54BE","OK",FALSE,15.8,7,30,TRUE,17
"DL54BG","OK",FALSE,9.2,6.1,30,TRUE,11
"DL54BH","OK",FALSE,7.4,7.3,9.8,TRUE,5
"DL54BJ","OK",FALSE,20.4,8.3,30,TRUE,6
"DL54BL","OK",FALSE,25.1,11,30,TRUE,11
"DL54BN","OK",TRUE,24.4,9.9,30,TRUE,16
"DL54BP","OK",FALSE,12.1,10.4,17.6,TRUE,7
"DL54BQ","OK",FALSE,7.4,8.4,9.2,TRUE,4
"DL54BW","OK",TRUE,6.4,6.9,11.7,TRUE,3
"DL54DA","OK",FALSE,12.9,13.4,14.4,TRUE,3
"DL54DB","OK",TRUE,22.5,10.9,30,TRUE,27
"DL54DD","OK",TRUE,11.8,5.9,30,TRUE,35
"DL54DH","OK",FALSE,16.6,13.6,30,TRUE,9
"DL54DJ","Insufficient Data",NA,NA,NA,NA,TRUE,1
"DL54DP","OK",FALSE,10.4,8.1,15.3,TRUE,3
"DL54DS","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DL54DT","No premises",NA,NA,NA,NA,FALSE,0
"DL54DU","OK",TRUE,9.1,8.1,19,FALSE,8
"DL54DZ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"DL54EB","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DL54ED","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DL54ED","No Data",NA,NA,NA,NA,FALSE,0
"DL54EE","OK",FALSE,11,12.4,12.5,FALSE,3
"DL54EH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DL54EH","No Data",NA,NA,NA,NA,FALSE,0
"DL54EJ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"DL54EP","OK",FALSE,14.7,15.1,30,TRUE,26
"DL54ER","OK",FALSE,10.7,10.5,17.7,TRUE,8
"DL54ES","OK",FALSE,18.4,13.5,30,TRUE,22
"DL54ET","OK",TRUE,13.6,11.2,30,TRUE,20
"DL54EU","OK",FALSE,18.5,14.4,30,TRUE,8
"DL54EW","No premises",NA,NA,NA,NA,TRUE,0
"DL54EX","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DL54EX","No Data",NA,NA,NA,NA,TRUE,0
"DL54EY","OK",FALSE,11.7,10.4,30,TRUE,27
"DL54EZ","OK",TRUE,11.8,12.3,30,TRUE,13
"DL54FB","No premises",NA,NA,NA,NA,FALSE,0
"DL54FD","OK",TRUE,15,3.7,30,TRUE,37
"DL54FE","OK",TRUE,15.2,3.5,30,TRUE,42
"DL54HA","OK",TRUE,17.1,12.4,30,TRUE,10
"DL54HB","OK",FALSE,12.7,11.2,30,TRUE,14
"DL54HD","OK",TRUE,12.1,12.3,24.8,TRUE,27
"DL54HE","OK",FALSE,13.8,11.6,30,TRUE,21
"DL54HF","OK",TRUE,14.1,10.6,30,TRUE,26
"DL54HP","No Data",NA,NA,NA,NA,TRUE,0
"DL54HR","OK",FALSE,10.7,11,16.8,TRUE,4
"DL54HS","OK",TRUE,19.1,9.4,30,TRUE,12
"DL54HT","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DL54HT","No Data",NA,NA,NA,NA,TRUE,0
"DL54HX","OK",TRUE,16,10.1,30,TRUE,16
"DL54HY","OK",FALSE,18.5,13.9,30,TRUE,9
"DL54HZ","OK",FALSE,10.5,12.2,13.2,TRUE,8
"DL54JA","OK",FALSE,29.8,13.4,30,TRUE,5
"DL54JB","OK",FALSE,22,10.2,30,TRUE,18
"DL54JD","OK",FALSE,22.5,10.5,30,TRUE,17
"DL54JE","OK",TRUE,4.4,1.1,11.2,TRUE,3
"DL54JF","OK",FALSE,13.2,9,30,TRUE,7
"DL54JG","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DL54JH","OK",FALSE,23.4,23.5,30,TRUE,4
"DL54JJ","OK",FALSE,18.2,10.3,30,TRUE,8
"DL54JL","OK",FALSE,14,9,30,TRUE,6
"DL54JN","OK",FALSE,8.1,7.4,11.1,TRUE,7
"DL54JP","OK",FALSE,12.3,11.9,28.1,TRUE,21
"DL54JQ","OK",TRUE,20.6,9.6,30,TRUE,17
"DL54JR","OK",FALSE,14.6,12.1,30,TRUE,18
"DL54JS","OK",FALSE,15.8,12.3,29.7,TRUE,4
"DL54JT","OK",FALSE,8.7,9,12.6,TRUE,6
"DL54JW","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DL54LD","OK",FALSE,5.8,5.8,8.1,FALSE,3
"DL54LG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DL54LG","No Data",NA,NA,NA,NA,TRUE,0
"DL54LH","OK",FALSE,22.6,15.5,30,TRUE,13
"DL54LJ","OK",FALSE,9.3,10.3,12.9,TRUE,4
"DL54LL","OK",FALSE,17.6,12.2,30,TRUE,7
"DL54LN","OK",FALSE,9.6,9.7,13.3,TRUE,4
"DL54LP","OK",FALSE,16.9,11.6,30,TRUE,14
"DL54LQ","OK",FALSE,18.7,13.2,30,TRUE,5
"DL54LR","OK",FALSE,20.7,15.4,30,TRUE,14
"DL54LS","OK",FALSE,10.2,11.5,16.4,TRUE,15
"DL54LT","OK",FALSE,9.6,8.6,17.1,TRUE,13
"DL54LU","OK",FALSE,29.8,15.7,30,TRUE,4
"DL54LX","OK",FALSE,13.5,11,30,TRUE,19
"DL54LY","OK",FALSE,16,8.5,30,TRUE,28
"DL54LZ","OK",FALSE,11.2,11.2,14.3,TRUE,4
"DL54NB","OK",FALSE,22.4,13.5,30,TRUE,25
"DL54ND","OK",FALSE,10.4,11.8,15.4,TRUE,3
"DL54NF","OK",TRUE,13.9,9.7,30,TRUE,21
"DL54NG","OK",FALSE,28.5,17.1,30,TRUE,6
"DL54NH","OK",FALSE,12.4,9.2,30,TRUE,10
"DL54NJ","OK",TRUE,20.8,12.1,30,TRUE,8
"DL54NN","OK",FALSE,14.6,8.1,30,TRUE,15
"DL54NP","OK",FALSE,29.1,15.4,30,TRUE,5
"DL54NR","OK",TRUE,20.5,13.8,30,TRUE,31
"DL54NS","OK",FALSE,15.6,19.4,20.4,TRUE,3
"DL54NT","OK",TRUE,18.2,11.3,30,TRUE,34
"DL54NW","OK",TRUE,19.4,12.8,30,TRUE,42
"DL54PA","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DL54PA","No Data",NA,NA,NA,NA,TRUE,0
"DL54PB","OK",TRUE,2,2,8.2,FALSE,35
"DL54PE","No Data",NA,NA,NA,NA,TRUE,0
"DL54PF","OK",TRUE,13.8,3.6,30,TRUE,37
"DL54PG","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DL54PJ","OK",FALSE,6.2,6.7,8.1,TRUE,3
"DL54PL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DL54PL","No Data",NA,NA,NA,NA,FALSE,0
"DL54PN","No premises",NA,NA,NA,NA,TRUE,0
"DL54PT","No premises",NA,NA,NA,NA,FALSE,0
"DL54QA","OK",TRUE,18.2,5.3,30,TRUE,10
"DL54QB","OK",TRUE,12.2,5.1,30,TRUE,23
"DL54QD","OK",TRUE,15.5,4.9,30,TRUE,29
"DL54QE","OK",TRUE,12,5,30,TRUE,31
"DL54QF","OK",TRUE,8.8,4.9,30,TRUE,27
"DL54QG","OK",TRUE,19.9,4.6,30,TRUE,27
"DL54QH","OK",FALSE,14.7,4.5,30,TRUE,18
"DL54QJ","OK",TRUE,10.9,4.7,30,TRUE,17
"DL54QL","OK",TRUE,26.3,4.4,30,TRUE,13
"DL54QN","OK",FALSE,20.1,5,30,TRUE,8
"DL54QP","OK",TRUE,12.1,4,30,TRUE,29
"DL54QQ","OK",TRUE,10.1,3.9,30,TRUE,23
"DL54QR","OK",TRUE,21.4,5,30,TRUE,16
"DL54QS","OK",FALSE,26.2,22.5,30,TRUE,10
"DL54QT","OK",TRUE,12.6,5.1,30,TRUE,29
"DL54QU","OK",TRUE,12.3,5,30,TRUE,16
"DL54QW","OK",TRUE,20.2,5,30,TRUE,15
"DL54QX","OK",TRUE,3.6,4.1,4.9,TRUE,11
