"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"DL56AF","No premises",NA,NA,NA,NA,TRUE,0
"DL56AH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DL56AH","No Data",NA,NA,NA,NA,FALSE,0
"DL56AJ","No Data",NA,NA,NA,NA,FALSE,0
"DL56AL","No premises",NA,NA,NA,NA,FALSE,0
"DL56AP","No Data",NA,NA,NA,NA,FALSE,0
"DL56AR","OK",FALSE,6.3,6.3,6.8,FALSE,3
"DL56AT","No premises",NA,NA,NA,NA,FALSE,0
"DL56AU","OK",FALSE,5.6,5.7,6.3,FALSE,5
"DL56AY","OK",TRUE,10.3,10.9,17,FALSE,7
"DL56BA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DL56BA","No Data",NA,NA,NA,NA,FALSE,0
"DL56BD","No Data",NA,NA,NA,NA,FALSE,0
"DL56BF","OK",FALSE,12.2,12.9,15,FALSE,4
"DL56BG","Insufficient Data",NA,NA,NA,NA,FALSE,1
"DL56BH","Insufficient Data",NA,NA,NA,NA,FALSE,1
"DL56BL","Insufficient Data",NA,NA,NA,NA,FALSE,2
"DL56DA","OK",FALSE,11.3,9.6,19,FALSE,6
"DL56DB","Insufficient Data",NA,NA,NA,NA,FALSE,2
"DL56DE","No Data",NA,NA,NA,NA,FALSE,0
"DL56DL","OK",FALSE,16.1,16,21.5,FALSE,5
"DL56DN","Insufficient Data",NA,NA,NA,NA,FALSE,2
"DL56DQ","No premises",NA,NA,NA,NA,FALSE,0
"DL56DR","No Data",NA,NA,NA,NA,FALSE,0
"DL56DS","OK",FALSE,12,8.1,17.9,FALSE,7
"DL56DU","Insufficient Data",NA,NA,NA,NA,FALSE,2
"DL56DW","No premises",NA,NA,NA,NA,FALSE,0
"DL56DX","OK",FALSE,15.8,15.9,23.5,FALSE,16
"DL56EA","No premises",NA,NA,NA,NA,FALSE,0
"DL56ED","No premises",NA,NA,NA,NA,FALSE,0
"DL56EE","No premises",NA,NA,NA,NA,FALSE,0
"DL56EF","No premises",NA,NA,NA,NA,FALSE,0
"DL56EH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DL56EH","No Data",NA,NA,NA,NA,FALSE,0
"DL56EJ","OK",FALSE,9.8,7.9,17.6,FALSE,6
"DL56EL","No premises",NA,NA,NA,NA,FALSE,0
"DL56EN","OK",FALSE,16.5,17,22.1,FALSE,4
"DL56EP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DL56EP","No Data",NA,NA,NA,NA,FALSE,0
"DL56EQ","Insufficient Data",NA,NA,NA,NA,FALSE,1
"DL56EU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DL56EU","No Data",NA,NA,NA,NA,FALSE,0
"DL56FN","No premises",NA,NA,NA,NA,FALSE,0
"DL56FR","No premises",NA,NA,NA,NA,FALSE,0
"DL56FT","No premises",NA,NA,NA,NA,FALSE,0
"DL56GG","OK",TRUE,10.9,5,30,TRUE,38
"DL56GH","OK",TRUE,15.7,5.6,30,TRUE,40
"DL56GJ","OK",TRUE,14.6,6.3,30,TRUE,18
"DL56GL","OK",TRUE,7.2,4.7,30,TRUE,12
"DL56GN","OK",TRUE,20.3,6.4,30,TRUE,12
"DL56GP","OK",TRUE,15.5,6,30,TRUE,35
"DL56GQ","OK",TRUE,15.5,5.1,30,TRUE,24
"DL56GR","OK",TRUE,15.2,5.2,30,TRUE,34
"DL56GT","OK",TRUE,8.3,4.3,30,TRUE,8
"DL56HB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DL56HB","No Data",NA,NA,NA,NA,FALSE,0
"DL56HP","OK",FALSE,13.4,9.7,22.8,FALSE,3
"DL56HQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DL56HQ","No Data",NA,NA,NA,NA,FALSE,0
"DL56HR","No premises",NA,NA,NA,NA,FALSE,0
"DL56HS","OK",FALSE,5.5,4.5,9.2,TRUE,5
"DL56HT","OK",FALSE,12.3,11.2,18.4,FALSE,6
"DL56HW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DL56HW","No Data",NA,NA,NA,NA,FALSE,0
"DL56HX","OK",FALSE,15.5,14.5,23.2,FALSE,7
"DL56HY","Insufficient Data",NA,NA,NA,NA,FALSE,2
"DL56HZ","OK",FALSE,11.9,14.9,17.5,FALSE,3
"DL56JA","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DL56JA","No Data",NA,NA,NA,NA,TRUE,0
"DL56JB","No premises",NA,NA,NA,NA,TRUE,0
"DL56JD","No Data",NA,NA,NA,NA,TRUE,0
"DL56JF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DL56JF","No Data",NA,NA,NA,NA,FALSE,0
"DL56JG","OK",TRUE,6,7.2,8.1,FALSE,4
"DL56JH","OK",TRUE,3.9,3.8,7.8,FALSE,4
"DL56JJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DL56JJ","No Data",NA,NA,NA,NA,FALSE,0
"DL56JL","Insufficient Data",NA,NA,NA,NA,TRUE,1
"DL56JP","OK",TRUE,25.8,9.3,30,TRUE,31
"DL56JQ","OK",FALSE,6.4,6.4,7,FALSE,3
"DL56JR","OK",FALSE,8.2,7.1,12.9,TRUE,4
"DL56JS","OK",FALSE,30,30,30,TRUE,3
"DL56JT","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DL56JU","OK",FALSE,22.9,7.4,30,TRUE,6
"DL56JW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DL56JW","No Data",NA,NA,NA,NA,FALSE,0
"DL56JX","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DL56JX","No Data",NA,NA,NA,NA,TRUE,0
"DL56JY","OK",TRUE,14.9,8,30,TRUE,15
"DL56JZ","OK",TRUE,23.1,9.7,30,TRUE,19
"DL56LA","OK",TRUE,6.3,6.3,11,TRUE,15
"DL56LD","OK",FALSE,21.2,9.6,30,TRUE,10
"DL56LE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DL56LE","No Data",NA,NA,NA,NA,TRUE,0
"DL56LF","OK",TRUE,10.1,7.5,30,TRUE,7
"DL56LG","OK",FALSE,24.6,10.2,30,TRUE,16
"DL56LH","OK",TRUE,17.4,8.7,30,TRUE,20
"DL56LJ","OK",TRUE,10.9,9.5,30,TRUE,18
"DL56LN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DL56LN","No Data",NA,NA,NA,NA,TRUE,0
"DL56LP","OK",FALSE,24.2,9.7,30,TRUE,5
