"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"DN69AB","OK",FALSE,4.3,4.4,5,FALSE,4
"DN69AD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DN69AE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DN69AF","OK",TRUE,4.3,4.1,7.6,TRUE,12
"DN69AG","OK",TRUE,3.2,2.9,5.1,FALSE,13
"DN69AH","OK",TRUE,2.8,2.9,4.9,FALSE,16
"DN69AJ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"DN69AL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DN69AN","OK",TRUE,4.8,4.2,16.4,FALSE,9
"DN69AP","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DN69AQ","OK",TRUE,3.3,2.7,5.1,FALSE,7
"DN69AR","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DN69AS","No premises",NA,NA,NA,NA,FALSE,0
"DN69AT","OK",FALSE,7.2,5.3,12.4,TRUE,4
"DN69AU","OK",FALSE,3.6,3.4,5.1,FALSE,6
"DN69AW","OK",TRUE,3.5,3.7,4.8,FALSE,17
"DN69AX","Insufficient Data",NA,NA,NA,NA,FALSE,1
"DN69AY","OK",TRUE,3.5,3.3,5.1,FALSE,8
"DN69AZ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"DN69BA","OK",FALSE,4.6,4.6,5.7,FALSE,8
"DN69BB","Insufficient Data",NA,NA,NA,NA,FALSE,2
"DN69BD","OK",TRUE,1.9,1.9,3.4,FALSE,10
"DN69BF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DN69BG","Insufficient Data",NA,NA,NA,NA,FALSE,2
"DN69BH","OK",TRUE,2.6,3.1,3.4,FALSE,7
"DN69BJ","OK",TRUE,2.6,2.3,4.8,FALSE,12
"DN69BL","OK",TRUE,4.3,4.5,6.8,FALSE,24
"DN69BN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DN69BP","Insufficient Data",NA,NA,NA,NA,FALSE,1
"DN69BQ","OK",TRUE,2,2.2,3.7,FALSE,15
"DN69BS","OK",TRUE,1,1.2,1.3,FALSE,3
"DN69BT","Insufficient Data",NA,NA,NA,NA,FALSE,1
"DN69BU","OK",TRUE,3.7,2.6,9,TRUE,13
"DN69BW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DN69BX","OK",TRUE,18.5,4.1,30,TRUE,7
"DN69BY","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DN69BZ","OK",TRUE,2.6,2.1,5.6,FALSE,9
"DN69DA","OK",TRUE,3.6,4,4.7,FALSE,6
"DN69DB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DN69DD","OK",TRUE,15.4,5,30,TRUE,15
"DN69DE","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DN69DF","OK",TRUE,2.5,2.7,3.7,FALSE,4
"DN69DG","OK",TRUE,16.3,3.7,30,TRUE,6
"DN69DH","OK",TRUE,23.3,4.5,30,TRUE,13
"DN69DJ","OK",FALSE,11.3,5,30,TRUE,6
"DN69DL","OK",TRUE,15.6,3.9,30,TRUE,8
"DN69DN","OK",TRUE,22.3,21.4,30,TRUE,4
"DN69DP","OK",TRUE,20,30,30,TRUE,5
"DN69DQ","OK",TRUE,26.6,6.9,30,TRUE,5
"DN69DR","OK",TRUE,14.9,5.6,30,TRUE,4
"DN69DS","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DN69DT","OK",TRUE,20.1,19.4,30,TRUE,4
"DN69DU","OK",FALSE,16.5,4.9,30,TRUE,3
"DN69DW","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DN69DX","OK",TRUE,14,4.5,30,TRUE,19
"DN69DY","OK",TRUE,10.7,3.5,30,TRUE,11
"DN69DZ","OK",TRUE,15.7,4.6,30,TRUE,7
"DN69EA","OK",TRUE,13.8,4,30,TRUE,13
"DN69EB","OK",TRUE,15.5,6.2,30,TRUE,3
"DN69ED","OK",TRUE,19.2,5.3,30,TRUE,19
"DN69EE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DN69EF","OK",TRUE,6.9,3.9,30,TRUE,16
"DN69EG","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DN69EH","OK",FALSE,15.9,4.6,30,TRUE,7
"DN69EJ","OK",FALSE,30,30,30,TRUE,4
"DN69EL","OK",TRUE,18.5,3.9,30,TRUE,22
"DN69EN","OK",TRUE,23.1,4.2,30,TRUE,21
"DN69EP","OK",TRUE,6.7,3.7,30,TRUE,10
"DN69EQ","OK",FALSE,30,30,30,TRUE,5
"DN69ER","OK",TRUE,8,2.8,30,TRUE,7
"DN69ES","OK",TRUE,7.6,3.1,30,TRUE,8
"DN69ET","OK",TRUE,26.9,30,30,TRUE,36
"DN69EU","OK",TRUE,20.4,4.8,30,TRUE,15
"DN69EW","OK",FALSE,30,30,30,TRUE,8
"DN69EX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DN69EY","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DN69EZ","OK",TRUE,21,21.2,30,TRUE,4
"DN69FB","OK",FALSE,3.6,3.7,3.9,FALSE,3
"DN69FN","Insufficient Data",NA,NA,NA,NA,TRUE,1
"DN69GA","OK",TRUE,2.9,3.3,4,FALSE,6
"DN69GB","OK",TRUE,30,7.8,30,TRUE,10
"DN69GD","OK",TRUE,25.9,4.4,30,TRUE,33
"DN69GE","OK",TRUE,22.5,6.7,30,TRUE,16
"DN69GF","OK",TRUE,22.6,6.4,30,TRUE,9
"DN69GG","OK",TRUE,11.3,5.6,30,TRUE,6
"DN69GH","OK",TRUE,17.2,3.6,30,TRUE,11
"DN69GL","OK",TRUE,1.7,1.6,3.1,FALSE,4
"DN69HA","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DN69HB","OK",FALSE,17,3.8,30,TRUE,5
"DN69HD","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DN69HE","OK",FALSE,26.2,30,30,TRUE,5
"DN69HF","OK",TRUE,7.2,2.8,30,TRUE,29
"DN69HH","OK",TRUE,15.8,3.3,30,TRUE,18
"DN69HJ","OK",TRUE,14.5,3.4,30,TRUE,13
"DN69HL","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DN69HN","OK",TRUE,2.7,2.9,3.3,TRUE,9
"DN69HP","OK",TRUE,7.3,2.3,17.3,TRUE,7
"DN69HQ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DN69HR","OK",TRUE,11.6,16.3,17.2,TRUE,3
"DN69HS","OK",TRUE,6.9,1.7,15.8,TRUE,6
"DN69HT","OK",TRUE,19.1,3.5,30,TRUE,24
"DN69HU","OK",FALSE,22.7,5.6,30,TRUE,8
"DN69HW","OK",TRUE,6.1,1.9,17.1,TRUE,7
