"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"DY29AD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DY29AE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DY29AF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DY29AJ","OK",FALSE,14.8,7.3,30,TRUE,3
"DY29AL","OK",FALSE,24.1,9.5,30,TRUE,8
"DY29AP","OK",FALSE,5.1,5.1,5.2,FALSE,3
"DY29AY","OK",FALSE,18.6,20,30,TRUE,17
"DY29AZ","OK",TRUE,9.8,7.6,20,TRUE,10
"DY29BB","OK",FALSE,27.7,11.2,30,TRUE,15
"DY29BE","OK",FALSE,5,4.7,9.5,TRUE,16
"DY29BG","OK",FALSE,24.8,20,30,TRUE,5
"DY29BH","OK",FALSE,9.5,6.5,30,TRUE,7
"DY29BL","No premises",NA,NA,NA,NA,FALSE,0
"DY29BP","OK",TRUE,27.6,20,30,TRUE,19
"DY29BU","OK",TRUE,23,20,30,TRUE,12
"DY29BW","OK",FALSE,15,14.1,30,TRUE,6
"DY29BX","No premises",NA,NA,NA,NA,FALSE,0
"DY29BY","OK",FALSE,23,8.1,30,TRUE,15
"DY29BZ","OK",FALSE,27.7,20,30,TRUE,9
"DY29DA","OK",FALSE,25.4,30,30,TRUE,13
"DY29DB","No premises",NA,NA,NA,NA,FALSE,0
"DY29DD","OK",TRUE,22.6,20,30,TRUE,32
"DY29DE","OK",FALSE,23.7,20,30,TRUE,21
"DY29DF","OK",FALSE,30,30,30,TRUE,17
"DY29DG","OK",TRUE,20,9.2,30,TRUE,31
"DY29DH","OK",FALSE,23.5,20,30,TRUE,16
"DY29DJ","OK",FALSE,14.4,7.7,30,TRUE,11
"DY29DL","OK",FALSE,7.2,7.6,8.4,TRUE,4
"DY29DQ","OK",TRUE,28.6,30,30,TRUE,9
"DY29DY","Insufficient Data",NA,NA,NA,NA,FALSE,1
"DY29EA","OK",FALSE,22.5,20,30,TRUE,10
"DY29EB","OK",FALSE,21.5,7.9,30,TRUE,15
"DY29EE","OK",FALSE,22.9,20,30,TRUE,13
"DY29EF","OK",FALSE,30,30,30,TRUE,13
"DY29EG","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DY29EH","OK",TRUE,20.2,20,30,TRUE,20
"DY29EQ","OK",FALSE,28.3,25,30,TRUE,8
"DY29ER","No Data",NA,NA,NA,NA,TRUE,0
"DY29ES","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DY29ET","OK",FALSE,30,30,30,TRUE,7
"DY29EU","OK",TRUE,20.8,20,30,TRUE,10
"DY29EW","OK",FALSE,18.3,20,30,TRUE,3
"DY29EX","OK",TRUE,30,30,30,TRUE,14
"DY29EY","OK",FALSE,22.1,20,30,TRUE,13
"DY29EZ","OK",FALSE,30,30,30,TRUE,11
"DY29FD","No premises",NA,NA,NA,NA,TRUE,0
"DY29HA","OK",TRUE,30,30,30,TRUE,8
"DY29HB","OK",FALSE,5.5,6.1,8.4,FALSE,21
"DY29HD","OK",TRUE,22.7,25,30,TRUE,8
"DY29HE","OK",TRUE,17.5,20,30,TRUE,34
"DY29HF","OK",TRUE,22.3,20,30,TRUE,32
"DY29HG","OK",FALSE,22.7,7.9,30,TRUE,21
"DY29HH","OK",FALSE,30,30,30,TRUE,3
"DY29HL","OK",TRUE,8,5.2,30,TRUE,18
"DY29HN","OK",TRUE,11.4,7.1,30,TRUE,15
"DY29HQ","OK",FALSE,18.8,5.8,30,TRUE,11
"DY29HR","OK",TRUE,19.7,12.3,30,TRUE,29
"DY29HS","OK",TRUE,25.2,20,30,TRUE,20
"DY29HT","No premises",NA,NA,NA,NA,FALSE,0
"DY29HU","OK",TRUE,22.1,20,30,TRUE,26
"DY29HW","OK",TRUE,21.3,20,30,TRUE,16
"DY29HX","OK",FALSE,30,20,30,TRUE,3
"DY29HY","OK",FALSE,23.5,20,30,TRUE,20
"DY29HZ","OK",TRUE,26.5,20,30,TRUE,29
"DY29JA","OK",TRUE,22.6,20,30,TRUE,20
"DY29JD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DY29JE","OK",TRUE,8.2,4.1,20,TRUE,3
"DY29JF","OK",TRUE,25.2,30,30,TRUE,6
"DY29JH","OK",FALSE,23.1,20,30,TRUE,19
"DY29JJ","OK",FALSE,23.4,20,30,TRUE,41
"DY29JL","OK",TRUE,23.6,20,30,TRUE,44
"DY29JN","OK",FALSE,22.3,13.7,30,TRUE,16
"DY29JP","OK",TRUE,23.4,20,30,TRUE,36
"DY29JQ","OK",TRUE,26.7,20,30,TRUE,14
"DY29JR","OK",FALSE,25.7,30,30,TRUE,9
"DY29JS","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DY29JT","OK",FALSE,14.8,10,30,TRUE,13
"DY29JU","OK",FALSE,30,30,30,TRUE,10
"DY29JW","OK",FALSE,23,15.7,30,TRUE,19
"DY29JX","OK",FALSE,13.7,8.1,30,TRUE,16
