"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"DY40AD","OK",TRUE,11.7,3.1,30,TRUE,4
"DY40AE","OK",FALSE,27.5,20,30,TRUE,44
"DY40AF","OK",TRUE,17.3,12.3,30,TRUE,18
"DY40AG","OK",FALSE,17.5,11.4,30,TRUE,22
"DY40AH","OK",FALSE,29.5,30,30,TRUE,5
"DY40AJ","OK",TRUE,27.9,20,30,TRUE,36
"DY40AL","OK",FALSE,21,20,30,TRUE,22
"DY40AN","OK",TRUE,15.3,13.7,30,TRUE,10
"DY40AP","OK",FALSE,28.6,20,30,TRUE,7
"DY40AQ","OK",FALSE,25.2,23.8,30,TRUE,24
"DY40AR","OK",FALSE,19.8,7.2,30,TRUE,22
"DY40AS","OK",TRUE,14,13.5,30,TRUE,10
"DY40AT","OK",FALSE,28.6,20,30,TRUE,3
"DY40AU","OK",TRUE,14.3,7.5,30,TRUE,15
"DY40AW","OK",TRUE,8.1,4.3,30,TRUE,6
"DY40AX","OK",FALSE,20,20,30,TRUE,32
"DY40AY","OK",TRUE,16.5,13.6,30,TRUE,10
"DY40AZ","OK",FALSE,30,25,30,TRUE,8
"DY40BA","OK",FALSE,24.2,7,30,TRUE,9
"DY40BB","OK",FALSE,22.7,13.3,30,TRUE,6
"DY40BD","OK",TRUE,11,5,30,TRUE,18
"DY40BE","OK",TRUE,30,30,30,TRUE,56
"DY40BG","OK",TRUE,24.4,12.1,30,TRUE,6
"DY40BH","OK",FALSE,21,20,30,TRUE,14
"DY40BJ","OK",TRUE,15.4,4.2,30,TRUE,10
"DY40BL","OK",TRUE,21.8,9.2,30,TRUE,43
"DY40BN","OK",FALSE,16.4,20,30,TRUE,9
"DY40BP","No premises",NA,NA,NA,NA,TRUE,0
"DY40BQ","OK",TRUE,24.2,20,30,TRUE,45
"DY40BS","OK",FALSE,5.5,5.9,7.3,TRUE,3
"DY40BT","OK",FALSE,25.5,20,30,TRUE,13
"DY40BU","OK",FALSE,21.3,13.9,30,TRUE,6
"DY40BW","OK",TRUE,17.8,20,30,TRUE,15
"DY40BX","OK",TRUE,21.1,20,30,TRUE,40
"DY40BY","OK",TRUE,16.7,20,30,TRUE,13
"DY40BZ","OK",TRUE,21.6,13.2,30,TRUE,14
"DY40DA","OK",TRUE,22.4,5.6,30,TRUE,17
"DY40DB","OK",TRUE,28.2,12.5,30,TRUE,10
"DY40DD","OK",TRUE,19.5,7.7,30,TRUE,15
"DY40DE","OK",TRUE,30,25,30,TRUE,27
"DY40DF","OK",TRUE,21.8,30,30,TRUE,15
"DY40DG","OK",TRUE,10.4,5.5,30,TRUE,11
"DY40DH","OK",FALSE,15.1,7.7,30,TRUE,14
"DY40DJ","OK",FALSE,26.2,16.4,30,TRUE,25
"DY40DN","OK",FALSE,30,30,30,TRUE,10
"DY40DP","OK",FALSE,30,20,30,TRUE,8
"DY40DQ","OK",TRUE,13,6.8,30,TRUE,30
"DY40DR","OK",TRUE,24.1,6.9,30,TRUE,15
"DY40DS","OK",FALSE,20.3,10.6,30,TRUE,21
"DY40DT","OK",FALSE,20.7,14,30,TRUE,21
"DY40DU","OK",FALSE,21.3,11.3,30,TRUE,19
"DY40DW","OK",TRUE,20.6,20,30,TRUE,15
"DY40DX","OK",FALSE,22.5,20,30,TRUE,7
"DY40DY","Insufficient Data",NA,NA,NA,NA,TRUE,1
"DY40DZ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DY40DZ","No Data",NA,NA,NA,NA,TRUE,0
"DY40EA","OK",FALSE,30,20,30,TRUE,5
"DY40EB","OK",FALSE,27.1,20,30,TRUE,15
"DY40ED","OK",TRUE,22.2,10.3,30,TRUE,13
"DY40EE","OK",FALSE,21.1,20,30,TRUE,18
"DY40EF","OK",TRUE,21.1,16.7,30,TRUE,10
"DY40EG","OK",FALSE,19,14.1,30,TRUE,4
"DY40EH","OK",FALSE,16.7,14.3,30,TRUE,4
"DY40EJ","OK",FALSE,19.2,15.7,30,TRUE,6
"DY40EL","OK",FALSE,11.2,11.1,20,TRUE,10
"DY40EN","OK",FALSE,16.9,12.1,30,TRUE,19
"DY40EP","OK",FALSE,16.9,12.6,30,TRUE,6
"DY40EQ","No premises",NA,NA,NA,NA,TRUE,0
"DY40ER","OK",FALSE,15.1,9.4,30,TRUE,5
"DY40ES","OK",TRUE,20.7,20,30,TRUE,29
"DY40ET","OK",FALSE,26.5,20,30,TRUE,17
"DY40EU","OK",FALSE,24.8,14.3,30,TRUE,16
"DY40EW","OK",FALSE,21.2,21.5,30,TRUE,4
"DY40EX","OK",FALSE,20.4,20,30,TRUE,3
"DY40EY","OK",FALSE,11.3,8.1,30,TRUE,16
"DY40EZ","OK",FALSE,18.7,14.8,30,TRUE,14
"DY40HA","No premises",NA,NA,NA,NA,TRUE,0
"DY40HB","OK",FALSE,9.5,10.6,12.9,TRUE,9
"DY40HD","OK",FALSE,22.5,18.1,30,TRUE,14
"DY40HE","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DY40HF","OK",FALSE,11.6,8.5,20,TRUE,5
"DY40HG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DY40HG","No Data",NA,NA,NA,NA,TRUE,0
"DY40HH","No premises",NA,NA,NA,NA,TRUE,0
"DY40HL","OK",TRUE,20.9,13.9,30,TRUE,23
"DY40HN","OK",FALSE,11.9,11.3,20,FALSE,9
"DY40HP","OK",TRUE,13.6,14.3,30,TRUE,23
"DY40HQ","OK",TRUE,12.3,14.1,17.7,FALSE,19
"DY40HR","OK",FALSE,5.5,4.6,9.7,FALSE,4
"DY40HS","OK",TRUE,10.8,12.4,16.6,FALSE,24
"DY40HT","OK",TRUE,11.6,13,21,FALSE,11
"DY40HU","OK",FALSE,21.8,10.4,30,TRUE,40
"DY40HW","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DY40HW","No Data",NA,NA,NA,NA,TRUE,0
"DY40HX","OK",TRUE,19.6,14.7,30,TRUE,10
"DY40HY","OK",TRUE,25.7,9.5,30,TRUE,10
"DY40HZ","OK",FALSE,21.6,15,30,TRUE,12
"DY40JA","OK",FALSE,30,25,30,TRUE,4
"DY40JB","OK",FALSE,21.4,20,30,TRUE,10
"DY40JD","OK",FALSE,22.7,14.6,30,TRUE,16
"DY40JE","OK",FALSE,14.3,14.7,18.2,FALSE,21
"DY40JF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DY40JF","No Data",NA,NA,NA,NA,TRUE,0
"DY40JG","OK",FALSE,25.8,25,30,TRUE,12
"DY40JH","OK",FALSE,11.3,11.1,17,FALSE,6
"DY40JJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DY40JJ","No Data",NA,NA,NA,NA,FALSE,0
"DY40JL","OK",FALSE,18,17.2,30,TRUE,4
"DY40JN","OK",FALSE,25.4,20,30,TRUE,7
"DY40JP","OK",FALSE,14.3,14,16.7,TRUE,3
"DY40JR","OK",FALSE,26.8,20,30,TRUE,5
"DY40JS","OK",TRUE,17.5,20,30,TRUE,7
"DY40JT","OK",FALSE,22.2,20,30,TRUE,9
"DY40JU","OK",FALSE,15.5,16.4,30,TRUE,12
"DY40JW","OK",FALSE,25.5,11.3,30,TRUE,3
"DY40JX","OK",TRUE,16.6,11.4,30,TRUE,10
"DY40JY","OK",FALSE,19.4,17,30,TRUE,28
"DY40JZ","OK",FALSE,19.1,12.4,30,TRUE,22
"DY40LA","OK",FALSE,27.3,20,30,TRUE,21
"DY40LB","OK",FALSE,19.1,20,30,TRUE,6
"DY40LD","OK",FALSE,11.4,12.5,18,FALSE,9
"DY40LE","OK",FALSE,11.4,13.5,16.5,FALSE,21
"DY40LG","OK",TRUE,28.9,20,30,TRUE,20
"DY40LH","OK",FALSE,30,30,30,TRUE,8
"DY40LJ","OK",FALSE,22.6,20,30,TRUE,14
"DY40LL","OK",FALSE,25,25,30,TRUE,6
"DY40LN","OK",TRUE,19.5,10.8,30,TRUE,16
"DY40LP","OK",FALSE,30,21.5,30,TRUE,8
"DY40LQ","OK",FALSE,30,30,30,TRUE,18
"DY40LR","OK",FALSE,19.4,19.4,30,TRUE,4
"DY40LT","OK",TRUE,10.3,11.2,15.1,FALSE,9
"DY40LU","OK",FALSE,11.7,12.4,15.3,FALSE,23
"DY40LW","OK",TRUE,18.6,7.3,30,TRUE,5
"DY40LX","OK",FALSE,9.2,10.4,13.9,FALSE,10
"DY40LY","OK",FALSE,10,8.9,19.1,FALSE,18
"DY40NA","OK",TRUE,6.4,7.1,8.9,TRUE,5
"DY40NB","OK",TRUE,14.9,11,30,TRUE,27
"DY40ND","OK",TRUE,18.3,13,30,TRUE,16
"DY40NE","OK",FALSE,8.9,8.9,16.3,TRUE,59
"DY40NF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DY40NF","No Data",NA,NA,NA,NA,TRUE,0
"DY40NG","OK",FALSE,13.7,7.6,30,TRUE,8
"DY40NH","OK",FALSE,20.2,20,30,TRUE,4
"DY40NJ","OK",FALSE,22.3,4.2,30,TRUE,3
"DY40NL","OK",TRUE,29.8,20,30,TRUE,20
"DY40NN","OK",TRUE,19.4,9.6,30,TRUE,17
"DY40NP","OK",TRUE,12.1,7.1,30,TRUE,11
"DY40NQ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DY40NR","OK",FALSE,27.9,20,30,TRUE,24
"DY40NS","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DY40NT","OK",FALSE,25.6,20,30,TRUE,5
"DY40NU","OK",TRUE,29,20,30,TRUE,15
"DY40NW","OK",FALSE,25.9,15.6,30,TRUE,18
"DY40NX","OK",TRUE,14.1,12.5,30,TRUE,4
"DY40NY","OK",TRUE,30,20,30,TRUE,13
"DY40NZ","OK",FALSE,23.8,20,30,TRUE,30
"DY40PA","OK",FALSE,21.1,20,30,TRUE,7
"DY40PB","OK",FALSE,18.6,20,30,TRUE,32
"DY40PD","OK",FALSE,20.5,20,30,TRUE,6
"DY40PE","OK",FALSE,28.4,20,30,TRUE,20
"DY40PF","OK",TRUE,30,25,30,TRUE,8
"DY40PG","OK",FALSE,13.8,8.2,30,TRUE,21
"DY40PJ","OK",FALSE,15.9,14.6,30,TRUE,12
"DY40PL","OK",TRUE,26,20,30,TRUE,15
"DY40PN","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DY40PP","OK",TRUE,23.5,12,30,TRUE,23
"DY40PQ","OK",FALSE,30,20,30,TRUE,10
"DY40PR","OK",FALSE,19.3,13.3,30,TRUE,34
"DY40PS","OK",TRUE,7.1,5,16.7,TRUE,4
"DY40PT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DY40PT","No Data",NA,NA,NA,NA,FALSE,0
"DY40PU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DY40PU","No Data",NA,NA,NA,NA,FALSE,0
"DY40PW","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DY40PW","No Data",NA,NA,NA,NA,TRUE,0
"DY40PY","No Data",NA,NA,NA,NA,FALSE,0
"DY40PZ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DY40PZ","No Data",NA,NA,NA,NA,TRUE,0
"DY40QA","Insufficient Data",NA,NA,NA,NA,TRUE,1
"DY40QB","OK",TRUE,13.5,7,30,TRUE,36
"DY40QD","OK",FALSE,10,6.8,30,TRUE,11
"DY40QE","OK",TRUE,9.6,4.6,30,TRUE,7
"DY40QF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DY40QF","No Data",NA,NA,NA,NA,TRUE,0
"DY40QG","OK",TRUE,7.8,2.8,30,TRUE,9
"DY40QH","OK",FALSE,14.8,5.9,30,TRUE,11
"DY40QP","OK",FALSE,16,14.6,30,TRUE,18
"DY40QQ","OK",TRUE,16.4,7.1,30,TRUE,7
"DY40QR","OK",TRUE,26.9,20,30,TRUE,13
"DY40QS","OK",TRUE,19.9,4.7,30,TRUE,7
"DY40QT","OK",FALSE,30,30,30,TRUE,16
"DY40QU","OK",FALSE,26.1,30,30,TRUE,7
"DY40QX","OK",TRUE,25,14.5,30,TRUE,18
"DY40QY","OK",TRUE,24.3,20,30,TRUE,32
"DY40QZ","OK",TRUE,17,8.2,30,TRUE,21
"DY40RA","OK",FALSE,25.2,20,30,TRUE,25
"DY40RB","OK",TRUE,18.4,9.2,30,TRUE,46
"DY40RD","OK",FALSE,26.4,10,30,TRUE,20
"DY40RE","OK",TRUE,23.1,20,30,TRUE,13
"DY40RF","OK",FALSE,26,10.2,30,TRUE,13
"DY40RG","OK",FALSE,22.4,8.2,30,TRUE,7
"DY40RH","OK",TRUE,21.5,16.9,30,TRUE,24
"DY40RJ","OK",TRUE,19.6,20,30,TRUE,24
"DY40RL","OK",FALSE,28.3,25,30,TRUE,4
"DY40RN","OK",FALSE,14.5,11.3,30,TRUE,5
"DY40RP","No Data",NA,NA,NA,NA,TRUE,0
"DY40RQ","OK",FALSE,15.5,12.3,30,TRUE,17
"DY40RR","OK",FALSE,12.2,7.8,30,TRUE,4
"DY40RS","OK",FALSE,11,7.4,20,TRUE,6
"DY40RT","OK",FALSE,18.1,7.7,30,TRUE,5
"DY40RU","Insufficient Data",NA,NA,NA,NA,TRUE,1
"DY40RW","OK",TRUE,16.2,9.6,30,TRUE,15
"DY40RX","OK",FALSE,30,30,30,TRUE,3
"DY40RY","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DY40RZ","OK",FALSE,30,30,30,TRUE,5
"DY40SA","OK",FALSE,19.5,6.9,30,TRUE,6
"DY40SB","OK",TRUE,15.6,7.7,30,TRUE,12
"DY40SD","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DY40SD","No Data",NA,NA,NA,NA,TRUE,0
"DY40SE","OK",TRUE,12.8,8.5,30,TRUE,10
"DY40SF","OK",TRUE,15.9,20,30,TRUE,7
"DY40SG","OK",FALSE,18.8,8.4,30,TRUE,10
"DY40SH","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DY40SJ","OK",TRUE,16,20,30,TRUE,7
"DY40SL","OK",FALSE,30,18.7,30,TRUE,4
"DY40SN","No premises",NA,NA,NA,NA,TRUE,0
"DY40SP","OK",FALSE,10.5,4.2,30,TRUE,4
"DY40SQ","OK",FALSE,25.9,30,30,TRUE,7
"DY40SR","OK",TRUE,21.7,13.3,30,TRUE,4
"DY40SS","OK",FALSE,16.3,6.7,30,TRUE,10
"DY40ST","OK",FALSE,14.3,13.5,30,TRUE,8
"DY40SU","OK",TRUE,20.7,4.1,30,TRUE,16
"DY40SX","OK",FALSE,14.9,12.5,30,TRUE,6
"DY40SY","OK",FALSE,25.9,13.8,30,TRUE,6
"DY40SZ","OK",FALSE,20.1,6,30,TRUE,12
"DY40TA","OK",FALSE,3.6,2.9,6.1,TRUE,4
"DY40TB","OK",FALSE,17.9,20,30,TRUE,3
"DY40TD","OK",TRUE,13.6,20,20,TRUE,3
"DY40TE","OK",FALSE,23.6,20,30,TRUE,22
"DY40TF","OK",FALSE,13.4,8.9,30,TRUE,6
"DY40TG","OK",FALSE,26.7,20,30,TRUE,14
"DY40TH","OK",FALSE,24.7,30,30,TRUE,12
"DY40TJ","OK",FALSE,25.1,20,30,TRUE,24
"DY40TL","OK",TRUE,12.2,6.3,30,TRUE,11
"DY40TN","OK",TRUE,18.3,20,30,TRUE,15
"DY40TP","OK",FALSE,19.1,20,30,TRUE,3
"DY40TQ","OK",TRUE,24.5,20,30,TRUE,20
"DY40TR","OK",TRUE,23.7,20,30,TRUE,11
"DY40TS","OK",FALSE,28.3,20,30,TRUE,17
"DY40TT","OK",FALSE,20.1,8.2,30,TRUE,12
"DY40TU","OK",FALSE,23.3,20,30,TRUE,9
"DY40TW","OK",FALSE,22.1,20,30,TRUE,5
"DY40TX","OK",FALSE,18.8,20,30,TRUE,7
"DY40TY","OK",FALSE,17,6.9,30,TRUE,5
"DY40TZ","OK",TRUE,18.1,14.7,30,TRUE,24
"DY40UA","OK",FALSE,17.5,14.1,30,TRUE,20
"DY40UJ","OK",TRUE,28.8,30,30,TRUE,8
"DY40UL","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DY40UN","OK",FALSE,30,30,30,TRUE,7
"DY40UP","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DY40UQ","OK",FALSE,28,25,30,TRUE,18
"DY40UR","OK",FALSE,30,20,30,TRUE,15
"DY40UT","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DY40UT","No Data",NA,NA,NA,NA,TRUE,0
"DY40UW","OK",FALSE,23.3,20,30,TRUE,5
"DY40WP","No premises",NA,NA,NA,NA,FALSE,0
"DY40XB","OK",TRUE,28.6,20,30,TRUE,21
"DY40XD","OK",FALSE,30,30,30,TRUE,16
"DY40XE","OK",FALSE,19.4,8.2,30,TRUE,11
"DY40XF","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DY40XG","OK",TRUE,20.5,20,30,TRUE,23
"DY40XH","OK",TRUE,24,25,30,TRUE,32
"DY40XJ","OK",TRUE,28.9,20,30,TRUE,18
"DY40XL","OK",TRUE,30,25,30,TRUE,8
"DY40XN","OK",TRUE,21.6,20,30,TRUE,16
"DY40XP","OK",FALSE,22.7,6.1,30,TRUE,11
"DY40XQ","OK",TRUE,20.4,5.4,30,TRUE,26
"DY40XR","OK",TRUE,24.5,20,30,TRUE,24
"DY40XS","OK",FALSE,23.8,25,30,TRUE,14
"DY40XT","OK",TRUE,25.4,20,30,TRUE,15
"DY40XU","OK",TRUE,20,5.4,30,TRUE,16
"DY40XW","OK",TRUE,20.4,20,30,TRUE,15
"DY40XX","OK",TRUE,26.3,20,30,TRUE,37
