"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"E10DA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"E10DA","No Data",NA,NA,NA,NA,FALSE,0
"E10DB","OK",FALSE,14.6,16.8,21.8,FALSE,17
"E10DD","Insufficient Data",NA,NA,NA,NA,FALSE,2
"E10DE","OK",FALSE,14.9,16,18,FALSE,5
"E10DF","OK",TRUE,12.9,13.9,19.8,FALSE,52
"E10DG","OK",FALSE,13.6,14.1,17.8,TRUE,9
"E10DH","OK",FALSE,16,16.5,19.9,TRUE,14
"E10DN","OK",FALSE,15,15.8,19.4,FALSE,39
"E10DP","OK",FALSE,17.1,16.5,21,FALSE,4
"E10DQ","OK",FALSE,22.1,21.9,24,FALSE,4
"E10DR","OK",FALSE,15.7,16.7,20.3,TRUE,15
"E10DS","OK",FALSE,18.8,18.8,22,FALSE,4
"E10DT","OK",FALSE,16,17,19.7,FALSE,24
"E10DU","OK",TRUE,14.4,16.4,21.1,FALSE,36
"E10DW","OK",FALSE,14.8,16.4,18.1,FALSE,8
"E10DY","No Data",NA,NA,NA,NA,FALSE,0
"E10DZ","OK",FALSE,17.9,19.4,22.1,FALSE,17
