"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"E20AA","OK",FALSE,18.1,15.5,30,TRUE,37
"E20AF","No premises",NA,NA,NA,NA,FALSE,0
"E20AG","OK",FALSE,13.3,13.8,30,TRUE,33
"E20AH","OK",TRUE,10.2,11.2,20.3,TRUE,36
"E20AJ","No premises",NA,NA,NA,NA,TRUE,0
"E20AN","OK",FALSE,14.7,10.5,30,TRUE,37
"E20AP","OK",FALSE,18.2,7.1,30,TRUE,12
"E20AR","OK",FALSE,15.6,10.3,30,TRUE,11
"E20AS","OK",TRUE,11.3,8.7,30,TRUE,11
"E20AT","OK",FALSE,20.3,10,30,TRUE,10
"E20AU","OK",TRUE,6.5,6.9,9,FALSE,22
"E20AW","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"E20AX","OK",TRUE,11.1,7.8,30,TRUE,18
"E20AY","OK",TRUE,8.2,9.1,10.8,FALSE,21
"E20AZ","OK",FALSE,6.7,7.4,8.1,TRUE,4
