"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"E29ED","OK",FALSE,13.4,9.1,30,TRUE,29
"E29EE","No premises",NA,NA,NA,NA,TRUE,0
"E29EF","OK",FALSE,5.7,5.5,6.5,FALSE,4
"E29EG","OK",TRUE,5.4,4.5,17.3,TRUE,9
"E29EH","OK",TRUE,9.1,4.5,30,TRUE,9
"E29EL","OK",FALSE,5.1,5.6,6.1,FALSE,6
"E29EN","OK",FALSE,4,3.7,6.5,FALSE,8
"E29EP","OK",FALSE,4.5,4.8,6.1,FALSE,5
"E29EQ","No Data",NA,NA,NA,NA,FALSE,0
"E29ER","OK",FALSE,4.5,4.7,6.1,FALSE,4
"E29ES","OK",FALSE,4.2,4.5,5,FALSE,5
"E29ET","OK",TRUE,5.2,5.3,10.3,FALSE,8
"E29EU","OK",FALSE,4.4,4.5,5.6,FALSE,6
"E29EW","OK",FALSE,4.2,3.9,6.3,FALSE,3
"E29EX","OK",TRUE,6.4,7.1,9.9,FALSE,17
