"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"E29NA","OK",TRUE,6.9,7.4,10,TRUE,5
"E29NB","OK",TRUE,13.5,8.4,30,TRUE,40
"E29ND","OK",FALSE,6.8,7,11.6,FALSE,20
"E29NE","OK",FALSE,9.7,9.5,14.2,FALSE,9
"E29NF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"E29NF","No Data",NA,NA,NA,NA,FALSE,0
"E29NG","OK",TRUE,8.1,6.4,30,TRUE,12
"E29NH","OK",TRUE,6.8,7.1,11.1,TRUE,5
"E29NJ","OK",FALSE,16.9,8.9,30,TRUE,27
"E29NL","OK",TRUE,4.7,4.5,16.8,FALSE,43
"E29NN","OK",FALSE,6.1,6,8.1,TRUE,5
"E29NQ","OK",TRUE,11.6,4.4,30,TRUE,13
"E29NR","OK",TRUE,17.3,8.6,30,TRUE,42
"E29NS","Insufficient Data",NA,NA,NA,NA,TRUE,1
"E29NT","OK",TRUE,13.9,7,30,TRUE,13
"E29NU","OK",TRUE,10.4,7.6,30,TRUE,35
"E29NW","OK",FALSE,11,7.4,30,TRUE,29
"E29NX","OK",TRUE,9.1,7.5,30,TRUE,14
"E29NY","OK",TRUE,5.3,5.9,9.5,FALSE,12
"E29NZ","No premises",NA,NA,NA,NA,FALSE,0
