"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"E46QA","OK",FALSE,21.4,18.1,30,TRUE,6
"E46QB","OK",FALSE,21.6,17.2,30,TRUE,35
"E46QD","OK",FALSE,20.4,14,30,TRUE,7
"E46QE","OK",FALSE,28.9,20,30,TRUE,5
"E46QF","OK",FALSE,27.8,15.3,30,TRUE,9
"E46QG","OK",FALSE,30,20.7,30,TRUE,36
"E46QH","OK",FALSE,29.1,20,30,TRUE,49
"E46QJ","OK",TRUE,20.4,19.3,30,TRUE,40
"E46QL","OK",FALSE,30,26.7,30,TRUE,5
"E46QN","OK",FALSE,26.5,17.3,30,TRUE,23
"E46QP","OK",FALSE,18.6,22,22.9,TRUE,4
"E46QQ","OK",FALSE,22.5,18,30,TRUE,23
"E46QR","OK",TRUE,25.7,19.7,30,TRUE,48
"E46QS","OK",FALSE,30,20,30,TRUE,22
"E46QT","OK",FALSE,30,18.6,30,TRUE,19
"E46QU","OK",FALSE,25.1,18.1,30,TRUE,19
"E46QW","OK",FALSE,22.6,19,30,TRUE,36
"E46QX","No premises",NA,NA,NA,NA,TRUE,0
"E46QY","OK",FALSE,11.8,13.9,15.8,TRUE,7
"E46QZ","OK",FALSE,21.3,19.1,30,TRUE,10
