"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"E58JA","OK",FALSE,23.2,20,30,TRUE,19
"E58JB","OK",FALSE,13.2,13.2,14.9,TRUE,4
"E58JE","OK",FALSE,16.3,16.2,30,TRUE,12
"E58JF","OK",TRUE,26.8,4.4,30,TRUE,45
"E58JG","OK",FALSE,14,14.7,20.5,FALSE,20
"E58JH","OK",FALSE,15.3,14.3,30,TRUE,44
"E58JJ","OK",FALSE,14,15.4,19.3,TRUE,16
"E58JL","OK",FALSE,12.7,13.4,17.9,TRUE,20
"E58JN","OK",TRUE,19.4,14.5,30,TRUE,15
"E58JP","OK",FALSE,17.4,15,30,TRUE,22
"E58JQ","OK",FALSE,14,15.2,18,FALSE,26
"E58JR","OK",FALSE,15.8,15.6,30,TRUE,26
"E58JS","OK",TRUE,10.9,11.8,17,FALSE,12
"E58JT","OK",FALSE,13.9,14.8,19.6,FALSE,31
"E58JU","OK",TRUE,16.7,15.3,30,TRUE,38
"E58JW","OK",TRUE,16.4,13.5,30,TRUE,39
"E58JX","OK",TRUE,14,5.4,30,TRUE,22
"E58JY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"E58JY","No Data",NA,NA,NA,NA,FALSE,0
