"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"E79PA","OK",FALSE,13.1,9.2,30,TRUE,30
"E79PB","OK",FALSE,24,14.2,30,TRUE,12
"E79PD","OK",TRUE,17.8,8.9,30,TRUE,35
"E79PE","OK",FALSE,21,10,30,TRUE,38
"E79PF","OK",TRUE,19.4,16.1,30,TRUE,42
"E79PG","OK",FALSE,26.5,30,30,TRUE,18
"E79PH","OK",FALSE,22.6,20,30,TRUE,37
"E79PJ","OK",TRUE,22.3,11.8,30,TRUE,28
"E79PL","OK",FALSE,6.4,6.7,8.2,TRUE,4
"E79PN","OK",FALSE,25.6,14.5,30,TRUE,25
"E79PP","OK",FALSE,22.8,17.2,30,TRUE,12
"E79PQ","OK",FALSE,21.9,20,30,TRUE,34
"E79PR","OK",TRUE,18.9,20,30,TRUE,13
"E79PS","OK",FALSE,10.2,9,30,TRUE,18
"E79PT","OK",TRUE,30,30,30,TRUE,20
"E79PU","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"E79PW","OK",TRUE,28.7,12.8,30,TRUE,25
"E79PX","OK",TRUE,12.8,8.7,30,TRUE,7
