"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"E82DA","OK",FALSE,14.3,15.4,19.1,TRUE,12
"E82DB","OK",FALSE,30,16.9,30,TRUE,13
"E82DD","OK",FALSE,16.9,12.5,30,TRUE,15
"E82DE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"E82DE","No Data",NA,NA,NA,NA,TRUE,0
"E82DF","OK",TRUE,13.6,15.4,19.5,TRUE,25
"E82DG","OK",FALSE,14.4,14.3,30,TRUE,28
"E82DH","OK",TRUE,14.4,16,20.3,TRUE,7
"E82DJ","OK",TRUE,20,16.8,30,TRUE,35
"E82DN","Insufficient Data",NA,NA,NA,NA,TRUE,1
"E82DP","OK",FALSE,30,16.7,30,TRUE,22
"E82DS","Insufficient Data",NA,NA,NA,NA,TRUE,2
"E82DU","OK",FALSE,16.4,15,30,TRUE,24
"E82DX","OK",FALSE,19.5,16,30,TRUE,25
"E82DY","OK",FALSE,25.8,19.2,30,TRUE,39
"E82DZ","OK",FALSE,22.3,16.4,30,TRUE,42
