"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"E83HA","OK",TRUE,18.4,15.5,30,TRUE,27
"E83HB","OK",FALSE,23.5,15.9,30,TRUE,17
"E83HD","No Data",NA,NA,NA,NA,TRUE,0
"E83HE","OK",FALSE,21.7,14.4,30,TRUE,5
"E83HF","OK",FALSE,17.1,15.4,30,TRUE,4
"E83HG","OK",FALSE,24.3,17,30,TRUE,34
"E83HH","OK",TRUE,16.8,20,30,TRUE,12
"E83HJ","OK",FALSE,14.1,8.3,30,TRUE,27
"E83HL","OK",FALSE,30,18.4,30,TRUE,21
"E83HN","OK",FALSE,27.1,20,30,TRUE,31
"E83HQ","OK",FALSE,23.8,15.4,30,TRUE,25
"E83HR","OK",FALSE,12.7,16.3,20.9,TRUE,7
"E83HS","OK",FALSE,21.1,13,30,TRUE,23
"E83HW","OK",FALSE,28.3,15.1,30,TRUE,22
"E83HX","OK",FALSE,24.9,20,30,TRUE,21
"E83HY","OK",FALSE,28.5,25,30,TRUE,23
