"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"EH42AA","OK",FALSE,14.5,11.1,30,TRUE,8
"EH42AB","OK",TRUE,17.6,20,30,TRUE,9
"EH42AD","OK",FALSE,24.4,20,30,TRUE,4
"EH42AE","OK",FALSE,26,25,30,TRUE,10
"EH42AF","OK",FALSE,30,30,30,TRUE,11
"EH42AG","OK",TRUE,9.5,7,20,TRUE,13
"EH42AJ","OK",FALSE,28.6,30,30,TRUE,7
"EH42AL","OK",FALSE,26.6,20,30,TRUE,7
"EH42AN","OK",FALSE,23.9,7.8,30,TRUE,14
"EH42AP","OK",FALSE,28.2,20,30,TRUE,8
"EH42AQ","OK",FALSE,30,30,30,TRUE,5
"EH42AR","OK",FALSE,30,20,30,TRUE,18
"EH42AS","OK",FALSE,30,20,30,TRUE,13
"EH42AT","Insufficient Data",NA,NA,NA,NA,TRUE,2
"EH42AU","OK",TRUE,29,20,30,TRUE,24
"EH42AW","OK",FALSE,23.4,21.2,30,TRUE,8
"EH42AX","OK",FALSE,16.7,9.8,30,TRUE,5
"EH42AY","OK",FALSE,27.9,15.3,30,TRUE,16
"EH42AZ","OK",FALSE,23.5,9.2,30,TRUE,5
"EH42BA","OK",FALSE,30,30,30,TRUE,18
"EH42BB","OK",FALSE,23.3,23.8,30,TRUE,6
"EH42BG","OK",FALSE,30,24.3,30,TRUE,25
"EH42BH","OK",FALSE,30,20,30,TRUE,24
"EH42BJ","OK",FALSE,19.3,20,30,TRUE,7
"EH42BL","OK",FALSE,10.2,8.2,20,TRUE,8
"EH42BN","OK",TRUE,18.3,8,30,TRUE,15
"EH42BP","OK",FALSE,27.2,17.9,30,TRUE,10
"EH42BQ","OK",FALSE,27,30,30,TRUE,34
"EH42BR","No Data",NA,NA,NA,NA,TRUE,0
"EH42BS","OK",FALSE,23.4,25,30,TRUE,8
"EH42BT","OK",FALSE,28.5,20,30,TRUE,12
"EH42BU","OK",FALSE,30,30,30,TRUE,11
"EH42BW","OK",FALSE,20,20,20,TRUE,4
"EH42BX","OK",FALSE,30,20,30,TRUE,6
"EH42BY","OK",FALSE,25.5,13.9,30,TRUE,24
"EH42BZ","OK",FALSE,30,30,30,TRUE,11
"EH42DA","OK",FALSE,25.5,19.9,30,TRUE,10
"EH42DB","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"EH42DB","No Data",NA,NA,NA,NA,TRUE,0
"EH42DD","OK",FALSE,30,20,30,TRUE,7
"EH42DE","OK",FALSE,30,30,30,TRUE,14
"EH42DF","OK",FALSE,30,30,30,TRUE,12
"EH42DG","OK",FALSE,25.9,20,30,TRUE,22
"EH42DL","OK",FALSE,17.7,19.4,21.7,FALSE,12
"EH42DN","No premises",NA,NA,NA,NA,FALSE,0
"EH42DP","OK",FALSE,22.2,20,30,TRUE,12
"EH42DR","OK",TRUE,14.2,15.3,20,TRUE,5
"EH42DS","OK",FALSE,22.9,20,30,TRUE,19
"EH42DT","OK",FALSE,30,20,30,TRUE,14
"EH42DU","OK",FALSE,25.1,20,30,TRUE,12
"EH42DX","OK",FALSE,27.6,30,30,TRUE,3
"EH42DY","OK",FALSE,24.1,20.2,30,TRUE,8
"EH42DZ","OK",FALSE,30,30,30,TRUE,16
"EH42EA","OK",FALSE,21.8,14,30,TRUE,7
"EH42EB","OK",FALSE,25.7,13.3,30,TRUE,12
"EH42ED","OK",FALSE,22.2,20,30,TRUE,9
"EH42EE","OK",FALSE,21.4,14.9,30,TRUE,11
"EH42EF","OK",FALSE,28.3,25,30,TRUE,11
"EH42EG","OK",TRUE,25.2,20,30,TRUE,18
"EH42EH","OK",TRUE,24.3,18,30,TRUE,32
"EH42EN","OK",FALSE,24,21.1,30,TRUE,3
"EH42EP","OK",FALSE,18.9,18.6,30,TRUE,12
"EH42EQ","OK",FALSE,19.6,20,30,TRUE,18
"EH42ER","OK",TRUE,9.1,8.1,19,TRUE,4
"EH42ES","OK",FALSE,30,22.3,30,TRUE,9
"EH42ET","OK",FALSE,16.6,17,21.6,TRUE,7
"EH42EU","OK",FALSE,21.6,20,30,TRUE,14
"EH42EW","Insufficient Data",NA,NA,NA,NA,TRUE,2
"EH42EX","OK",TRUE,17.8,19.4,30,TRUE,13
"EH42EY","OK",FALSE,30,20,30,TRUE,11
"EH42EZ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"EH42EZ","No Data",NA,NA,NA,NA,TRUE,0
"EH42GA","OK",FALSE,30,30,30,TRUE,39
"EH42GB","OK",FALSE,30,30,30,TRUE,58
"EH42GD","OK",TRUE,14,14.7,21,FALSE,6
"EH42GE","OK",FALSE,13.2,13.2,18,FALSE,14
"EH42GG","OK",FALSE,15.6,15.7,19.4,FALSE,25
"EH42GH","OK",FALSE,14.6,15.9,19.7,FALSE,20
"EH42GJ","OK",FALSE,15.6,16.1,22,FALSE,62
"EH42GL","OK",FALSE,11,9.3,18.6,FALSE,6
"EH42GN","OK",FALSE,15.2,15.5,19.9,FALSE,37
"EH42GP","OK",FALSE,15.3,15.8,20.2,FALSE,21
"EH42HA","OK",TRUE,29.6,25,30,TRUE,8
"EH42HB","OK",FALSE,17.5,18.6,20,TRUE,5
"EH42HD","OK",FALSE,17.5,17.5,22,TRUE,12
"EH42HE","OK",FALSE,21.1,19.9,30,TRUE,14
"EH42HF","OK",FALSE,19,20,20,TRUE,3
"EH42HH","OK",FALSE,30,30,30,TRUE,18
"EH42HJ","OK",FALSE,30,30,30,TRUE,21
"EH42HL","OK",TRUE,30,20.7,30,TRUE,21
"EH42HN","OK",FALSE,29.4,20,30,TRUE,39
"EH42HP","OK",FALSE,21.9,20,30,TRUE,26
"EH42HQ","OK",FALSE,24.8,19.6,30,TRUE,20
"EH42HR","OK",TRUE,20.1,17.8,30,TRUE,15
"EH42HS","OK",FALSE,19.5,17.6,24.4,TRUE,3
"EH42HU","OK",FALSE,21.6,21.6,22.2,FALSE,3
"EH42HW","OK",TRUE,29.1,30,30,TRUE,19
"EH42HX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EH42HX","No Data",NA,NA,NA,NA,FALSE,0
"EH42HY","OK",FALSE,20.8,20,30,TRUE,3
"EH42HZ","OK",FALSE,24.6,19.3,30,TRUE,7
"EH42JA","OK",FALSE,30,30,30,TRUE,8
"EH42JB","OK",FALSE,30,20,30,TRUE,32
"EH42JD","OK",FALSE,27.7,21.7,30,TRUE,7
"EH42JE","Insufficient Data",NA,NA,NA,NA,TRUE,2
"EH42JF","OK",FALSE,30,30,30,TRUE,7
"EH42JG","OK",FALSE,28.7,19.8,30,TRUE,9
"EH42JH","OK",FALSE,30,30,30,TRUE,7
"EH42JJ","OK",TRUE,28.1,20,30,TRUE,23
"EH42JL","OK",FALSE,30,21,30,TRUE,29
"EH42JN","OK",TRUE,26.6,20,30,TRUE,34
"EH42JP","OK",FALSE,19.6,20,30,TRUE,13
"EH42JQ","OK",FALSE,27.2,18.8,30,TRUE,5
"EH42JR","OK",FALSE,30,30,30,TRUE,4
"EH42JS","OK",FALSE,17.5,16.2,30,TRUE,12
"EH42JT","OK",FALSE,21.2,16.9,30,TRUE,8
"EH42JU","OK",FALSE,19.4,20,30,TRUE,5
"EH42JW","OK",FALSE,24.8,20,30,TRUE,23
"EH42JX","OK",FALSE,30,30,30,TRUE,5
"EH42JY","OK",FALSE,15.2,15.3,20,TRUE,7
"EH42JZ","OK",FALSE,18.6,18.3,30,TRUE,5
"EH42LA","OK",FALSE,27.7,20,30,TRUE,9
"EH42LD","No premises",NA,NA,NA,NA,FALSE,0
"EH42LF","No premises",NA,NA,NA,NA,TRUE,0
"EH42LL","OK",FALSE,30,30,30,TRUE,25
"EH42LN","OK",TRUE,4.4,4.4,7.8,TRUE,5
"EH42LP","OK",FALSE,30,30,30,TRUE,3
"EH42LQ","OK",FALSE,13.1,10.7,30,TRUE,11
"EH42LR","OK",FALSE,29.1,25,30,TRUE,4
"EH42LS","OK",FALSE,23,20,30,TRUE,12
"EH42LT","OK",FALSE,25.6,20,30,TRUE,5
"EH42LU","OK",FALSE,30,25,30,TRUE,8
"EH42LX","OK",FALSE,30,20,30,TRUE,6
"EH42LY","OK",FALSE,30,30,30,TRUE,4
"EH42LZ","OK",FALSE,19.5,20,30,TRUE,9
"EH42NA","OK",FALSE,30,30,30,TRUE,30
"EH42NB","OK",TRUE,27.9,25,30,TRUE,18
"EH42ND","OK",FALSE,25.7,19.3,30,TRUE,24
"EH42NE","OK",FALSE,12,10.4,16.2,TRUE,3
"EH42NF","OK",FALSE,23.2,17.3,30,TRUE,23
"EH42NG","OK",FALSE,25.5,20,30,TRUE,5
"EH42NH","OK",FALSE,26.4,20,30,TRUE,30
"EH42NJ","OK",FALSE,23.1,17,30,TRUE,15
"EH42NL","OK",FALSE,30,20,30,TRUE,8
"EH42NN","OK",FALSE,30,20,30,TRUE,31
"EH42NQ","OK",FALSE,25.2,20,30,TRUE,26
"EH42NR","OK",TRUE,23.5,20,30,TRUE,41
"EH42NT","Insufficient Data",NA,NA,NA,NA,TRUE,2
"EH42NW","OK",FALSE,29.3,20,30,TRUE,28
"EH42NX","OK",FALSE,30,30,30,TRUE,8
