"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"EH75AA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EH75AA","No Data",NA,NA,NA,NA,FALSE,0
"EH75AB","OK",FALSE,30,20,30,TRUE,18
"EH75AG","OK",FALSE,16.9,15.3,30,TRUE,15
"EH75AH","OK",TRUE,19.2,13.2,30,TRUE,31
"EH75AJ","OK",FALSE,20.8,14.3,30,TRUE,52
"EH75AL","OK",FALSE,18.2,16.7,30,TRUE,16
"EH75AN","Insufficient Data",NA,NA,NA,NA,TRUE,2
"EH75AP","OK",FALSE,30,30,30,TRUE,18
"EH75AQ","No premises",NA,NA,NA,NA,TRUE,0
"EH75AR","OK",FALSE,24.8,20,30,TRUE,52
"EH75AS","OK",FALSE,25.6,20,30,TRUE,21
"EH75AT","No Data",NA,NA,NA,NA,TRUE,0
"EH75AU","OK",FALSE,24.4,20,30,TRUE,18
"EH75AW","OK",FALSE,30,30,30,TRUE,21
"EH75AX","OK",FALSE,23.8,20,30,TRUE,21
"EH75AY","Insufficient Data",NA,NA,NA,NA,TRUE,1
"EH75AZ","OK",FALSE,28.7,25,30,TRUE,10
"EH75BA","OK",FALSE,30,20,30,TRUE,16
"EH75BD","No premises",NA,NA,NA,NA,FALSE,0
"EH75BE","OK",FALSE,28.9,20,30,TRUE,11
"EH75BG","OK",FALSE,27.7,22.7,30,TRUE,12
"EH75BL","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"EH75BL","No Data",NA,NA,NA,NA,TRUE,0
"EH75BN","OK",TRUE,20.8,12.2,30,TRUE,22
"EH75BQ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"EH75BQ","No Data",NA,NA,NA,NA,TRUE,0
"EH75BS","OK",FALSE,19.8,12.2,30,TRUE,27
"EH75BW","No premises",NA,NA,NA,NA,FALSE,0
"EH75BY","OK",FALSE,30,20,30,TRUE,8
"EH75BZ","OK",FALSE,10.7,11.6,13.3,TRUE,4
"EH75DA","OK",FALSE,10.8,9.7,21,TRUE,10
"EH75DB","OK",FALSE,16.7,16.2,20,TRUE,4
"EH75DD","OK",FALSE,9.4,9.1,18.3,TRUE,39
"EH75DJ","OK",FALSE,30,20,30,TRUE,18
"EH75DL","OK",FALSE,30,20,30,TRUE,30
"EH75DN","OK",TRUE,26.3,20,30,TRUE,41
"EH75DP","OK",FALSE,27.8,20,30,TRUE,13
"EH75DR","OK",FALSE,24.8,20,30,TRUE,22
"EH75DW","OK",FALSE,30,30,30,TRUE,26
"EH75DX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EH75DX","No Data",NA,NA,NA,NA,FALSE,0
"EH75DY","OK",FALSE,18.6,20,30,TRUE,17
"EH75EA","OK",FALSE,10.4,7.8,18.9,TRUE,4
