"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"EN69AB","No premises",NA,NA,NA,NA,FALSE,0
"EN69AD","No premises",NA,NA,NA,NA,FALSE,0
"EN69AF","No premises",NA,NA,NA,NA,FALSE,0
"EN69AJ","No premises",NA,NA,NA,NA,FALSE,0
"EN69AQ","No premises",NA,NA,NA,NA,FALSE,0
"EN69AR","No premises",NA,NA,NA,NA,FALSE,0
"EN69AS","No premises",NA,NA,NA,NA,FALSE,0
"EN69AX","No premises",NA,NA,NA,NA,FALSE,0
"EN69AY","No premises",NA,NA,NA,NA,FALSE,0
"EN69BB","No premises",NA,NA,NA,NA,FALSE,0
"EN69BG","No premises",NA,NA,NA,NA,FALSE,0
"EN69BJ","No premises",NA,NA,NA,NA,FALSE,0
"EN69BW","No premises",NA,NA,NA,NA,FALSE,0
"EN69DE","No premises",NA,NA,NA,NA,FALSE,0
"EN69DF","No premises",NA,NA,NA,NA,FALSE,0
"EN69DG","No premises",NA,NA,NA,NA,FALSE,0
"EN69DJ","No premises",NA,NA,NA,NA,FALSE,0
"EN69DN","No premises",NA,NA,NA,NA,FALSE,0
"EN69DP","No premises",NA,NA,NA,NA,FALSE,0
"EN69DQ","No premises",NA,NA,NA,NA,FALSE,0
"EN69DR","No premises",NA,NA,NA,NA,FALSE,0
"EN69DW","No premises",NA,NA,NA,NA,FALSE,0
"EN69DX","No premises",NA,NA,NA,NA,FALSE,0
"EN69DZ","No premises",NA,NA,NA,NA,FALSE,0
"EN69EB","No premises",NA,NA,NA,NA,FALSE,0
"EN69EE","No premises",NA,NA,NA,NA,FALSE,0
"EN69EH","No premises",NA,NA,NA,NA,FALSE,0
"EN69EQ","No premises",NA,NA,NA,NA,FALSE,0
"EN69ER","No premises",NA,NA,NA,NA,FALSE,0
"EN69ES","No premises",NA,NA,NA,NA,FALSE,0
"EN69EW","No premises",NA,NA,NA,NA,FALSE,0
"EN69EX","No premises",NA,NA,NA,NA,FALSE,0
"EN69EY","No premises",NA,NA,NA,NA,FALSE,0
"EN69EZ","No premises",NA,NA,NA,NA,FALSE,0
"EN69FA","No premises",NA,NA,NA,NA,FALSE,0
"EN69FB","No premises",NA,NA,NA,NA,FALSE,0
"EN69FD","No premises",NA,NA,NA,NA,FALSE,0
