"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"EX160AE","No premises",NA,NA,NA,NA,FALSE,0
"EX160AF","No premises",NA,NA,NA,NA,FALSE,0
"EX160AJ","No premises",NA,NA,NA,NA,FALSE,0
"EX160AL","No premises",NA,NA,NA,NA,FALSE,0
"EX160AQ","No premises",NA,NA,NA,NA,FALSE,0
"EX160AW","No premises",NA,NA,NA,NA,FALSE,0
"EX160BA","No premises",NA,NA,NA,NA,FALSE,0
"EX160BF","No premises",NA,NA,NA,NA,FALSE,0
"EX160BS","No premises",NA,NA,NA,NA,FALSE,0
"EX160BT","No premises",NA,NA,NA,NA,FALSE,0
"EX160BU","No premises",NA,NA,NA,NA,FALSE,0
"EX160BX","No premises",NA,NA,NA,NA,FALSE,0
"EX160EB","No premises",NA,NA,NA,NA,FALSE,0
"EX160EF","No premises",NA,NA,NA,NA,FALSE,0
"EX160EG","No premises",NA,NA,NA,NA,FALSE,0
"EX160EH","No premises",NA,NA,NA,NA,FALSE,0
"EX160EL","No premises",NA,NA,NA,NA,FALSE,0
"EX160EP","No premises",NA,NA,NA,NA,FALSE,0
"EX160EQ","No premises",NA,NA,NA,NA,FALSE,0
"EX160ET","No premises",NA,NA,NA,NA,FALSE,0
"EX160EU","No premises",NA,NA,NA,NA,FALSE,0
"EX160EW","No premises",NA,NA,NA,NA,FALSE,0
"EX160EX","No premises",NA,NA,NA,NA,FALSE,0
"EX160EY","No premises",NA,NA,NA,NA,FALSE,0
"EX160SA","No premises",NA,NA,NA,NA,FALSE,0
"EX160SB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX160SD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX160SE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX160SF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX160SG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX160SH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX160SJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX160SL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX160SN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX160SP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX160SQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX160SR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX160SS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX160ST","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX160SU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX160SW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX160SX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX160SY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX160SZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX160TA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX160TB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX160TD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX160TE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX160TF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX164AA","OK",FALSE,11.3,10.2,17.2,FALSE,13
"EX164AB","OK",TRUE,9.1,9.9,15.6,FALSE,23
"EX164AD","OK",FALSE,13.1,13.4,16.9,FALSE,19
"EX164AE","OK",FALSE,9.8,9.6,15.6,FALSE,11
"EX164AF","OK",FALSE,12.5,12.6,18.9,FALSE,24
"EX164AG","OK",FALSE,11.2,14.3,16.6,FALSE,5
"EX164AH","OK",FALSE,13.5,13.9,17.9,FALSE,6
"EX164AJ","OK",FALSE,12.5,14.1,16.4,FALSE,7
"EX164AL","OK",FALSE,11,11.8,16.5,FALSE,12
"EX164AN","OK",FALSE,14.6,15.9,17.7,FALSE,4
"EX164AP","OK",TRUE,8.5,6.4,16.9,FALSE,7
