"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"FK78AA","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"FK78AB","OK",FALSE,15.4,12,30,TRUE,12
"FK78AD","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"FK78AE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"FK78AF","No Data",NA,NA,NA,NA,FALSE,0
"FK78AG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"FK78AH","No premises",NA,NA,NA,NA,TRUE,0
"FK78AJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"FK78AL","OK",TRUE,4.7,4.7,7.8,TRUE,3
"FK78AN","OK",FALSE,6.4,6.4,8.2,TRUE,4
"FK78AP","OK",TRUE,4,3.7,6.1,TRUE,12
"FK78AQ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"FK78AR","OK",TRUE,3.2,3.9,4.3,TRUE,3
"FK78AS","OK",TRUE,0.8,0.6,1.4,TRUE,7
"FK78AT","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"FK78AW","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"FK78AX","No premises",NA,NA,NA,NA,TRUE,0
"FK78AY","OK",TRUE,3,3.2,4.1,TRUE,10
"FK78AZ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"FK78BA","Insufficient Data",NA,NA,NA,NA,TRUE,2
"FK78BB","OK",TRUE,7.4,2.8,30,TRUE,8
"FK78BD","Insufficient Data",NA,NA,NA,NA,TRUE,2
"FK78BE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"FK78BG","OK",TRUE,4.6,2.4,17,TRUE,6
"FK78BH","OK",TRUE,2.4,2.7,3.7,TRUE,11
"FK78BJ","OK",TRUE,1.5,1.5,2.1,TRUE,4
"FK78BL","No Data",NA,NA,NA,NA,FALSE,0
"FK78BN","OK",TRUE,6.7,2.3,30,TRUE,19
"FK78BP","OK",TRUE,2,1.8,3.7,TRUE,6
"FK78BQ","No premises",NA,NA,NA,NA,TRUE,0
"FK78BS","OK",TRUE,2.6,2.7,4,TRUE,9
"FK78BT","OK",TRUE,2,2.3,2.9,TRUE,4
"FK78BU","OK",TRUE,8.7,3,30,TRUE,6
"FK78BW","OK",TRUE,7.5,3.5,30,TRUE,25
"FK78BX","OK",TRUE,10.9,1.5,30,TRUE,9
"FK78BY","OK",TRUE,7.2,3.3,30,TRUE,20
"FK78BZ","OK",TRUE,8.1,3.7,30,TRUE,15
"FK78DA","OK",TRUE,15.2,4.7,30,TRUE,3
"FK78DB","Insufficient Data",NA,NA,NA,NA,TRUE,1
"FK78DD","OK",FALSE,3.9,3.8,4.3,TRUE,4
"FK78DE","OK",TRUE,8.2,3.1,30,TRUE,27
"FK78DF","OK",TRUE,14,2.6,30,TRUE,26
"FK78DG","OK",TRUE,5.7,1.1,30,TRUE,8
"FK78DH","OK",TRUE,1,1,1.2,TRUE,4
"FK78DJ","OK",TRUE,5.1,2.1,30,TRUE,24
"FK78DL","OK",TRUE,7.9,3,30,TRUE,11
"FK78DN","OK",TRUE,21.7,3.8,30,TRUE,8
"FK78DP","OK",TRUE,2.7,3.1,4.1,TRUE,16
"FK78DQ","OK",TRUE,10.2,2.8,30,TRUE,28
"FK78DR","OK",TRUE,5.1,2.2,30,TRUE,12
"FK78DS","OK",TRUE,9.9,1.6,30,TRUE,16
"FK78DT","OK",TRUE,1.7,1.6,3.1,TRUE,13
"FK78DU","OK",TRUE,2.4,2.4,3.8,TRUE,5
"FK78DW","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"FK78DX","OK",TRUE,4.3,2.4,30,TRUE,20
"FK78DY","OK",FALSE,4,4.2,4.8,TRUE,6
"FK78DZ","OK",TRUE,3.3,3.4,5,TRUE,5
"FK78EA","OK",TRUE,1.6,1,3.6,TRUE,16
"FK78EB","OK",TRUE,7.8,0.9,30,TRUE,7
"FK78ED","OK",TRUE,2.1,1.3,4,TRUE,6
