"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"G202AJ","No premises",NA,NA,NA,NA,FALSE,0
"G202AQ","No premises",NA,NA,NA,NA,FALSE,0
"G202AT","No premises",NA,NA,NA,NA,FALSE,0
"G202AZ","No premises",NA,NA,NA,NA,FALSE,0
"G202BA","No premises",NA,NA,NA,NA,FALSE,0
"G202BD","No premises",NA,NA,NA,NA,FALSE,0
"G202BQ","No premises",NA,NA,NA,NA,FALSE,0
"G202BS","No premises",NA,NA,NA,NA,FALSE,0
"G202BT","No premises",NA,NA,NA,NA,FALSE,0
"G202BU","No premises",NA,NA,NA,NA,FALSE,0
"G202BW","No premises",NA,NA,NA,NA,FALSE,0
