"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"G29TA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"G29TB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"G29TD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"G29TE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"G29TF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"G29TG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"G29TH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"G29TJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"G29TL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"G29TN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"G29TP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"G29TQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"G29TR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"G29TS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"G29TT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"G29TU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"G29TW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"G29TX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"G29TY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"G29TZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
