"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"G313AA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"G313AD","OK",FALSE,9,7.9,20,TRUE,25
"G313AG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"G313AH","OK",TRUE,25.2,20,30,TRUE,13
"G313AL","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"G313AN","Insufficient Data",NA,NA,NA,NA,FALSE,2
"G313AQ","OK",FALSE,28.5,20,30,TRUE,18
"G313AR","No premises",NA,NA,NA,NA,FALSE,0
"G313AU","OK",FALSE,8.6,8,12,FALSE,6
"G313AW","No Data",NA,NA,NA,NA,FALSE,0
"G313AY","OK",TRUE,10.5,11.4,17.4,FALSE,35
"G313BE","No premises",NA,NA,NA,NA,FALSE,0
"G313BP","OK",FALSE,15,13.1,30,TRUE,5
"G313BQ","OK",FALSE,27.8,25,30,TRUE,20
"G313BS","OK",FALSE,24.6,20,30,TRUE,15
"G313BT","OK",FALSE,8.5,7.7,20,TRUE,24
"G313BU","OK",FALSE,7.5,7.2,10.3,TRUE,15
"G313BX","OK",TRUE,17.5,7.1,30,TRUE,29
"G313BY","OK",FALSE,30,30,30,TRUE,6
"G313BZ","OK",FALSE,30,25,30,TRUE,12
"G313DA","OK",FALSE,20.3,13.7,30,TRUE,17
"G313DB","OK",TRUE,24.6,9,30,TRUE,39
"G313DH","OK",FALSE,5.6,5.6,7.6,FALSE,5
"G313DJ","OK",FALSE,21.1,6.6,30,TRUE,13
"G313DL","OK",TRUE,26.9,20,30,TRUE,23
"G313DN","OK",FALSE,30,20,30,TRUE,17
"G313DP","OK",FALSE,14.2,7.1,30,TRUE,11
"G313DQ","OK",FALSE,30,30,30,TRUE,4
"G313DR","OK",FALSE,23.2,20,30,TRUE,21
"G313DS","OK",FALSE,30,30,30,TRUE,24
"G313DT","OK",FALSE,13.6,13.7,20,TRUE,4
"G313DU","OK",FALSE,19.7,10,30,TRUE,7
"G313DX","OK",FALSE,30,30,30,TRUE,22
"G313DY","OK",FALSE,30,20,30,TRUE,20
"G313EA","OK",FALSE,27.9,20,30,TRUE,15
"G313EB","OK",TRUE,30,30,30,TRUE,20
"G313EE","OK",FALSE,30,30,30,TRUE,4
"G313EG","OK",TRUE,18.6,8.2,30,TRUE,24
"G313EL","OK",TRUE,6.4,7,8.2,FALSE,7
"G313EN","No premises",NA,NA,NA,NA,FALSE,0
"G313EP","OK",TRUE,29,20,30,TRUE,15
"G313ER","OK",TRUE,5.9,6.6,8.8,FALSE,4
"G313ES","OK",TRUE,21.8,15.8,30,TRUE,6
"G313ET","OK",FALSE,19.8,20,30,TRUE,17
"G313EU","OK",FALSE,30,21.1,30,TRUE,9
"G313EW","OK",FALSE,21.7,20,30,TRUE,22
"G313EX","OK",FALSE,29.1,20,30,TRUE,14
"G313EY","OK",FALSE,22.3,11,30,TRUE,14
"G313EZ","OK",FALSE,23.3,16.1,30,TRUE,18
"G313HA","OK",TRUE,24.7,20,30,TRUE,20
"G313HB","OK",TRUE,30,30,30,TRUE,19
"G313HG","OK",FALSE,30,30,30,TRUE,12
"G313HJ","OK",FALSE,21.8,25,30,TRUE,8
"G313HT","OK",FALSE,30,30,30,TRUE,5
"G313HU","OK",FALSE,30,30,30,TRUE,15
"G313HX","OK",FALSE,25.2,20,30,TRUE,6
"G313HZ","OK",FALSE,30,30,30,TRUE,7
"G313JA","OK",FALSE,4.1,3.9,6.1,TRUE,5
"G313JB","OK",TRUE,19.4,20,30,TRUE,18
"G313JE","OK",FALSE,27.4,20,30,TRUE,13
"G313JG","OK",TRUE,25.6,30,30,TRUE,19
"G313JH","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"G313JJ","OK",FALSE,25.9,30,30,TRUE,7
"G313JN","OK",FALSE,21.9,30,30,TRUE,10
"G313JW","OK",FALSE,30,25,30,TRUE,16
"G313LH","OK",TRUE,4.9,4.8,14.7,TRUE,18
"G313LJ","OK",TRUE,22.6,5.1,30,TRUE,22
"G313LL","OK",TRUE,8.9,5.7,30,TRUE,19
"G313LN","OK",FALSE,17.9,6.5,30,TRUE,10
"G313LP","OK",FALSE,5.3,5.2,7.1,TRUE,8
"G313LQ","OK",TRUE,16.3,5.5,30,TRUE,19
"G313LS","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"G313LW","OK",TRUE,15,5.9,30,TRUE,27
"G313LY","OK",TRUE,14.8,5,30,TRUE,20
"G313LZ","OK",FALSE,12.9,5,30,TRUE,23
"G313NA","OK",TRUE,5.4,5.7,8.1,TRUE,8
"G313NB","OK",FALSE,9.9,5.8,30,TRUE,18
"G313ND","OK",FALSE,16.3,6.6,30,TRUE,15
"G313NE","OK",FALSE,14.3,6.5,30,TRUE,12
"G313NF","OK",FALSE,14,5.9,30,TRUE,17
"G313NH","OK",FALSE,6.4,6.9,7.8,TRUE,13
"G313NJ","OK",TRUE,5.9,6.2,8.4,TRUE,21
"G313NL","OK",TRUE,13.5,4.5,30,TRUE,29
"G313NN","OK",TRUE,2.8,2.8,4.2,TRUE,6
"G313NP","OK",FALSE,17.1,5.5,30,TRUE,11
"G313NQ","OK",FALSE,17.9,5.1,30,TRUE,11
"G313NR","OK",TRUE,10.5,5,30,TRUE,15
"G313NS","OK",FALSE,13.5,5.8,30,TRUE,14
"G313NT","OK",FALSE,12,6.3,30,TRUE,11
"G313NW","OK",TRUE,14.3,4.9,30,TRUE,18
