"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"GU50AA","OK",FALSE,11.7,12.1,17.1,FALSE,18
"GU50AB","OK",FALSE,10.4,9.7,16.9,FALSE,7
"GU50AD","OK",TRUE,11.6,12.7,19.6,FALSE,4
"GU50AE","OK",FALSE,13.4,14.1,16.7,FALSE,9
"GU50AG","Insufficient Data",NA,NA,NA,NA,FALSE,2
"GU50AH","No premises",NA,NA,NA,NA,FALSE,0
"GU50AJ","No premises",NA,NA,NA,NA,FALSE,0
"GU50AL","OK",FALSE,12.1,12.5,21.9,FALSE,30
"GU50AN","OK",FALSE,14.3,16,19.1,FALSE,6
"GU50AP","OK",TRUE,12.3,13.8,22.5,FALSE,9
"GU50AQ","OK",FALSE,15.6,17.1,20.8,FALSE,13
"GU50AR","OK",FALSE,14.2,14.3,20.7,FALSE,3
"GU50AS","OK",FALSE,17.6,19.3,22.8,FALSE,11
"GU50AT","OK",FALSE,16.9,17.9,23,FALSE,17
"GU50AU","OK",FALSE,15.4,18.3,23,FALSE,6
"GU50AW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"GU50AW","No Data",NA,NA,NA,NA,FALSE,0
"GU50AX","OK",FALSE,15.9,20.6,22.3,FALSE,5
"GU50AY","OK",TRUE,18.3,22.6,23.9,FALSE,17
"GU50AZ","OK",FALSE,19.3,19.9,21.3,FALSE,7
"GU50BA","OK",FALSE,19.4,21.9,23.1,FALSE,11
"GU50BB","OK",TRUE,14,16.3,22.4,FALSE,29
"GU50BD","OK",FALSE,18.6,19.9,21.5,FALSE,7
"GU50BJ","OK",FALSE,8.4,8.6,9.2,FALSE,5
"GU50BN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"GU50BN","No Data",NA,NA,NA,NA,FALSE,0
"GU50BP","OK",FALSE,11.3,10.7,14.6,FALSE,4
"GU50BS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"GU50BS","No Data",NA,NA,NA,NA,FALSE,0
"GU50BT","OK",FALSE,6.5,7.1,10,FALSE,9
"GU50BU","OK",FALSE,8.2,6.5,17.7,FALSE,9
"GU50BW","OK",TRUE,7.1,3.2,22,TRUE,7
"GU50BX","OK",TRUE,10.4,9.2,18.5,FALSE,30
"GU50BY","OK",FALSE,8.4,8.5,10,FALSE,4
"GU50BZ","OK",FALSE,7.5,8.1,10.9,FALSE,6
"GU50DA","OK",FALSE,7.4,7.2,12.5,FALSE,8
"GU50DB","OK",TRUE,10.6,9.7,20.1,FALSE,32
"GU50DD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"GU50DD","No Data",NA,NA,NA,NA,FALSE,0
"GU50DF","No premises",NA,NA,NA,NA,FALSE,0
"GU50DH","OK",FALSE,20.8,21.4,23.9,FALSE,8
"GU50DP","OK",FALSE,18.8,21.7,23.5,FALSE,12
"GU50DR","OK",FALSE,8.1,7.1,14.5,TRUE,12
"GU50DS","OK",FALSE,20.5,20.8,23.5,FALSE,23
"GU50DT","OK",FALSE,18.4,21.9,23.1,FALSE,5
"GU50DU","OK",FALSE,16.8,18.7,22.9,FALSE,25
"GU50DX","OK",FALSE,17,19.4,23.4,FALSE,30
"GU50DY","OK",FALSE,16.7,18.7,23.5,FALSE,32
"GU50EA","OK",FALSE,18.1,21.2,24.4,FALSE,23
"GU50EB","OK",TRUE,14.9,16,22.9,FALSE,17
"GU50ED","OK",FALSE,17.7,21.4,23.4,FALSE,9
"GU50EE","OK",FALSE,14.7,15.5,21.9,FALSE,34
"GU50EF","OK",TRUE,16,17.2,24.4,FALSE,30
"GU50EG","OK",FALSE,13,14.3,19.8,FALSE,30
"GU50EH","OK",FALSE,17.3,19.3,23.4,FALSE,16
"GU50EJ","OK",TRUE,17.1,19.8,22.5,FALSE,13
"GU50EL","OK",FALSE,20.5,21,23.2,FALSE,7
"GU50EP","Insufficient Data",NA,NA,NA,NA,FALSE,2
"GU50EQ","OK",FALSE,12.8,14.5,20.4,FALSE,24
"GU50ER","OK",TRUE,15.5,17.5,22.2,FALSE,12
"GU50ES","OK",FALSE,15.8,16.3,20.9,FALSE,17
"GU50ET","OK",FALSE,15.6,17.2,21.5,FALSE,6
"GU50HA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"GU50HA","No Data",NA,NA,NA,NA,FALSE,0
"GU50HB","OK",FALSE,14.8,17.1,22,FALSE,17
"GU50HD","Insufficient Data",NA,NA,NA,NA,FALSE,2
"GU50HE","OK",FALSE,17.8,20.1,23.4,FALSE,7
"GU50HF","OK",TRUE,16.4,19.6,24.4,FALSE,7
"GU50HG","Insufficient Data",NA,NA,NA,NA,FALSE,2
"GU50HH","OK",FALSE,11.7,13.7,17.1,FALSE,11
"GU50HL","OK",FALSE,13.3,15,17.6,FALSE,4
"GU50HN","OK",FALSE,14,13.2,17.6,FALSE,8
"GU50HP","OK",FALSE,16.3,17.5,22,FALSE,4
"GU50HR","OK",FALSE,12,12.2,15.4,FALSE,4
"GU50HS","OK",FALSE,14.6,16,19.4,FALSE,13
"GU50HT","OK",FALSE,12.6,14.3,18.1,FALSE,17
"GU50HU","OK",FALSE,13.6,14.6,17.4,FALSE,17
"GU50HW","OK",FALSE,14.3,14.8,21.9,FALSE,13
"GU50HX","OK",FALSE,13.4,13.3,18.9,FALSE,4
"GU50HY","Insufficient Data",NA,NA,NA,NA,FALSE,2
"GU50HZ","OK",TRUE,10.1,9.2,19.7,FALSE,31
"GU50JA","OK",FALSE,11,11.1,21.2,FALSE,23
"GU50JB","OK",FALSE,9.3,9,14.8,FALSE,20
"GU50JD","OK",FALSE,9.8,10.6,15.2,FALSE,23
"GU50JE","OK",FALSE,7.4,7.8,10.1,FALSE,16
"GU50JF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"GU50JF","No Data",NA,NA,NA,NA,FALSE,0
"GU50JG","OK",FALSE,8.4,8.6,14.3,FALSE,15
"GU50JH","OK",FALSE,11.1,11.2,13.8,FALSE,4
"GU50JJ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"GU50JL","OK",FALSE,13.6,14.5,18,FALSE,3
"GU50JP","OK",FALSE,14.1,14.5,20.1,FALSE,18
"GU50JQ","OK",FALSE,9,8.1,15.9,FALSE,31
"GU50JR","OK",FALSE,15.6,16.5,21.8,FALSE,20
"GU50JS","OK",FALSE,7.1,4.5,13,FALSE,3
"GU50JU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"GU50JU","No Data",NA,NA,NA,NA,FALSE,0
"GU50JY","OK",FALSE,12.8,13.8,17.9,FALSE,7
"GU50JZ","OK",FALSE,14.5,15.9,21.3,FALSE,7
"GU50LA","OK",TRUE,7.8,8.1,16.6,FALSE,12
"GU50LB","No premises",NA,NA,NA,NA,FALSE,0
"GU50LD","Insufficient Data",NA,NA,NA,NA,FALSE,1
"GU50LE","OK",FALSE,6.8,6.6,9.8,FALSE,8
"GU50LF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"GU50LF","No Data",NA,NA,NA,NA,FALSE,0
"GU50LG","OK",TRUE,3.4,3.7,5.6,FALSE,5
"GU50LH","OK",TRUE,3.3,3.8,5.6,FALSE,17
"GU50LJ","OK",TRUE,3.5,2.8,6.7,FALSE,5
"GU50LL","OK",TRUE,3.3,1.9,20.9,TRUE,15
"GU50LN","OK",TRUE,2.1,1.9,4,TRUE,6
"GU50LP","OK",TRUE,2.4,2.6,3,FALSE,4
"GU50LQ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"GU50LR","OK",TRUE,2.8,2.3,6.8,FALSE,16
"GU50LS","OK",TRUE,1.4,1.4,2.1,FALSE,8
"GU50LT","OK",TRUE,4.8,5.3,7.4,FALSE,12
"GU50LU","OK",FALSE,5.5,5.1,8.1,FALSE,8
"GU50LW","OK",TRUE,2.8,3,4.1,TRUE,5
"GU50LX","OK",FALSE,5.7,5,9.1,FALSE,4
"GU50LY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"GU50LY","No Data",NA,NA,NA,NA,FALSE,0
"GU50LZ","OK",FALSE,6.1,5.7,9.2,FALSE,5
"GU50NA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"GU50NA","No Data",NA,NA,NA,NA,FALSE,0
"GU50NB","OK",FALSE,6,6.5,7.8,FALSE,7
"GU50ND","OK",TRUE,6.3,6.3,15.7,FALSE,13
"GU50NF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
