"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"HA96AA","OK",FALSE,13.3,14.6,19.7,TRUE,17
"HA96AG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"HA96AH","OK",FALSE,16,19,23.2,TRUE,18
"HA96AL","No Data",NA,NA,NA,NA,FALSE,0
"HA96AP","No premises",NA,NA,NA,NA,FALSE,0
"HA96AQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"HA96AR","Insufficient Data",NA,NA,NA,NA,TRUE,2
"HA96AS","Insufficient Data",NA,NA,NA,NA,FALSE,1
"HA96AT","No premises",NA,NA,NA,NA,FALSE,0
"HA96AX","No premises",NA,NA,NA,NA,TRUE,0
"HA96AY","No premises",NA,NA,NA,NA,FALSE,0
"HA96AZ","OK",TRUE,13.8,13.8,23.4,FALSE,9
"HA96BA","OK",FALSE,11.4,12.5,21.7,TRUE,13
"HA96BB","No premises",NA,NA,NA,NA,FALSE,0
"HA96BD","OK",FALSE,14.7,15.3,21.3,FALSE,23
"HA96BE","OK",TRUE,13.6,15.5,22.2,FALSE,29
"HA96BG","OK",FALSE,13.1,13.2,17.7,FALSE,23
"HA96BH","OK",FALSE,16.7,17.6,20.7,TRUE,11
"HA96BJ","OK",FALSE,14.3,16.3,18.8,FALSE,9
"HA96BN","OK",FALSE,11,10.2,19,FALSE,28
"HA96BQ","OK",FALSE,12.8,13.8,18.3,FALSE,24
"HA96BS","No premises",NA,NA,NA,NA,FALSE,0
"HA96BW","OK",TRUE,11.6,12.6,19.2,FALSE,32
"HA96BX","No premises",NA,NA,NA,NA,FALSE,0
"HA96BY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"HA96BZ","No premises",NA,NA,NA,NA,FALSE,0
"HA96DE","OK",TRUE,7.3,7.2,13.1,FALSE,27
"HA96DF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"HA96DG","OK",FALSE,9.4,6.1,23.7,TRUE,10
