"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"HD22AA","OK",TRUE,15.2,8.2,30,TRUE,5
"HD22AB","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"HD22AB","No Data",NA,NA,NA,NA,TRUE,0
"HD22AD","OK",FALSE,26,30,30,TRUE,8
"HD22AE","OK",FALSE,22.6,20,30,TRUE,7
"HD22AF","OK",FALSE,30,20,30,TRUE,8
"HD22AG","OK",FALSE,22.7,20,30,TRUE,8
"HD22AH","OK",TRUE,3.5,3.6,5.3,FALSE,15
"HD22AJ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"HD22AL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"HD22AL","No Data",NA,NA,NA,NA,FALSE,0
"HD22AN","OK",TRUE,4.1,4.6,6.5,FALSE,14
"HD22AP","OK",TRUE,2.2,1.6,3.7,FALSE,3
"HD22AQ","OK",FALSE,22.8,20,30,TRUE,12
"HD22AR","OK",FALSE,6.4,6.7,10.3,FALSE,21
"HD22AS","OK",TRUE,30,30,30,TRUE,29
"HD22AT","OK",TRUE,2.7,2.4,4.4,TRUE,6
"HD22AU","OK",TRUE,30,30,30,TRUE,6
"HD22AX","OK",FALSE,22.2,30,30,TRUE,3
"HD22AY","OK",TRUE,21.2,20,30,TRUE,26
"HD22AZ","OK",FALSE,21.2,14.4,30,TRUE,10
"HD22BA","OK",FALSE,19.7,20,30,TRUE,8
"HD22BB","OK",TRUE,3.4,3.3,6,TRUE,4
"HD22BD","OK",FALSE,26.7,8.2,30,TRUE,12
"HD22BE","OK",FALSE,19.4,20,30,TRUE,12
"HD22BF","OK",TRUE,5.7,6,9.7,FALSE,33
"HD22BG","OK",TRUE,20.6,6.6,30,TRUE,6
"HD22BH","OK",TRUE,11.8,13,20,TRUE,4
"HD22BJ","OK",TRUE,16.7,20,30,TRUE,42
"HD22BL","OK",TRUE,21.4,20,30,TRUE,10
"HD22BN","OK",TRUE,25.5,13,30,TRUE,6
"HD22BP","OK",FALSE,5.8,5.4,8.1,FALSE,7
"HD22BQ","OK",TRUE,17.9,6.3,30,TRUE,6
"HD22BR","OK",FALSE,4.6,4.4,6.2,FALSE,4
"HD22BS","OK",FALSE,4.7,5,6.6,FALSE,4
"HD22BT","OK",TRUE,3.4,3.7,5.2,FALSE,4
"HD22BU","OK",FALSE,5,5,6.4,FALSE,8
"HD22BX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"HD22BX","No Data",NA,NA,NA,NA,FALSE,0
"HD22BY","OK",TRUE,3.2,3.1,5.2,FALSE,14
