"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"HG31AA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"HG31AB","OK",FALSE,8.1,8.1,8.1,FALSE,3
"HG31AD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"HG31AE","OK",FALSE,8,8.1,8.1,FALSE,5
"HG31AF","OK",TRUE,5.9,8,8.1,TRUE,8
"HG31AG","OK",TRUE,7,8.1,8.1,FALSE,17
"HG31AH","OK",FALSE,7.1,8,8.1,FALSE,25
"HG31AJ","OK",FALSE,5.9,6.3,8.1,FALSE,4
"HG31AL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"HG31AN","OK",TRUE,5.3,7.4,8.1,FALSE,6
"HG31AP","OK",FALSE,6.3,8.1,8.1,FALSE,25
"HG31AQ","OK",FALSE,6.9,6.9,8.1,FALSE,3
"HG31AR","OK",FALSE,7,8.1,8.1,FALSE,7
"HG31AS","OK",FALSE,5.5,5.5,8.1,FALSE,4
"HG31AT","OK",FALSE,6.1,6.2,8.1,FALSE,7
"HG31AU","OK",FALSE,6.1,5.7,8,FALSE,3
"HG31AW","OK",FALSE,6.5,7.9,8.1,FALSE,4
"HG31AX","Insufficient Data",NA,NA,NA,NA,FALSE,1
"HG31AY","OK",FALSE,8.1,8.1,8.1,FALSE,4
"HG31AZ","OK",FALSE,6.6,8.1,8.1,FALSE,4
"HG31BA","OK",FALSE,7.3,7.4,8.1,FALSE,9
"HG31BB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"HG31BD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"HG31BE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"HG31BF","OK",FALSE,6.9,7.2,8.1,FALSE,5
"HG31BG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"HG31BH","OK",FALSE,6.9,8,8.1,FALSE,19
"HG31BL","OK",FALSE,6.8,8.1,8.1,FALSE,6
