"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"HR11AA","No premises",NA,NA,NA,NA,TRUE,0
"HR11AD","OK",TRUE,4.9,5.3,7.3,FALSE,70
"HR11AH","OK",TRUE,15.6,3.4,30,TRUE,27
"HR11AJ","OK",FALSE,3.6,3.9,4.1,TRUE,5
"HR11AL","OK",TRUE,13.8,3.2,30,TRUE,17
"HR11AN","OK",TRUE,12.3,2.8,30,TRUE,18
"HR11AP","OK",TRUE,13.7,3,30,TRUE,14
"HR11AQ","OK",FALSE,23.3,5.4,30,TRUE,4
"HR11AR","OK",TRUE,24.8,3.5,30,TRUE,8
"HR11AS","OK",FALSE,18.9,3.9,30,TRUE,5
"HR11AT","OK",TRUE,27.8,30,30,TRUE,23
"HR11AU","OK",TRUE,27.3,30,30,TRUE,7
"HR11AW","OK",TRUE,14.5,3.8,30,TRUE,13
"HR11AX","OK",TRUE,17.8,1.5,30,TRUE,20
"HR11AY","OK",TRUE,30,30,30,TRUE,11
"HR11AZ","OK",TRUE,10.4,1.3,30,TRUE,37
"HR11BB","OK",FALSE,7.3,7.3,8.3,FALSE,3
"HR11BE","OK",TRUE,6.5,5.9,10.8,TRUE,17
"HR11BG","OK",FALSE,6.7,7.5,18.3,TRUE,19
"HR11BH","OK",FALSE,7.1,5.2,30,TRUE,19
"HR11BJ","OK",TRUE,4.4,4.3,6.8,TRUE,9
"HR11BL","OK",TRUE,11.6,5.4,30,TRUE,22
"HR11BN","OK",FALSE,11.7,5.6,30,TRUE,15
"HR11BP","OK",FALSE,4.4,4.1,6.3,TRUE,16
"HR11BQ","OK",FALSE,16.6,5.6,30,TRUE,6
"HR11BT","OK",TRUE,15.5,3.1,30,TRUE,23
"HR11BU","OK",TRUE,20.7,3.8,30,TRUE,12
"HR11BW","OK",FALSE,11,6,30,TRUE,31
"HR11BX","OK",TRUE,24.8,4.1,30,TRUE,12
"HR11BY","OK",TRUE,19.2,4.3,30,TRUE,27
"HR11BZ","OK",TRUE,9.3,3.1,30,TRUE,18
"HR11DA","OK",TRUE,4.1,4,6.8,TRUE,7
"HR11DB","OK",TRUE,11.3,4.2,30,TRUE,35
"HR11DD","OK",TRUE,4.4,4.5,8.5,TRUE,9
"HR11DE","OK",TRUE,14.5,6.1,30,TRUE,17
"HR11DF","No premises",NA,NA,NA,NA,TRUE,0
"HR11DG","OK",FALSE,17,4.6,30,TRUE,5
"HR11DH","OK",FALSE,30,23,30,TRUE,6
"HR11DJ","OK",TRUE,10.2,5.4,30,TRUE,10
"HR11DL","OK",FALSE,28,30,30,TRUE,3
