"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"HX49AA","OK",FALSE,10.8,5.6,30,TRUE,15
"HX49AB","OK",FALSE,5.7,5.6,7.6,TRUE,8
"HX49AD","OK",FALSE,12.5,7,30,TRUE,6
"HX49AE","OK",TRUE,25.9,22.9,30,TRUE,14
"HX49AF","OK",TRUE,18,3.5,30,TRUE,6
"HX49AH","OK",FALSE,5.2,5,7.6,TRUE,5
"HX49AJ","OK",FALSE,13.7,6.4,30,TRUE,36
"HX49AL","OK",FALSE,13,5.8,30,TRUE,9
"HX49AN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"HX49AP","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"HX49AQ","OK",TRUE,5.4,5.8,8.3,TRUE,11
"HX49AR","OK",TRUE,4.5,4.8,6.2,TRUE,5
"HX49AS","OK",TRUE,12.8,5.4,30,TRUE,14
"HX49AT","OK",TRUE,4.1,5.7,6.6,TRUE,5
"HX49AU","OK",TRUE,4.8,5.2,6.1,TRUE,6
"HX49AW","OK",FALSE,8.8,6.6,30,TRUE,22
"HX49AX","OK",TRUE,4.5,4.5,7.6,TRUE,8
"HX49AY","OK",TRUE,6.8,5.8,30,TRUE,25
"HX49AZ","OK",FALSE,6.8,7.6,8,TRUE,4
"HX49BA","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"HX49BB","OK",TRUE,11.6,4.5,30,TRUE,6
"HX49BD","OK",FALSE,16.9,5.8,30,TRUE,3
"HX49BE","OK",FALSE,4.7,4.6,6.4,TRUE,6
"HX49BF","OK",TRUE,12.8,5.6,30,TRUE,11
"HX49BG","Insufficient Data",NA,NA,NA,NA,TRUE,2
"HX49BH","OK",TRUE,3.7,3.4,7.2,TRUE,6
"HX49BJ","Insufficient Data",NA,NA,NA,NA,TRUE,1
"HX49BL","OK",TRUE,15.4,7.7,30,TRUE,11
"HX49BQ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"HX49BR","OK",FALSE,5.9,6,6.8,TRUE,5
"HX49BS","OK",TRUE,20.8,6.8,30,TRUE,17
"HX49BT","OK",TRUE,10.2,5,30,TRUE,11
"HX49BU","OK",TRUE,4.5,5.2,6.8,TRUE,3
"HX49BW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"HX49BX","OK",FALSE,5.6,5.9,7.6,TRUE,8
"HX49BY","OK",TRUE,10.5,4.5,30,TRUE,6
"HX49BZ","OK",FALSE,3.5,3.5,4.6,TRUE,3
"HX49DA","OK",TRUE,14,4.5,30,TRUE,14
"HX49DB","Insufficient Data",NA,NA,NA,NA,TRUE,2
"HX49DE","OK",TRUE,8.6,5.2,30,TRUE,17
"HX49DF","OK",TRUE,5.2,3.8,17.5,TRUE,22
"HX49DG","OK",FALSE,3.5,3.5,4.7,TRUE,3
"HX49DH","OK",FALSE,11.9,4.1,30,TRUE,5
"HX49DN","OK",TRUE,8.9,6,30,TRUE,45
"HX49DP","OK",FALSE,13.6,5.9,30,TRUE,5
"HX49DQ","OK",TRUE,6.6,4,18.6,TRUE,5
"HX49DS","OK",FALSE,11.9,5.8,30,TRUE,12
"HX49DW","Insufficient Data",NA,NA,NA,NA,TRUE,2
"HX49DX","OK",TRUE,18.1,3.6,30,TRUE,5
"HX49DY","OK",TRUE,19,4.8,30,TRUE,12
"HX49DZ","OK",TRUE,15.5,5.1,30,TRUE,16
"HX49EA","OK",TRUE,8.9,5.3,30,TRUE,42
"HX49EB","OK",FALSE,26.8,5.1,30,TRUE,11
"HX49ED","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"HX49EE","OK",TRUE,24.6,4.4,30,TRUE,13
