"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"IG87AA","OK",FALSE,28.3,20,30,TRUE,26
"IG87AB","OK",TRUE,13.9,8.2,30,TRUE,21
"IG87AD","OK",TRUE,20,10,30,TRUE,41
"IG87AE","OK",FALSE,28.7,20,30,TRUE,18
"IG87AF","OK",FALSE,26.2,20,30,TRUE,19
"IG87AG","OK",FALSE,30,20,30,TRUE,17
"IG87AP","No premises",NA,NA,NA,NA,FALSE,0
"IG87AQ","OK",FALSE,21.5,10.7,30,TRUE,20
"IG87AX","OK",FALSE,17.5,10.2,30,TRUE,20
"IG87AY","OK",FALSE,27,20,30,TRUE,25
"IG87AZ","OK",FALSE,16.6,12.1,30,TRUE,19
"IG87BA","OK",TRUE,23.2,20,30,TRUE,27
"IG87BB","OK",TRUE,21.3,9.7,30,TRUE,50
"IG87BD","OK",TRUE,20.2,10.3,30,TRUE,52
"IG87BE","OK",TRUE,22.3,9.1,30,TRUE,53
"IG87BF","OK",FALSE,19.2,9.8,30,TRUE,3
"IG87BG","OK",TRUE,18.4,9.9,30,TRUE,51
"IG87BH","OK",TRUE,17.3,11.1,30,TRUE,23
"IG87BJ","OK",FALSE,15.4,11.2,30,TRUE,28
"IG87BL","OK",TRUE,18.2,11.7,30,TRUE,28
"IG87BN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"IG87BQ","OK",FALSE,24.5,10.3,30,TRUE,34
"IG87BT","OK",FALSE,26.8,18.9,30,TRUE,4
"IG87BX","OK",FALSE,17.1,14.6,30,TRUE,12
"IG87BY","OK",FALSE,30,20,30,TRUE,40
"IG87BZ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"IG87DA","OK",FALSE,22,17.6,30,TRUE,27
"IG87DB","OK",FALSE,25.2,17.6,30,TRUE,18
"IG87DD","OK",FALSE,30,30,30,TRUE,15
"IG87DE","OK",FALSE,19,17.1,30,TRUE,7
"IG87DF","OK",FALSE,26.6,30,30,TRUE,19
