"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"IP14AA","OK",TRUE,18.4,18.5,30,TRUE,16
"IP14AB","OK",FALSE,30,30,30,TRUE,8
"IP14AD","OK",TRUE,25.9,20,30,TRUE,32
"IP14AE","OK",FALSE,29.4,20,30,TRUE,5
"IP14AF","OK",FALSE,30,25,30,TRUE,18
"IP14AG","OK",FALSE,30,30,30,TRUE,9
"IP14AH","OK",FALSE,28.8,20,30,TRUE,20
"IP14AL","OK",FALSE,21.5,25,30,TRUE,4
"IP14AN","OK",FALSE,22.6,20,30,TRUE,37
"IP14AP","OK",FALSE,27.1,20,30,TRUE,31
"IP14AQ","OK",FALSE,25.5,21.7,30,TRUE,9
"IP14AR","OK",FALSE,20.6,14.4,30,TRUE,73
"IP14AS","OK",FALSE,19.2,17.2,30,TRUE,4
"IP14AT","OK",FALSE,25.6,14.9,30,TRUE,15
"IP14AU","OK",FALSE,30,16.1,30,TRUE,7
"IP14AW","OK",FALSE,30,20,30,TRUE,7
"IP14AX","OK",FALSE,21.7,18.1,30,TRUE,53
"IP14AY","OK",FALSE,28.4,20,30,TRUE,8
"IP14AZ","OK",FALSE,16.4,15.9,30,TRUE,15
"IP14BA","OK",FALSE,30,30,30,TRUE,13
"IP14BB","OK",TRUE,22.4,20,30,TRUE,15
"IP14BD","OK",FALSE,30,20,30,TRUE,14
"IP14BE","OK",FALSE,30,20,30,TRUE,20
"IP14BF","OK",FALSE,12,12.8,16.5,TRUE,6
"IP14BG","OK",FALSE,29.8,20,30,TRUE,25
"IP14BH","No premises",NA,NA,NA,NA,TRUE,0
"IP14BJ","OK",FALSE,30,20,30,TRUE,16
"IP14BN","OK",FALSE,30,30,30,TRUE,5
"IP14BP","OK",TRUE,12.8,11,30,TRUE,8
"IP14BQ","OK",FALSE,26.1,20,30,TRUE,42
"IP14BS","OK",FALSE,22.8,14.2,30,TRUE,9
"IP14BT","OK",FALSE,22.8,19.6,30,TRUE,8
"IP14BU","OK",FALSE,21,20,30,TRUE,13
"IP14BW","OK",TRUE,23.7,19.1,30,TRUE,11
"IP14BX","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"IP14BY","OK",FALSE,30,20.9,30,TRUE,23
"IP14BZ","OK",FALSE,30,20,30,TRUE,16
"IP14DA","OK",FALSE,30,30,30,TRUE,18
"IP14DB","OK",FALSE,26.6,20,30,TRUE,18
"IP14DD","OK",FALSE,27.5,20,30,TRUE,5
"IP14DE","OK",FALSE,25.7,20.5,30,TRUE,10
"IP14DF","OK",FALSE,30,30,30,TRUE,8
"IP14DG","OK",FALSE,30,25.8,30,TRUE,56
"IP14DH","OK",FALSE,18.1,19.8,21.5,TRUE,5
"IP14DJ","OK",FALSE,30,20,30,TRUE,7
"IP14DL","OK",FALSE,30,20,30,TRUE,37
"IP14DN","OK",FALSE,15.5,14,30,TRUE,27
"IP14DP","OK",FALSE,30,20.9,30,TRUE,34
"IP14DQ","OK",FALSE,30,20.6,30,TRUE,22
"IP14DR","OK",FALSE,30,25.5,30,TRUE,8
"IP14DS","OK",FALSE,30,26,30,TRUE,9
"IP14DT","OK",FALSE,30,20.8,30,TRUE,52
"IP14DW","OK",FALSE,23.7,20.5,30,TRUE,24
"IP14DX","OK",TRUE,25.6,19.6,30,TRUE,22
"IP14EA","OK",FALSE,21.1,18.8,30,TRUE,16
"IP14EB","OK",FALSE,23.4,16.2,30,TRUE,12
"IP14ED","OK",FALSE,22,20.5,30,TRUE,6
"IP14EE","OK",FALSE,30,30,30,TRUE,14
"IP14EF","OK",FALSE,30,30,30,TRUE,11
"IP14EG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"IP14EH","OK",TRUE,29.5,20,30,TRUE,57
"IP14EJ","OK",FALSE,25.1,20,30,TRUE,25
"IP14EL","OK",TRUE,28.6,21.2,30,TRUE,30
"IP14EN","OK",TRUE,30,20,30,TRUE,69
"IP14EP","OK",FALSE,20.4,19.9,30,TRUE,12
"IP14EQ","OK",FALSE,30,20.2,30,TRUE,39
"IP14ER","OK",FALSE,30,30,30,TRUE,13
"IP14ES","OK",TRUE,29.4,22.4,30,TRUE,15
"IP14ET","OK",FALSE,23.5,20,30,TRUE,10
"IP14EU","OK",FALSE,21.8,21,30,TRUE,9
"IP14EW","OK",FALSE,30,22.2,30,TRUE,28
"IP14EX","OK",FALSE,27.9,21.6,30,TRUE,17
"IP14EY","OK",FALSE,30,20.6,30,TRUE,6
"IP14FB","OK",TRUE,8.1,9.2,23.8,FALSE,40
"IP14FD","OK",TRUE,8.2,9.2,12.2,FALSE,44
"IP14FE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"IP14FF","OK",FALSE,8.6,9.4,10.6,FALSE,3
"IP14HA","OK",FALSE,27.1,22.5,30,TRUE,12
"IP14HB","OK",FALSE,30,20.1,30,TRUE,12
"IP14HD","OK",FALSE,30,20,30,TRUE,24
"IP14HE","No premises",NA,NA,NA,NA,TRUE,0
"IP14HG","OK",FALSE,19.9,19.7,21,TRUE,3
"IP14HH","OK",FALSE,25.7,19.4,30,TRUE,40
"IP14HJ","OK",TRUE,22.6,18.9,30,TRUE,36
"IP14HL","OK",FALSE,24.7,17.7,30,TRUE,34
"IP14HN","OK",FALSE,25.2,20,30,TRUE,12
"IP14HP","OK",FALSE,21.5,16,30,TRUE,35
"IP14HQ","OK",FALSE,29.7,20,30,TRUE,38
"IP14HR","OK",TRUE,25.9,14.3,30,TRUE,34
"IP14HS","OK",FALSE,28.2,20,30,TRUE,13
"IP14HT","OK",FALSE,30,30,30,TRUE,21
"IP14HU","OK",FALSE,23,18.3,30,TRUE,23
"IP14HW","OK",FALSE,27.8,20,30,TRUE,7
"IP14HX","OK",FALSE,30,25.5,30,TRUE,8
"IP14HY","OK",FALSE,18.3,20,26.8,TRUE,3
"IP14HZ","OK",FALSE,30,30,30,TRUE,8
"IP14JD","OK",FALSE,22.1,20,30,TRUE,12
"IP14JE","OK",TRUE,24.9,20,30,TRUE,27
"IP14JF","OK",FALSE,22.2,19.2,30,TRUE,24
"IP14JG","OK",TRUE,24.1,16.6,30,TRUE,19
"IP14JJ","OK",FALSE,15.2,8.1,30,TRUE,6
"IP14JP","OK",FALSE,12.7,11.8,19,TRUE,5
"IP14JQ","OK",FALSE,14,14.4,21.4,TRUE,8
"IP14JR","OK",FALSE,26.3,17.7,30,TRUE,37
"IP14JX","OK",FALSE,22.5,20,30,TRUE,35
"IP14JY","OK",FALSE,29.2,20,30,TRUE,19
"IP14JZ","OK",TRUE,24.9,13.3,30,TRUE,15
"IP14LA","OK",TRUE,29.4,21.3,30,TRUE,50
"IP14LB","OK",FALSE,27.2,20,30,TRUE,32
"IP14LD","OK",FALSE,30,30,30,TRUE,18
"IP14LE","No premises",NA,NA,NA,NA,TRUE,0
"IP14LH","OK",FALSE,13.1,10.2,30,TRUE,7
"IP14LJ","OK",TRUE,8,7.4,20,TRUE,11
"IP14LL","OK",FALSE,25.2,8.2,30,TRUE,17
"IP14LN","OK",TRUE,25,20,30,TRUE,49
"IP14LP","OK",FALSE,11,7.9,30,TRUE,16
