"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"IV568FA","OK",FALSE,6.6,6.6,8.1,FALSE,10
"IV568FB","OK",FALSE,7.1,7.4,7.4,FALSE,4
"IV568FD","OK",TRUE,7,7.8,8.1,FALSE,16
"IV568FE","OK",TRUE,5.2,5.7,7.1,FALSE,6
"IV568FF","Insufficient Data",NA,NA,NA,NA,FALSE,2
"IV568FG","OK",TRUE,6.4,8.1,8.1,FALSE,5
"IV568FH","OK",TRUE,1.7,1.8,3.4,FALSE,20
"IV568FJ","OK",TRUE,4.2,5.1,7.4,FALSE,29
"IV568FL","OK",TRUE,4.4,2.8,8.1,FALSE,5
"IV568FN","OK",TRUE,5.6,8.1,8.1,FALSE,4
"IV568FQ","OK",TRUE,1.5,1.4,1.7,FALSE,3
"IV568FW","Insufficient Data",NA,NA,NA,NA,FALSE,2
"IV568FX","OK",FALSE,6.5,7.7,8.1,FALSE,7
"IV568FY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"IV568WZ","No premises",NA,NA,NA,NA,FALSE,0
